analysis_section,task_id,split,candidate_id,estimate,metric,class_id,point,ci_lower,ci_upper,n,bootstrap_repeats,notes
route_metric_ci,aptos_dr_5class,val,aptos_locked_low_budget,scout,accuracy,,0.8404669260700389,0.8073929961089494,0.8715953307392996,514,2000,case-level paired bootstrap
route_metric_ci,aptos_dr_5class,val,aptos_locked_low_budget,route,accuracy,,0.8618677042801557,0.830739299610895,0.8910505836575876,514,2000,case-level paired bootstrap
route_metric_ci,aptos_dr_5class,val,aptos_locked_low_budget,route_minus_scout,accuracy,,0.021400778210116767,0.009727626459143934,0.03696498054474706,514,2000,case-level paired bootstrap
route_metric_ci,aptos_dr_5class,val,aptos_locked_low_budget,scout,macro_f1,,0.735666236876959,0.6817769502887507,0.7829897523353914,514,2000,case-level paired bootstrap
route_metric_ci,aptos_dr_5class,val,aptos_locked_low_budget,route,macro_f1,,0.7733020892031801,0.7188426016312893,0.8187261019411823,514,2000,case-level paired bootstrap
route_metric_ci,aptos_dr_5class,val,aptos_locked_low_budget,route_minus_scout,macro_f1,,0.03763585232622113,0.01675100652811272,0.06390771744722226,514,2000,case-level paired bootstrap
route_metric_ci,aptos_dr_5class,val,aptos_locked_low_budget,scout,qwk,,0.9165748060783532,0.8918827929542881,0.937821393887467,514,2000,case-level paired bootstrap
route_metric_ci,aptos_dr_5class,val,aptos_locked_low_budget,route,qwk,,0.9236274776494362,0.9004405730453418,0.9443652029395747,514,2000,case-level paired bootstrap
route_metric_ci,aptos_dr_5class,val,aptos_locked_low_budget,route_minus_scout,qwk,,0.0070526715710830246,0.0026240755502922376,0.013201492373777912,514,2000,case-level paired bootstrap
proxy_error_variation,aptos_dr_5class,val,aptos_locked_low_budget,rate,scout_proxy_event,,0.0311284046692607,0.017509727626459144,0.04474708171206226,514,2000,label-order proxy threshold=3; not a clinical-outcome event
proxy_error_variation,aptos_dr_5class,val,aptos_locked_low_budget,rate,final_proxy_event,,0.027237354085603113,0.013618677042801557,0.04085603112840467,514,2000,label-order proxy threshold=3; not a clinical-outcome event
