task_id,pairing_id,scout_artifact_ids,expert_artifact_id,routing_policy,requested_budget,primary_metric,metric_used,primary_metric_available,validation_main_metric,validation_delta_vs_scout,validation_delta_vs_best_single,validation_corrected,validation_introduced,validation_net,stability_ci_lower,stability_ci_upper,frozen_main_metric,frozen_delta_vs_scout,frozen_corrected,frozen_introduced,frozen_net,frozen_favorable,evidence_label,execution_level,allow_cached_replay,allow_case_simulation,allow_new_case_route,clinical_route_eligible,expected_cost_ms_per_image,cost_protocol_complete,all_models_online_case_ready,error_codes,protocol_sha256,validation_result_sha256,frozen_result_sha256,input_asset_fingerprint,qualification_contract_sha256,source_commit_sha
aptos_dr_5class,aptos_locked_low_budget,ret_clip,retfound_cfp,low_confidence,0.05,qwk,qwk,True,0.9236274776494362,0.0070526715710830246,0.005839042120078242,2.0,0.0,2.0,0.0026240755502922,0.0132014923737779,0.8992799971414278,0.006849824337423205,1.0,8.0,-7.0,False,unstable,research_replay_only,True,False,False,False,1.3943879291060075,True,False,RQ_FROZEN_REVERSAL|RQ_ONLINE_ENTRY_UNAVAILABLE|RQ_CLINICAL_ROUTE_NEVER_AUTO_GRANTED,06383bac431c223247436a4a5b0560ea5c9d3d9f7088679f9d4b78ecd3606fa1,14c3d3330c06764261277d117815b76c447d9f0f672e9357195dae62ddc4f1c9,3cd44e97ac813cbd08b3abed810576d71d0b6bc56da2c84fc1884182ef839954,31131135508a618a3c0236891a83013d5313bc62fd27192db345cfc5c329ec9b,e52dbc9a069505189f3982a0fe879b93de151d19c5037ffce44e8da397f21bf8,81b0f784fc44ef3f19051886f9702f5468e9a5ea
aptos_dr_5class,aptos_locked_performance_primary,flair|ret_clip,retfound_cfp,disagreement_then_uncertainty,0.2,qwk,qwk,True,0.9395613389927812,0.025805044133978106,0.0217729034634232,1.0,5.0,-4.0,0.0013193251914325,0.0520248377914239,0.9211419241268464,0.01713881102362913,0.0,18.0,-18.0,False,risk_tradeoff,research_case_simulation,True,True,False,False,2.778508126494703,True,False,RQ_PROXY_RISK_TRADEOFF|RQ_ONLINE_ENTRY_UNAVAILABLE|RQ_CLINICAL_ROUTE_NEVER_AUTO_GRANTED,06383bac431c223247436a4a5b0560ea5c9d3d9f7088679f9d4b78ecd3606fa1,14c3d3330c06764261277d117815b76c447d9f0f672e9357195dae62ddc4f1c9,3cd44e97ac813cbd08b3abed810576d71d0b6bc56da2c84fc1884182ef839954,2d8902b135e8678df6b2704b1f35ab35e208262c57ed634e95fc3f2379a3cdc0,e52dbc9a069505189f3982a0fe879b93de151d19c5037ffce44e8da397f21bf8,81b0f784fc44ef3f19051886f9702f5468e9a5ea
aptos_dr_5class,aptos_locked_single_reference,flair,swin_tiny,high_entropy,0.3,qwk,qwk,True,0.9233799312182354,0.009623636359432308,0.0055914956888774014,1.0,9.0,-8.0,-0.0184589248722407,0.0364909159752473,0.9159872776341116,0.011984164530894348,0.0,24.0,-24.0,False,risk_tradeoff,research_case_simulation,True,True,False,False,1.0207736392909523,True,False,RQ_PROXY_RISK_TRADEOFF|RQ_ONLINE_ENTRY_UNAVAILABLE|RQ_CLINICAL_ROUTE_NEVER_AUTO_GRANTED,06383bac431c223247436a4a5b0560ea5c9d3d9f7088679f9d4b78ecd3606fa1,14c3d3330c06764261277d117815b76c447d9f0f672e9357195dae62ddc4f1c9,3cd44e97ac813cbd08b3abed810576d71d0b6bc56da2c84fc1884182ef839954,b09cd410fbe2d901928dcaa2624031a3107f2c95d1244522d3fe445b1eef0b2e,e52dbc9a069505189f3982a0fe879b93de151d19c5037ffce44e8da397f21bf8,81b0f784fc44ef3f19051886f9702f5468e9a5ea
aptos_dr_5class,aptos_locked_zero_introduced,retfound_cfp|retizero,flair,disagreement_then_uncertainty,0.2,qwk,qwk,True,0.932365226427699,0.014576790898341074,0.014576790898341074,16.0,0.0,16.0,-0.0062254606818401,0.0378383676746372,0.919560682933284,0.0064138529694107715,18.0,0.0,18.0,True,unstable,research_replay_only,True,False,False,False,8.795022357735377,True,False,RQ_ONLINE_ENTRY_UNAVAILABLE|RQ_CLINICAL_ROUTE_NEVER_AUTO_GRANTED,06383bac431c223247436a4a5b0560ea5c9d3d9f7088679f9d4b78ecd3606fa1,14c3d3330c06764261277d117815b76c447d9f0f672e9357195dae62ddc4f1c9,3cd44e97ac813cbd08b3abed810576d71d0b6bc56da2c84fc1884182ef839954,283e33f9827044832c8f67e93cfec91a8371dec01c48b9afc6ef1e86516fc2b3,e52dbc9a069505189f3982a0fe879b93de151d19c5037ffce44e8da397f21bf8,81b0f784fc44ef3f19051886f9702f5468e9a5ea
deepdrid_dr_5class_external,deepdrid_frozen_low_budget,convnext_tiny,flair,low_margin,0.05,qwk,qwk,False,,,,,,,,,0.6571895377164447,0.022995237755770725,5.0,0.0,5.0,True,unstable,research_replay_only,True,False,False,False,0.4669250280130654,True,False,RQ_VALIDATION_EVIDENCE_MISSING|RQ_SELECTION_NOT_VALIDATION|RQ_PRIMARY_METRIC_UNAVAILABLE|RQ_STABILITY_EVIDENCE_MISSING|RQ_ONLINE_ENTRY_UNAVAILABLE|RQ_CLINICAL_ROUTE_NEVER_AUTO_GRANTED,3b49229042f017359fe17312f0b5e2d8d9b08e949085916fd30bea590cda369c,,a326cf6b69abbcd80e6a6d2c00e2eeb8b9a8e1a0d8d4983defceecee95b58ceb,665356876156554cd9bacafc5d8dee4ed2df22703d557e36f7eec6aa920dccf3,e52dbc9a069505189f3982a0fe879b93de151d19c5037ffce44e8da397f21bf8,81b0f784fc44ef3f19051886f9702f5468e9a5ea
deepdrid_dr_5class_external,deepdrid_frozen_single_reference,retfound_cfp,flair,low_confidence,0.1,qwk,qwk,False,,,,,,,,,0.739172720708507,0.029629776708025357,3.0,0.0,3.0,True,unstable,research_replay_only,True,False,False,False,3.508596203755588,True,False,RQ_VALIDATION_EVIDENCE_MISSING|RQ_SELECTION_NOT_VALIDATION|RQ_PRIMARY_METRIC_UNAVAILABLE|RQ_STABILITY_EVIDENCE_MISSING|RQ_ONLINE_ENTRY_UNAVAILABLE|RQ_CLINICAL_ROUTE_NEVER_AUTO_GRANTED,3b49229042f017359fe17312f0b5e2d8d9b08e949085916fd30bea590cda369c,,a326cf6b69abbcd80e6a6d2c00e2eeb8b9a8e1a0d8d4983defceecee95b58ceb,bd61deadad6c69c4e32cee4d13ccecbe24db91dfcd138dbf4361b755efe55886,e52dbc9a069505189f3982a0fe879b93de151d19c5037ffce44e8da397f21bf8,81b0f784fc44ef3f19051886f9702f5468e9a5ea
deepdrid_dr_5class_external,deepdrid_frozen_six_model_primary,convnext_tiny|preti,flair,disagreement_then_uncertainty,0.1,qwk,qwk,False,,,,,,,,,0.6470364240835396,0.012842124122865561,5.0,0.0,5.0,True,unstable,research_replay_only,True,False,False,False,1.540065149310976,True,False,RQ_VALIDATION_EVIDENCE_MISSING|RQ_SELECTION_NOT_VALIDATION|RQ_PRIMARY_METRIC_UNAVAILABLE|RQ_STABILITY_EVIDENCE_MISSING|RQ_ONLINE_ENTRY_UNAVAILABLE|RQ_CLINICAL_ROUTE_NEVER_AUTO_GRANTED,3b49229042f017359fe17312f0b5e2d8d9b08e949085916fd30bea590cda369c,,a326cf6b69abbcd80e6a6d2c00e2eeb8b9a8e1a0d8d4983defceecee95b58ceb,429e4b78977bc92f37f9d85d188aa82324e91e479522dcd0ff4306b4f5f5cdf4,e52dbc9a069505189f3982a0fe879b93de151d19c5037ffce44e8da397f21bf8,81b0f784fc44ef3f19051886f9702f5468e9a5ea
deepdrid_dr_5class_native,deepdrid_native_primary_multi,flair|retfound_green,swin_tiny,disagreement_then_uncertainty,0.05,qwk,qwk,True,0.8369960704409838,0.0029256782769546685,0.0029256782769546685,1.0,0.0,1.0,,,0.8369960704409838,0.0029256782769546685,1.0,0.0,1.0,True,beneficial,research_case_simulation,True,True,False,False,2.300685330480337,True,False,RQ_STABILITY_EVIDENCE_MISSING|RQ_ONLINE_ENTRY_UNAVAILABLE|RQ_CLINICAL_ROUTE_NEVER_AUTO_GRANTED,a36b605f1afa0f41682b35f3ee6306ad0405f6919468b41dc6f057fbe9d60af1,c48be5c769032a22cdd389a34f8d25b9be9350285f2ae0c9c8426cfb50a02d80,c48be5c769032a22cdd389a34f8d25b9be9350285f2ae0c9c8426cfb50a02d80,94d1674e640c9ddb4cca1a5ca51d9c2c549e4c7633ab1707096fc7193afb262c,e52dbc9a069505189f3982a0fe879b93de151d19c5037ffce44e8da397f21bf8,81b0f784fc44ef3f19051886f9702f5468e9a5ea
deepdrid_dr_5class_native,deepdrid_native_primary_single,keepfit_cfp,flair,high_entropy,0.3,qwk,qwk,True,0.8465376419163158,0.01882301872474801,0.012467249752286635,6.0,1.0,5.0,,,0.8465376419163158,0.01882301872474801,6.0,1.0,5.0,True,risk_tradeoff,research_case_simulation,True,True,False,False,1.126719295978546,True,False,RQ_PROXY_RISK_TRADEOFF|RQ_STABILITY_EVIDENCE_MISSING|RQ_ONLINE_ENTRY_UNAVAILABLE|RQ_CLINICAL_ROUTE_NEVER_AUTO_GRANTED,a36b605f1afa0f41682b35f3ee6306ad0405f6919468b41dc6f057fbe9d60af1,c48be5c769032a22cdd389a34f8d25b9be9350285f2ae0c9c8426cfb50a02d80,c48be5c769032a22cdd389a34f8d25b9be9350285f2ae0c9c8426cfb50a02d80,d650f762572ad07a9e28405b3ff04f2485fc86236f6d289f9d3f2ce677186b14,e52dbc9a069505189f3982a0fe879b93de151d19c5037ffce44e8da397f21bf8,81b0f784fc44ef3f19051886f9702f5468e9a5ea
glaucoma_3class,glaucoma_locked_multi,glaucoma_retfound_dinov2|glaucoma_vit_b,glaucoma_swin_tiny,disagreement_then_uncertainty,0.1,qwk,macro_f1,False,0.9055852190863632,0.023657374634799666,0.023657374634799666,3.0,0.0,3.0,-0.0114942457805629,0.0622093871681904,0.8254073703660358,-0.009176974122930837,4.0,2.0,2.0,False,unstable,research_replay_only,True,False,False,False,,True,False,RQ_PRIMARY_METRIC_UNAVAILABLE|RQ_FROZEN_REVERSAL|RQ_ONLINE_ENTRY_UNAVAILABLE|RQ_CLINICAL_ROUTE_NEVER_AUTO_GRANTED,8e146791f6b83fa58053aca6db17f5139f1d36be0d8db97e1b6c50feeb8bfebf,6ff5554cd1ac50779873e518d79d502921bb1a28907442c59e5fce4e935cd2d6,0fdf445b7c3536fbd4ee40c66a439c6d364ba9b1941ae9e1502c95aa8bd6941e,ef35788391156b1e2d2cf988a15d8ec6bedc9b5d6709a8cdc8fb253aaa9ad727,e52dbc9a069505189f3982a0fe879b93de151d19c5037ffce44e8da397f21bf8,81b0f784fc44ef3f19051886f9702f5468e9a5ea
