backbone,class,precision,recall,f1,support
ConvNeXt-Tiny,No DR,0.9742647058823529,0.977859778597786,0.9760589318600368,542.0
ConvNeXt-Tiny,Mild DR,0.49382716049382713,0.7207207207207207,0.5860805860805861,111.0
ConvNeXt-Tiny,Moderate DR,0.7684563758389261,0.7633333333333333,0.7658862876254181,300.0
ConvNeXt-Tiny,Severe DR,0.4696969696969697,0.5344827586206896,0.5,58.0
ConvNeXt-Tiny,Proliferative DR,0.8333333333333334,0.2808988764044944,0.42016806722689076,89.0
Swin-Tiny,No DR,0.9726277372262774,0.9833948339483395,0.9779816513761468,542.0
Swin-Tiny,Mild DR,0.5980392156862745,0.5495495495495496,0.5727699530516432,111.0
Swin-Tiny,Moderate DR,0.723943661971831,0.8566666666666667,0.7847328244274809,300.0
Swin-Tiny,Severe DR,0.5333333333333333,0.27586206896551724,0.36363636363636365,58.0
Swin-Tiny,Proliferative DR,0.6923076923076923,0.5056179775280899,0.5844155844155844,89.0
RETFound-MAE-CFP,No DR,0.9753787878787878,0.9501845018450185,0.9626168224299065,542.0
RETFound-MAE-CFP,Mild DR,0.6027397260273972,0.3963963963963964,0.4782608695652174,111.0
RETFound-MAE-CFP,Moderate DR,0.6284403669724771,0.9133333333333333,0.7445652173913043,300.0
RETFound-MAE-CFP,Severe DR,0.26666666666666666,0.06896551724137931,0.1095890410958904,58.0
RETFound-MAE-CFP,Proliferative DR,0.6666666666666666,0.3595505617977528,0.46715328467153283,89.0
