clinical_event,review_budget,backbone,best_method,best_recall,captured,total,residual
general_error,0.05,convnext_tiny,uncertainty_rank_fusion,0.16097560975609757,33,205,172
general_error,0.05,retfound_official_like,uncertainty_rank_fusion,0.1712962962962963,37,216,179
general_error,0.05,swin_tiny,margin_only,0.17553191489361702,33,188,155
general_error,0.05,vit_b_imagenet,uncertainty_rank_fusion,0.175,35,200,165
general_error,0.05,vit_b_official_like,confidence_only,0.17647058823529413,39,221,182
general_error,0.05,vit_l_official_like,confidence_only,0.1598173515981735,35,219,184
general_error,0.1,convnext_tiny,uncertainty_rank_fusion,0.2975609756097561,61,205,144
general_error,0.1,retfound_official_like,margin_only,0.3101851851851852,67,216,149
general_error,0.1,swin_tiny,confidence_only,0.3191489361702128,60,188,128
general_error,0.1,vit_b_imagenet,uncertainty_rank_fusion,0.305,61,200,139
general_error,0.1,vit_b_official_like,confidence_only,0.3031674208144796,67,221,154
general_error,0.1,vit_l_official_like,margin_only,0.2968036529680365,65,219,154
general_error,0.2,convnext_tiny,entropy_only,0.5219512195121951,107,205,98
general_error,0.2,retfound_official_like,confidence_only,0.5231481481481481,113,216,103
general_error,0.2,swin_tiny,confidence_only,0.5691489361702128,107,188,81
general_error,0.2,vit_b_imagenet,entropy_only,0.555,111,200,89
general_error,0.2,vit_b_official_like,confidence_only,0.5294117647058824,117,221,104
general_error,0.2,vit_l_official_like,margin_only,0.5159817351598174,113,219,106
general_error,0.3,convnext_tiny,entropy_only,0.6780487804878049,139,205,66
general_error,0.3,retfound_official_like,margin_only,0.6944444444444444,150,216,66
general_error,0.3,swin_tiny,confidence_only,0.7553191489361702,142,188,46
general_error,0.3,vit_b_imagenet,entropy_only,0.745,149,200,51
general_error,0.3,vit_b_official_like,margin_only,0.7149321266968326,158,221,63
general_error,0.3,vit_l_official_like,margin_only,0.639269406392694,140,219,79
high_confidence_vision_threatening_miss,0.05,convnext_tiny,confidence_only,0.0,0,14,14
high_confidence_vision_threatening_miss,0.05,retfound_official_like,confidence_only,0.0,0,2,2
high_confidence_vision_threatening_miss,0.05,swin_tiny,ophagent_combined,0.1,5,50,45
high_confidence_vision_threatening_miss,0.05,vit_b_imagenet,ophagent_combined,0.05405405405405406,2,37,35
high_confidence_vision_threatening_miss,0.05,vit_b_official_like,confidence_only,0.0,0,12,12
high_confidence_vision_threatening_miss,0.05,vit_l_official_like,confidence_only,0.0,0,5,5
high_confidence_vision_threatening_miss,0.1,convnext_tiny,confidence_only,0.0,0,14,14
high_confidence_vision_threatening_miss,0.1,retfound_official_like,confidence_only,0.0,0,2,2
high_confidence_vision_threatening_miss,0.1,swin_tiny,ophagent_combined,0.24,12,50,38
high_confidence_vision_threatening_miss,0.1,vit_b_imagenet,ophagent_combined,0.16216216216216217,6,37,31
high_confidence_vision_threatening_miss,0.1,vit_b_official_like,confidence_only,0.0,0,12,12
high_confidence_vision_threatening_miss,0.1,vit_l_official_like,confidence_only,0.0,0,5,5
high_confidence_vision_threatening_miss,0.2,convnext_tiny,ophagent_combined,0.14285714285714285,2,14,12
high_confidence_vision_threatening_miss,0.2,retfound_official_like,confidence_only,0.0,0,2,2
high_confidence_vision_threatening_miss,0.2,swin_tiny,ophagent_combined,0.34,17,50,33
high_confidence_vision_threatening_miss,0.2,vit_b_imagenet,ophagent_combined,0.32432432432432434,12,37,25
high_confidence_vision_threatening_miss,0.2,vit_b_official_like,confidence_only,0.0,0,12,12
high_confidence_vision_threatening_miss,0.2,vit_l_official_like,confidence_only,0.0,0,5,5
high_confidence_vision_threatening_miss,0.3,convnext_tiny,ophagent_combined,0.35714285714285715,5,14,9
high_confidence_vision_threatening_miss,0.3,retfound_official_like,confidence_only,0.0,0,2,2
high_confidence_vision_threatening_miss,0.3,swin_tiny,uncertainty_rank_fusion,0.52,26,50,24
high_confidence_vision_threatening_miss,0.3,vit_b_imagenet,confidence_only,0.43243243243243246,16,37,21
high_confidence_vision_threatening_miss,0.3,vit_b_official_like,confidence_only,0.0,0,12,12
high_confidence_vision_threatening_miss,0.3,vit_l_official_like,confidence_only,0.0,0,5,5
large_undergrading,0.05,convnext_tiny,ophagent_combined,0.3,15,50,35
large_undergrading,0.05,retfound_official_like,ophagent_combined,0.2702702702702703,10,37,27
large_undergrading,0.05,swin_tiny,ophagent_combined,0.24324324324324326,9,37,28
large_undergrading,0.05,vit_b_imagenet,ophagent_combined,0.20930232558139536,9,43,34
large_undergrading,0.05,vit_b_official_like,ophagent_combined,0.21818181818181817,12,55,43
large_undergrading,0.05,vit_l_official_like,ophagent_combined,0.21951219512195122,9,41,32
large_undergrading,0.1,convnext_tiny,ophagent_combined,0.48,24,50,26
large_undergrading,0.1,retfound_official_like,ophagent_combined,0.35135135135135137,13,37,24
large_undergrading,0.1,swin_tiny,ophagent_combined,0.3783783783783784,14,37,23
large_undergrading,0.1,vit_b_imagenet,ophagent_combined,0.3953488372093023,17,43,26
large_undergrading,0.1,vit_b_official_like,ophagent_combined,0.41818181818181815,23,55,32
large_undergrading,0.1,vit_l_official_like,ophagent_combined,0.3170731707317073,13,41,28
large_undergrading,0.2,convnext_tiny,ophagent_combined,0.62,31,50,19
large_undergrading,0.2,retfound_official_like,ophagent_combined,0.5675675675675675,21,37,16
large_undergrading,0.2,swin_tiny,ophagent_combined,0.5135135135135135,19,37,18
large_undergrading,0.2,vit_b_imagenet,ophagent_combined,0.5813953488372093,25,43,18
large_undergrading,0.2,vit_b_official_like,ophagent_combined,0.6545454545454545,36,55,19
large_undergrading,0.2,vit_l_official_like,ophagent_combined,0.5853658536585366,24,41,17
large_undergrading,0.3,convnext_tiny,ophagent_combined,0.8,40,50,10
large_undergrading,0.3,retfound_official_like,ophagent_combined,0.7567567567567568,28,37,9
large_undergrading,0.3,swin_tiny,confidence_only,0.6486486486486487,24,37,13
large_undergrading,0.3,vit_b_imagenet,confidence_only,0.6976744186046512,30,43,13
large_undergrading,0.3,vit_b_official_like,ophagent_combined,0.8181818181818182,45,55,10
large_undergrading,0.3,vit_l_official_like,uncertainty_rank_fusion,0.6585365853658537,27,41,14
referable_dr_miss,0.05,convnext_tiny,uncertainty_rank_fusion,0.15584415584415584,12,77,65
referable_dr_miss,0.05,retfound_official_like,margin_only,0.2702702702702703,10,37,27
referable_dr_miss,0.05,swin_tiny,margin_only,0.18421052631578946,7,38,31
referable_dr_miss,0.05,vit_b_imagenet,margin_only,0.12195121951219512,5,41,36
referable_dr_miss,0.05,vit_b_official_like,ophagent_combined,0.23529411764705882,8,34,26
referable_dr_miss,0.05,vit_l_official_like,entropy_only,0.20588235294117646,7,34,27
referable_dr_miss,0.1,convnext_tiny,uncertainty_rank_fusion,0.3246753246753247,25,77,52
referable_dr_miss,0.1,retfound_official_like,margin_only,0.3783783783783784,14,37,23
referable_dr_miss,0.1,swin_tiny,margin_only,0.3684210526315789,14,38,24
referable_dr_miss,0.1,vit_b_imagenet,margin_only,0.2682926829268293,11,41,30
referable_dr_miss,0.1,vit_b_official_like,entropy_only,0.38235294117647056,13,34,21
referable_dr_miss,0.1,vit_l_official_like,entropy_only,0.29411764705882354,10,34,24
referable_dr_miss,0.2,convnext_tiny,entropy_only,0.6233766233766234,48,77,29
referable_dr_miss,0.2,retfound_official_like,confidence_only,0.40540540540540543,15,37,22
referable_dr_miss,0.2,swin_tiny,ophagent_combined,0.7368421052631579,28,38,10
referable_dr_miss,0.2,vit_b_imagenet,ophagent_combined,0.5365853658536586,22,41,19
referable_dr_miss,0.2,vit_b_official_like,entropy_only,0.6176470588235294,21,34,13
referable_dr_miss,0.2,vit_l_official_like,entropy_only,0.4117647058823529,14,34,20
referable_dr_miss,0.3,convnext_tiny,entropy_only,0.7532467532467533,58,77,19
referable_dr_miss,0.3,retfound_official_like,margin_only,0.4864864864864865,18,37,19
referable_dr_miss,0.3,swin_tiny,margin_only,0.8157894736842105,31,38,7
referable_dr_miss,0.3,vit_b_imagenet,ophagent_combined,0.6829268292682927,28,41,13
referable_dr_miss,0.3,vit_b_official_like,confidence_only,0.7941176470588235,27,34,7
referable_dr_miss,0.3,vit_l_official_like,entropy_only,0.5588235294117647,19,34,15
vision_threatening_dr_miss,0.05,convnext_tiny,ophagent_combined,0.3230769230769231,21,65,44
vision_threatening_dr_miss,0.05,retfound_official_like,ophagent_combined,0.31666666666666665,19,60,41
vision_threatening_dr_miss,0.05,swin_tiny,ophagent_combined,0.25806451612903225,16,62,46
vision_threatening_dr_miss,0.05,vit_b_imagenet,ophagent_combined,0.27586206896551724,16,58,42
vision_threatening_dr_miss,0.05,vit_b_official_like,ophagent_combined,0.20238095238095238,17,84,67
vision_threatening_dr_miss,0.05,vit_l_official_like,ophagent_combined,0.1935483870967742,12,62,50
vision_threatening_dr_miss,0.1,convnext_tiny,ophagent_combined,0.5076923076923077,33,65,32
vision_threatening_dr_miss,0.1,retfound_official_like,ophagent_combined,0.43333333333333335,26,60,34
vision_threatening_dr_miss,0.1,swin_tiny,ophagent_combined,0.3709677419354839,23,62,39
vision_threatening_dr_miss,0.1,vit_b_imagenet,ophagent_combined,0.39655172413793105,23,58,35
vision_threatening_dr_miss,0.1,vit_b_official_like,ophagent_combined,0.38095238095238093,32,84,52
vision_threatening_dr_miss,0.1,vit_l_official_like,ophagent_combined,0.3387096774193548,21,62,41
vision_threatening_dr_miss,0.2,convnext_tiny,ophagent_combined,0.6615384615384615,43,65,22
vision_threatening_dr_miss,0.2,retfound_official_like,ophagent_combined,0.7,42,60,18
vision_threatening_dr_miss,0.2,swin_tiny,ophagent_combined,0.46774193548387094,29,62,33
vision_threatening_dr_miss,0.2,vit_b_imagenet,ophagent_combined,0.5517241379310345,32,58,26
vision_threatening_dr_miss,0.2,vit_b_official_like,ophagent_combined,0.6428571428571429,54,84,30
vision_threatening_dr_miss,0.2,vit_l_official_like,ophagent_combined,0.6612903225806451,41,62,21
vision_threatening_dr_miss,0.3,convnext_tiny,ophagent_combined,0.8153846153846154,53,65,12
vision_threatening_dr_miss,0.3,retfound_official_like,ophagent_combined,0.85,51,60,9
vision_threatening_dr_miss,0.3,swin_tiny,uncertainty_rank_fusion,0.6129032258064516,38,62,24
vision_threatening_dr_miss,0.3,vit_b_imagenet,confidence_only,0.6379310344827587,37,58,21
vision_threatening_dr_miss,0.3,vit_b_official_like,ophagent_combined,0.7857142857142857,66,84,18
vision_threatening_dr_miss,0.3,vit_l_official_like,ophagent_combined,0.8064516129032258,50,62,12
