clinical_event,review_budget,best_method,num_backbones
general_error,0.05,uncertainty_rank_fusion,3
general_error,0.05,confidence_only,2
general_error,0.05,margin_only,1
general_error,0.1,confidence_only,2
general_error,0.1,margin_only,2
general_error,0.1,uncertainty_rank_fusion,2
general_error,0.2,confidence_only,3
general_error,0.2,entropy_only,2
general_error,0.2,margin_only,1
general_error,0.3,margin_only,3
general_error,0.3,entropy_only,2
general_error,0.3,confidence_only,1
high_confidence_vision_threatening_miss,0.05,confidence_only,4
high_confidence_vision_threatening_miss,0.05,ophagent_combined,2
high_confidence_vision_threatening_miss,0.1,confidence_only,4
high_confidence_vision_threatening_miss,0.1,ophagent_combined,2
high_confidence_vision_threatening_miss,0.2,confidence_only,3
high_confidence_vision_threatening_miss,0.2,ophagent_combined,3
high_confidence_vision_threatening_miss,0.3,confidence_only,4
high_confidence_vision_threatening_miss,0.3,ophagent_combined,1
high_confidence_vision_threatening_miss,0.3,uncertainty_rank_fusion,1
large_undergrading,0.05,ophagent_combined,6
large_undergrading,0.1,ophagent_combined,6
large_undergrading,0.2,ophagent_combined,6
large_undergrading,0.3,ophagent_combined,3
large_undergrading,0.3,confidence_only,2
large_undergrading,0.3,uncertainty_rank_fusion,1
referable_dr_miss,0.05,margin_only,3
referable_dr_miss,0.05,entropy_only,1
referable_dr_miss,0.05,ophagent_combined,1
referable_dr_miss,0.05,uncertainty_rank_fusion,1
referable_dr_miss,0.1,margin_only,3
referable_dr_miss,0.1,entropy_only,2
referable_dr_miss,0.1,uncertainty_rank_fusion,1
referable_dr_miss,0.2,entropy_only,3
referable_dr_miss,0.2,ophagent_combined,2
referable_dr_miss,0.2,confidence_only,1
referable_dr_miss,0.3,entropy_only,2
referable_dr_miss,0.3,margin_only,2
referable_dr_miss,0.3,confidence_only,1
referable_dr_miss,0.3,ophagent_combined,1
vision_threatening_dr_miss,0.05,ophagent_combined,6
vision_threatening_dr_miss,0.1,ophagent_combined,6
vision_threatening_dr_miss,0.2,ophagent_combined,6
vision_threatening_dr_miss,0.3,ophagent_combined,4
vision_threatening_dr_miss,0.3,confidence_only,1
vision_threatening_dr_miss,0.3,uncertainty_rank_fusion,1
