backbone,ranking_method,clinical_event,review_budget,reviewed_n,auto_released_n,dangerous_error_total,dangerous_error_captured,dangerous_error_recall_at_k,dangerous_error_precision_at_k,dangerous_error_lift_vs_random,residual_dangerous_error_count,residual_dangerous_error_rate,dangerous_errors_per_100_reviewed,number_needed_to_review
convnext_tiny,expected_gap_only,any_undergrading,0.05,55,1045,154,37,0.24025974025974026,0.6727272727272727,4.805194805194804,117,0.11196172248803828,67.27272727272727,1.4864864864864864
retfound_official_like,top2_more_severe_only,any_undergrading,0.05,55,1045,97,22,0.2268041237113402,0.4,4.536082474226804,75,0.07177033492822966,40.0,2.5
swin_tiny,expected_gap_only,any_undergrading,0.05,55,1045,118,29,0.2457627118644068,0.5272727272727272,4.915254237288135,89,0.08516746411483253,52.72727272727272,1.8965517241379313
vit_b_imagenet,top2_more_severe_only,any_undergrading,0.05,55,1045,112,28,0.25,0.509090909090909,4.999999999999999,84,0.08038277511961722,50.90909090909091,1.9642857142857144
vit_b_official_like,expected_gap_only,any_undergrading,0.05,55,1045,121,33,0.2727272727272727,0.6,5.454545454545454,88,0.08421052631578947,60.0,1.6666666666666667
vit_l_official_like,gated_severe_prob_mass_only,any_undergrading,0.05,55,1045,97,19,0.1958762886597938,0.34545454545454546,3.9175257731958766,78,0.07464114832535886,34.54545454545455,2.8947368421052633
convnext_tiny,expected_gap_only,any_undergrading,0.1,110,990,154,59,0.38311688311688313,0.5363636363636364,3.831168831168831,95,0.09595959595959595,53.63636363636364,1.8644067796610169
retfound_official_like,expected_gap_only,any_undergrading,0.1,110,990,97,41,0.422680412371134,0.37272727272727274,4.22680412371134,56,0.05656565656565657,37.27272727272727,2.6829268292682924
swin_tiny,top2_more_severe_only,any_undergrading,0.1,110,990,118,53,0.4491525423728814,0.4818181818181818,4.491525423728814,65,0.06565656565656566,48.18181818181818,2.0754716981132075
vit_b_imagenet,expected_gap_only,any_undergrading,0.1,110,990,112,46,0.4107142857142857,0.41818181818181815,4.107142857142857,66,0.06666666666666667,41.81818181818181,2.391304347826087
vit_b_official_like,expected_gap_only,any_undergrading,0.1,110,990,121,50,0.4132231404958678,0.45454545454545453,4.132231404958677,71,0.07171717171717172,45.45454545454545,2.2
vit_l_official_like,gated_severe_prob_mass_only,any_undergrading,0.1,110,990,97,34,0.35051546391752575,0.3090909090909091,3.5051546391752577,63,0.06363636363636363,30.909090909090907,3.235294117647059
convnext_tiny,expected_gap_only,any_undergrading,0.2,220,880,154,105,0.6818181818181818,0.4772727272727273,3.4090909090909087,49,0.05568181818181818,47.72727272727273,2.0952380952380953
retfound_official_like,top2_more_severe_only,any_undergrading,0.2,220,880,97,62,0.6391752577319587,0.2818181818181818,3.1958762886597936,35,0.03977272727272727,28.18181818181818,3.548387096774194
swin_tiny,top2_more_severe_only,any_undergrading,0.2,220,880,118,83,0.7033898305084746,0.37727272727272726,3.516949152542373,35,0.03977272727272727,37.72727272727273,2.6506024096385543
vit_b_imagenet,top2_more_severe_only,any_undergrading,0.2,220,880,112,76,0.6785714285714286,0.34545454545454546,3.392857142857143,36,0.04090909090909091,34.54545454545455,2.8947368421052633
vit_b_official_like,expected_gap_only,any_undergrading,0.2,220,880,121,80,0.6611570247933884,0.36363636363636365,3.3057851239669422,41,0.04659090909090909,36.36363636363637,2.75
vit_l_official_like,top2_more_severe_only,any_undergrading,0.2,220,880,97,56,0.5773195876288659,0.2545454545454545,2.88659793814433,41,0.04659090909090909,25.454545454545453,3.928571428571429
convnext_tiny,top2_more_severe_only,any_undergrading,0.3,330,770,154,119,0.7727272727272727,0.3606060606060606,2.5757575757575752,35,0.045454545454545456,36.06060606060606,2.773109243697479
retfound_official_like,top2_more_severe_only,any_undergrading,0.3,330,770,97,81,0.8350515463917526,0.24545454545454545,2.783505154639175,16,0.02077922077922078,24.545454545454547,4.074074074074074
swin_tiny,expected_gap_only,any_undergrading,0.3,330,770,118,95,0.8050847457627118,0.2878787878787879,2.68361581920904,23,0.02987012987012987,28.78787878787879,3.4736842105263155
vit_b_imagenet,top2_more_severe_only,any_undergrading,0.3,330,770,112,86,0.7678571428571429,0.2606060606060606,2.5595238095238098,26,0.033766233766233764,26.060606060606062,3.837209302325581
vit_b_official_like,top2_more_severe_only,any_undergrading,0.3,330,770,121,96,0.7933884297520661,0.2909090909090909,2.644628099173554,25,0.032467532467532464,29.09090909090909,3.4375
vit_l_official_like,top2_more_severe_only,any_undergrading,0.3,330,770,97,69,0.711340206185567,0.20909090909090908,2.3711340206185567,28,0.03636363636363636,20.909090909090907,4.782608695652174
convnext_tiny,expected_gap_only,general_error,0.05,55,1045,205,37,0.18048780487804877,0.6727272727272727,3.6097560975609757,168,0.16076555023923444,67.27272727272727,1.4864864864864864
