backbone,ranking_method,clinical_event,review_budget,reviewed_n,auto_released_n,dangerous_error_total,dangerous_error_captured,dangerous_error_recall_at_k,dangerous_error_precision_at_k,dangerous_error_lift_vs_random,residual_dangerous_error_count,residual_dangerous_error_rate,dangerous_errors_per_100_reviewed,number_needed_to_review
convnext_tiny,ophagent_combined,general_error,0.05,55,1045,205,26,0.12682926829268293,0.4727272727272727,2.5365853658536586,179,0.17129186602870813,47.27272727272727,2.1153846153846154
convnext_tiny,ophagent_combined,general_error,0.1,110,990,205,51,0.24878048780487805,0.4636363636363636,2.4878048780487805,154,0.15555555555555556,46.36363636363636,2.156862745098039
convnext_tiny,ophagent_combined,general_error,0.2,220,880,205,87,0.424390243902439,0.39545454545454545,2.1219512195121952,118,0.1340909090909091,39.54545454545455,2.528735632183908
convnext_tiny,ophagent_combined,general_error,0.3,330,770,205,133,0.6487804878048781,0.403030303030303,2.16260162601626,72,0.09350649350649351,40.303030303030305,2.481203007518797
convnext_tiny,ophagent_combined,any_undergrading,0.05,55,1045,154,26,0.16883116883116883,0.4727272727272727,3.3766233766233764,128,0.12248803827751197,47.27272727272727,2.1153846153846154
convnext_tiny,ophagent_combined,any_undergrading,0.1,110,990,154,47,0.3051948051948052,0.42727272727272725,3.0519480519480515,107,0.10808080808080808,42.72727272727273,2.3404255319148937
convnext_tiny,ophagent_combined,any_undergrading,0.2,220,880,154,74,0.4805194805194805,0.33636363636363636,2.402597402597402,80,0.09090909090909091,33.63636363636363,2.972972972972973
convnext_tiny,ophagent_combined,any_undergrading,0.3,330,770,154,108,0.7012987012987013,0.32727272727272727,2.3376623376623376,46,0.05974025974025974,32.72727272727273,3.0555555555555554
convnext_tiny,ophagent_combined,large_undergrading,0.05,55,1045,50,15,0.3,0.2727272727272727,5.999999999999999,35,0.03349282296650718,27.27272727272727,3.666666666666667
convnext_tiny,ophagent_combined,large_undergrading,0.1,110,990,50,24,0.48,0.21818181818181817,4.8,26,0.026262626262626262,21.818181818181817,4.583333333333334
convnext_tiny,ophagent_combined,large_undergrading,0.2,220,880,50,31,0.62,0.1409090909090909,3.0999999999999996,19,0.02159090909090909,14.09090909090909,7.096774193548388
convnext_tiny,ophagent_combined,large_undergrading,0.3,330,770,50,40,0.8,0.12121212121212122,2.6666666666666665,10,0.012987012987012988,12.121212121212121,8.25
convnext_tiny,ophagent_combined,referable_dr_miss,0.05,55,1045,77,8,0.1038961038961039,0.14545454545454545,2.0779220779220777,69,0.0660287081339713,14.545454545454545,6.875
convnext_tiny,ophagent_combined,referable_dr_miss,0.1,110,990,77,21,0.2727272727272727,0.19090909090909092,2.727272727272727,56,0.05656565656565657,19.090909090909093,5.238095238095238
convnext_tiny,ophagent_combined,referable_dr_miss,0.2,220,880,77,32,0.4155844155844156,0.14545454545454545,2.0779220779220777,45,0.05113636363636364,14.545454545454545,6.875
convnext_tiny,ophagent_combined,referable_dr_miss,0.3,330,770,77,54,0.7012987012987013,0.16363636363636364,2.3376623376623376,23,0.02987012987012987,16.363636363636363,6.111111111111111
convnext_tiny,ophagent_combined,vision_threatening_dr_miss,0.05,55,1045,65,21,0.3230769230769231,0.38181818181818183,6.461538461538462,44,0.042105263157894736,38.18181818181819,2.619047619047619
convnext_tiny,ophagent_combined,vision_threatening_dr_miss,0.1,110,990,65,33,0.5076923076923077,0.3,5.076923076923077,32,0.03232323232323232,30.0,3.3333333333333335
convnext_tiny,ophagent_combined,vision_threatening_dr_miss,0.2,220,880,65,43,0.6615384615384615,0.19545454545454546,3.307692307692308,22,0.025,19.545454545454547,5.116279069767441
convnext_tiny,ophagent_combined,vision_threatening_dr_miss,0.3,330,770,65,53,0.8153846153846154,0.1606060606060606,2.717948717948718,12,0.015584415584415584,16.060606060606062,6.226415094339623
convnext_tiny,ophagent_combined,high_confidence_vision_threatening_miss,0.05,55,1045,14,0,0.0,0.0,0.0,14,0.013397129186602871,0.0,
convnext_tiny,ophagent_combined,high_confidence_vision_threatening_miss,0.1,110,990,14,0,0.0,0.0,0.0,14,0.014141414141414142,0.0,
convnext_tiny,ophagent_combined,high_confidence_vision_threatening_miss,0.2,220,880,14,2,0.14285714285714285,0.00909090909090909,0.7142857142857142,12,0.013636363636363636,0.9090909090909091,110.0
