backbone,ranking_method,clinical_event,review_budget,reviewed_n,auto_released_n,dangerous_error_total,dangerous_error_captured,dangerous_error_recall_at_k,dangerous_error_precision_at_k,dangerous_error_lift_vs_random,residual_dangerous_error_count,residual_dangerous_error_rate,dangerous_errors_per_100_reviewed,number_needed_to_review
convnext_tiny,confidence_only,general_error,0.05,55,1045,205,32,0.15609756097560976,0.5818181818181818,3.121951219512195,173,0.16555023923444975,58.18181818181818,1.71875
convnext_tiny,confidence_only,general_error,0.1,110,990,205,60,0.2926829268292683,0.5454545454545454,2.9268292682926824,145,0.14646464646464646,54.54545454545454,1.8333333333333335
convnext_tiny,confidence_only,general_error,0.15,165,935,205,78,0.3804878048780488,0.4727272727272727,2.5365853658536586,127,0.1358288770053476,47.27272727272727,2.1153846153846154
convnext_tiny,confidence_only,general_error,0.2,220,880,205,95,0.4634146341463415,0.4318181818181818,2.317073170731707,110,0.125,43.18181818181818,2.3157894736842106
convnext_tiny,confidence_only,general_error,0.25,275,825,205,115,0.5609756097560976,0.41818181818181815,2.24390243902439,90,0.10909090909090909,41.81818181818181,2.391304347826087
convnext_tiny,confidence_only,general_error,0.3,330,770,205,136,0.6634146341463415,0.4121212121212121,2.2113821138211383,69,0.08961038961038961,41.21212121212121,2.4264705882352944
convnext_tiny,confidence_only,general_error,0.4,440,660,205,173,0.8439024390243902,0.3931818181818182,2.1097560975609757,32,0.048484848484848485,39.31818181818182,2.5433526011560694
convnext_tiny,confidence_only,general_error,0.5,550,550,205,198,0.9658536585365853,0.36,1.9317073170731707,7,0.012727272727272728,36.0,2.7777777777777777
convnext_tiny,confidence_only,any_undergrading,0.05,55,1045,154,26,0.16883116883116883,0.4727272727272727,3.3766233766233764,128,0.12248803827751197,47.27272727272727,2.1153846153846154
convnext_tiny,confidence_only,any_undergrading,0.1,110,990,154,43,0.2792207792207792,0.39090909090909093,2.792207792207792,111,0.11212121212121212,39.09090909090909,2.5581395348837206
convnext_tiny,confidence_only,any_undergrading,0.15,165,935,154,58,0.37662337662337664,0.3515151515151515,2.5108225108225106,96,0.10267379679144385,35.15151515151515,2.844827586206897
convnext_tiny,confidence_only,any_undergrading,0.2,220,880,154,72,0.4675324675324675,0.32727272727272727,2.3376623376623376,82,0.09318181818181819,32.72727272727273,3.0555555555555554
convnext_tiny,confidence_only,any_undergrading,0.25,275,825,154,87,0.564935064935065,0.31636363636363635,2.2597402597402594,67,0.08121212121212121,31.636363636363633,3.160919540229885
convnext_tiny,confidence_only,any_undergrading,0.3,330,770,154,105,0.6818181818181818,0.3181818181818182,2.2727272727272725,49,0.06363636363636363,31.818181818181817,3.142857142857143
convnext_tiny,confidence_only,any_undergrading,0.4,440,660,154,130,0.8441558441558441,0.29545454545454547,2.1103896103896105,24,0.03636363636363636,29.545454545454547,3.3846153846153846
convnext_tiny,confidence_only,any_undergrading,0.5,550,550,154,149,0.9675324675324676,0.27090909090909093,1.9350649350649352,5,0.00909090909090909,27.090909090909093,3.6912751677852347
convnext_tiny,confidence_only,large_undergrading,0.05,55,1045,50,10,0.2,0.18181818181818182,4.0,40,0.03827751196172249,18.181818181818183,5.5
convnext_tiny,confidence_only,large_undergrading,0.1,110,990,50,17,0.34,0.15454545454545454,3.4,33,0.03333333333333333,15.454545454545453,6.470588235294118
convnext_tiny,confidence_only,large_undergrading,0.15,165,935,50,23,0.46,0.1393939393939394,3.066666666666667,27,0.028877005347593583,13.939393939393941,7.173913043478261
convnext_tiny,confidence_only,large_undergrading,0.2,220,880,50,25,0.5,0.11363636363636363,2.5,25,0.028409090909090908,11.363636363636363,8.8
convnext_tiny,confidence_only,large_undergrading,0.25,275,825,50,29,0.58,0.10545454545454545,2.32,21,0.025454545454545455,10.545454545454545,9.482758620689655
convnext_tiny,confidence_only,large_undergrading,0.3,330,770,50,35,0.7,0.10606060606060606,2.3333333333333335,15,0.01948051948051948,10.606060606060606,9.428571428571429
convnext_tiny,confidence_only,large_undergrading,0.4,440,660,50,43,0.86,0.09772727272727273,2.15,7,0.010606060606060607,9.772727272727273,10.232558139534882
convnext_tiny,confidence_only,large_undergrading,0.5,550,550,50,49,0.98,0.0890909090909091,1.96,1,0.0018181818181818182,8.90909090909091,11.224489795918366
convnext_tiny,confidence_only,referable_dr_miss,0.05,55,1045,77,11,0.14285714285714285,0.2,2.857142857142857,66,0.06315789473684211,20.0,5.0
convnext_tiny,confidence_only,referable_dr_miss,0.1,110,990,77,23,0.2987012987012987,0.20909090909090908,2.9870129870129865,54,0.05454545454545454,20.909090909090907,4.782608695652174
convnext_tiny,confidence_only,referable_dr_miss,0.15,165,935,77,29,0.37662337662337664,0.17575757575757575,2.5108225108225106,48,0.051336898395721926,17.575757575757574,5.689655172413794
convnext_tiny,confidence_only,referable_dr_miss,0.2,220,880,77,34,0.44155844155844154,0.15454545454545454,2.2077922077922074,43,0.048863636363636366,15.454545454545453,6.470588235294118
convnext_tiny,confidence_only,referable_dr_miss,0.25,275,825,77,44,0.5714285714285714,0.16,2.2857142857142856,33,0.04,16.0,6.25
convnext_tiny,confidence_only,referable_dr_miss,0.3,330,770,77,57,0.7402597402597403,0.17272727272727273,2.4675324675324672,20,0.025974025974025976,17.272727272727273,5.7894736842105265
convnext_tiny,confidence_only,referable_dr_miss,0.4,440,660,77,68,0.8831168831168831,0.15454545454545454,2.2077922077922074,9,0.013636363636363636,15.454545454545453,6.470588235294118
convnext_tiny,confidence_only,referable_dr_miss,0.5,550,550,77,76,0.987012987012987,0.13818181818181818,1.9740259740259738,1,0.0018181818181818182,13.818181818181818,7.2368421052631575
convnext_tiny,confidence_only,vision_threatening_dr_miss,0.05,55,1045,65,13,0.2,0.23636363636363636,4.0,52,0.049760765550239235,23.636363636363637,4.230769230769231
convnext_tiny,confidence_only,vision_threatening_dr_miss,0.1,110,990,65,21,0.3230769230769231,0.19090909090909092,3.230769230769231,44,0.044444444444444446,19.090909090909093,5.238095238095238
convnext_tiny,confidence_only,vision_threatening_dr_miss,0.15,165,935,65,28,0.4307692307692308,0.1696969696969697,2.871794871794872,37,0.039572192513368985,16.969696969696972,5.892857142857142
convnext_tiny,confidence_only,vision_threatening_dr_miss,0.2,220,880,65,34,0.5230769230769231,0.15454545454545454,2.6153846153846154,31,0.035227272727272725,15.454545454545453,6.470588235294118
convnext_tiny,confidence_only,vision_threatening_dr_miss,0.25,275,825,65,40,0.6153846153846154,0.14545454545454545,2.4615384615384617,25,0.030303030303030304,14.545454545454545,6.875
convnext_tiny,confidence_only,vision_threatening_dr_miss,0.3,330,770,65,47,0.7230769230769231,0.14242424242424243,2.41025641025641,18,0.023376623376623377,14.242424242424242,7.0212765957446805
convnext_tiny,confidence_only,vision_threatening_dr_miss,0.4,440,660,65,56,0.8615384615384616,0.12727272727272726,2.1538461538461537,9,0.013636363636363636,12.727272727272727,7.857142857142858
convnext_tiny,confidence_only,vision_threatening_dr_miss,0.5,550,550,65,62,0.9538461538461539,0.11272727272727273,1.9076923076923078,3,0.005454545454545455,11.272727272727273,8.870967741935484
convnext_tiny,confidence_only,high_confidence_vision_threatening_miss,0.05,55,1045,14,0,0.0,0.0,0.0,14,0.013397129186602871,0.0,
convnext_tiny,confidence_only,high_confidence_vision_threatening_miss,0.1,110,990,14,0,0.0,0.0,0.0,14,0.014141414141414142,0.0,
