target,target_role,fold,evaluation_scope,backbone,ranking_method,n_records,positive_records,auroc,auprc
large_undergrading,primary,1,pooled_analysis_only,ALL,confidence_only,1320,48,0.7247444968553458,0.10734822724199568
large_undergrading,primary,1,pooled_analysis_only,ALL,margin_only,1320,48,0.7262185534591195,0.08173833183119378
large_undergrading,primary,1,pooled_analysis_only,ALL,entropy_only,1320,48,0.7141476677148847,0.10009209513390006
large_undergrading,primary,1,pooled_analysis_only,ALL,uncertainty_rank_fusion,1320,48,0.72358981918239,0.10130214670106161
large_undergrading,primary,1,pooled_analysis_only,ALL,ophagent_combined,1320,48,0.7737159329140462,0.20340756690973713
large_undergrading,primary,1,pooled_analysis_only,ALL,severe_prob_mass_only,1320,48,0.6713345125786163,0.054598229853635404
large_undergrading,primary,1,pooled_analysis_only,ALL,gated_severe_prob_mass_only,1320,48,0.7908805031446541,0.15688364428523272
large_undergrading,primary,1,pooled_analysis_only,ALL,expected_grade_only,1320,48,0.6587886530398323,0.05233847763993573
large_undergrading,primary,1,pooled_analysis_only,ALL,expected_gap_only,1320,48,0.8034918763102725,0.15781562688488457
large_undergrading,primary,1,pooled_analysis_only,ALL,top2_more_severe_only,1320,48,0.8167256289308177,0.13133702702449784
large_undergrading,primary,1,pooled_analysis_only,ALL,learned_logistic,1320,48,0.8202797431865828,0.1763596469777596
large_undergrading,primary,1,per_backbone,convnext_tiny,confidence_only,220,10,0.8295238095238096,0.27676022648848736
large_undergrading,primary,1,per_backbone,convnext_tiny,margin_only,220,10,0.8195238095238095,0.18680198807436657
large_undergrading,primary,1,per_backbone,convnext_tiny,entropy_only,220,10,0.8347619047619047,0.2630411660977402
large_undergrading,primary,1,per_backbone,convnext_tiny,uncertainty_rank_fusion,220,10,0.8326190476190476,0.3176858648597779
large_undergrading,primary,1,per_backbone,convnext_tiny,ophagent_combined,220,10,0.8852380952380952,0.578174049767569
large_undergrading,primary,1,per_backbone,convnext_tiny,severe_prob_mass_only,220,10,0.8142857142857143,0.12906709956709955
large_undergrading,primary,1,per_backbone,convnext_tiny,gated_severe_prob_mass_only,220,10,0.9095238095238095,0.5437885154061625
large_undergrading,primary,1,per_backbone,convnext_tiny,expected_grade_only,220,10,0.8104761904761905,0.12903548108251978
large_undergrading,primary,1,per_backbone,convnext_tiny,expected_gap_only,220,10,0.9195238095238095,0.3457489491303582
large_undergrading,primary,1,per_backbone,convnext_tiny,top2_more_severe_only,220,10,0.9,0.23860701351328936
large_undergrading,primary,1,per_backbone,convnext_tiny,learned_logistic,220,10,0.9099999999999999,0.3532356910375486
large_undergrading,primary,1,per_backbone,retfound_official_like,confidence_only,220,8,0.660377358490566,0.06744121355598946
large_undergrading,primary,1,per_backbone,retfound_official_like,margin_only,220,8,0.6692216981132075,0.06748066183899937
large_undergrading,primary,1,per_backbone,retfound_official_like,entropy_only,220,8,0.6633254716981132,0.05812087065036049
large_undergrading,primary,1,per_backbone,retfound_official_like,uncertainty_rank_fusion,220,8,0.6627358490566038,0.07449268086840115
large_undergrading,primary,1,per_backbone,retfound_official_like,ophagent_combined,220,8,0.7063679245283019,0.12327491306752733
large_undergrading,primary,1,per_backbone,retfound_official_like,severe_prob_mass_only,220,8,0.6161556603773585,0.05075564565470284
large_undergrading,primary,1,per_backbone,retfound_official_like,gated_severe_prob_mass_only,220,8,0.7623820754716981,0.13276512735983173
large_undergrading,primary,1,per_backbone,retfound_official_like,expected_grade_only,220,8,0.6438679245283019,0.054108342702438236
large_undergrading,primary,1,per_backbone,retfound_official_like,expected_gap_only,220,8,0.8567216981132076,0.1416175896379225
large_undergrading,primary,1,per_backbone,retfound_official_like,top2_more_severe_only,220,8,0.8331367924528301,0.12371141618269993
large_undergrading,primary,1,per_backbone,retfound_official_like,learned_logistic,220,8,0.816627358490566,0.12378411718847057
large_undergrading,primary,1,per_backbone,swin_tiny,confidence_only,220,5,0.7460465116279069,0.15970079984200652
large_undergrading,primary,1,per_backbone,swin_tiny,margin_only,220,5,0.7283720930232558,0.10322227440176159
large_undergrading,primary,1,per_backbone,swin_tiny,entropy_only,220,5,0.7618604651162791,0.17554223744292238
large_undergrading,primary,1,per_backbone,swin_tiny,uncertainty_rank_fusion,220,5,0.7455813953488372,0.1594978354978355
large_undergrading,primary,1,per_backbone,swin_tiny,ophagent_combined,220,5,0.7832558139534884,0.3638755707762557
large_undergrading,primary,1,per_backbone,swin_tiny,severe_prob_mass_only,220,5,0.7869767441860466,0.06721181522096854
large_undergrading,primary,1,per_backbone,swin_tiny,gated_severe_prob_mass_only,220,5,0.892093023255814,0.3957716196846632
large_undergrading,primary,1,per_backbone,swin_tiny,expected_grade_only,220,5,0.7153488372093023,0.05604118254938685
large_undergrading,primary,1,per_backbone,swin_tiny,expected_gap_only,220,5,0.9004651162790698,0.6418803418803418
large_undergrading,primary,1,per_backbone,swin_tiny,top2_more_severe_only,220,5,0.8437209302325581,0.14050920830581848
large_undergrading,primary,1,per_backbone,swin_tiny,learned_logistic,220,5,0.8297674418604652,0.2666908212560386
large_undergrading,primary,1,per_backbone,vit_b_imagenet,confidence_only,220,8,0.7393867924528301,0.08040266079421428
large_undergrading,primary,1,per_backbone,vit_b_imagenet,margin_only,220,8,0.7387971698113207,0.08016050199072841
large_undergrading,primary,1,per_backbone,vit_b_imagenet,entropy_only,220,8,0.7311320754716981,0.07469141515091446
large_undergrading,primary,1,per_backbone,vit_b_imagenet,uncertainty_rank_fusion,220,8,0.736438679245283,0.07996540444990695
large_undergrading,primary,1,per_backbone,vit_b_imagenet,ophagent_combined,220,8,0.7777122641509434,0.10642952094999508
large_undergrading,primary,1,per_backbone,vit_b_imagenet,severe_prob_mass_only,220,8,0.668632075471698,0.05804144653360989
large_undergrading,primary,1,per_backbone,vit_b_imagenet,gated_severe_prob_mass_only,220,8,0.7912735849056604,0.11539695523922279
large_undergrading,primary,1,per_backbone,vit_b_imagenet,expected_grade_only,220,8,0.6527122641509434,0.05699629645416192
large_undergrading,primary,1,per_backbone,vit_b_imagenet,expected_gap_only,220,8,0.804245283018868,0.18359024586563338
large_undergrading,primary,1,per_backbone,vit_b_imagenet,top2_more_severe_only,220,8,0.7724056603773585,0.15832761861653372
large_undergrading,primary,1,per_backbone,vit_b_imagenet,learned_logistic,220,8,0.7777122641509435,0.16963641368865892
large_undergrading,primary,1,per_backbone,vit_b_official_like,confidence_only,220,12,0.7716346153846153,0.22936831660654908
large_undergrading,primary,1,per_backbone,vit_b_official_like,margin_only,220,12,0.7792467948717948,0.17486369379206795
large_undergrading,primary,1,per_backbone,vit_b_official_like,entropy_only,220,12,0.7548076923076923,0.23179070891616135
large_undergrading,primary,1,per_backbone,vit_b_official_like,uncertainty_rank_fusion,220,12,0.7700320512820512,0.22021808182583452
large_undergrading,primary,1,per_backbone,vit_b_official_like,ophagent_combined,220,12,0.8157051282051282,0.333009206267319
large_undergrading,primary,1,per_backbone,vit_b_official_like,severe_prob_mass_only,220,12,0.7079326923076923,0.10634006105868012
large_undergrading,primary,1,per_backbone,vit_b_official_like,gated_severe_prob_mass_only,220,12,0.8096955128205128,0.33440824316266765
large_undergrading,primary,1,per_backbone,vit_b_official_like,expected_grade_only,220,12,0.6722756410256411,0.09289419305356716
large_undergrading,primary,1,per_backbone,vit_b_official_like,expected_gap_only,220,12,0.8669871794871795,0.45689966794617953
large_undergrading,primary,1,per_backbone,vit_b_official_like,top2_more_severe_only,220,12,0.8203124999999999,0.2742932730846047
