target,target_role,evaluation_scope,backbone,ranking_method,review_budget,n_folds,mean_recall,std_recall,mean_precision,std_precision,mean_lift,std_lift,mean_captured,mean_total,mean_residual,total_captured,total_dangerous,total_residual
dangerous_undergrading,secondary,per_backbone,convnext_tiny,ophagent_combined,0.05,5,0.3530668677727501,0.09858485731102487,0.41060606060606064,0.10169590420939292,6.9382147264500205,1.9594474314616956,4.6,14.0,9.4,23,70,47
dangerous_undergrading,secondary,per_backbone,convnext_tiny,gated_severe_prob_mass_only,0.05,5,0.319079939668175,0.050240340174132675,0.39242424242424245,0.13513758591081712,6.258535582064994,0.8689378768494163,4.4,14.0,9.6,22,70,48
dangerous_undergrading,secondary,per_backbone,convnext_tiny,learned_logistic,0.05,5,0.3098793363499246,0.11413024938298905,0.35909090909090907,0.11633167174608842,6.116618675442204,2.346508096447477,4.0,14.0,10.0,20,70,50
dangerous_undergrading,secondary,per_backbone,convnext_tiny,expected_gap_only,0.05,5,0.3044306184012066,0.04039289273449745,0.3757575757575758,0.13653188274022798,5.984858768682298,0.8188228786667078,4.2,14.0,9.8,21,70,49
dangerous_undergrading,secondary,per_backbone,convnext_tiny,entropy_only,0.05,5,0.20922574157868276,0.03598522444471139,0.2681818181818182,0.11180339887498948,4.106636500754147,0.6727203522429142,3.0,14.0,11.0,15,70,55
dangerous_undergrading,secondary,per_backbone,convnext_tiny,confidence_only,0.05,5,0.1819947209653092,0.03214566110657149,0.2333333333333333,0.10584393452468473,3.584742218565748,0.6835951062235562,2.6,14.0,11.4,13,70,57
dangerous_undergrading,secondary,per_backbone,convnext_tiny,uncertainty_rank_fusion,0.05,5,0.1819947209653092,0.03214566110657149,0.2333333333333333,0.10584393452468473,3.584742218565748,0.6835951062235562,2.6,14.0,11.4,13,70,57
dangerous_undergrading,secondary,per_backbone,convnext_tiny,top2_more_severe_only,0.05,5,0.17856334841628957,0.09770017843646435,0.19696969696969696,0.07725787141807249,3.5217297408473875,1.9727557267395028,2.2,14.0,11.8,11,70,59
dangerous_undergrading,secondary,per_backbone,convnext_tiny,margin_only,0.05,5,0.10152086475615887,0.059050229913260296,0.14242424242424243,0.07988743228160042,1.980686960098725,1.1344688529177482,1.6,14.0,12.4,8,70,62
dangerous_undergrading,secondary,per_backbone,convnext_tiny,expected_grade_only,0.05,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0,70,70
dangerous_undergrading,secondary,per_backbone,convnext_tiny,severe_prob_mass_only,0.05,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0,70,70
dangerous_undergrading,secondary,per_backbone,convnext_tiny,ophagent_combined,0.1,5,0.47819884364002013,0.041714983830356295,0.2972332015810277,0.0937913099578983,4.737621766553992,0.38352347514935675,6.6,14.0,7.4,33,70,37
dangerous_undergrading,secondary,per_backbone,convnext_tiny,expected_gap_only,0.1,5,0.47550276520864754,0.12902927234491599,0.2790513833992095,0.06581947495926414,4.712866864593208,1.2860420338787455,6.2,14.0,7.8,31,70,39
dangerous_undergrading,secondary,per_backbone,convnext_tiny,learned_logistic,0.1,5,0.47400703871292105,0.07552125046867864,0.2976284584980237,0.11932897315336233,4.6986401492795355,0.7573493726959655,6.6,14.0,7.4,33,70,37
dangerous_undergrading,secondary,per_backbone,convnext_tiny,gated_severe_prob_mass_only,0.1,5,0.4599296128707893,0.04805440016333613,0.28893280632411067,0.10622782421847633,4.561819851078163,0.5113873241512819,6.4,14.0,7.6,32,70,38
dangerous_undergrading,secondary,per_backbone,convnext_tiny,top2_more_severe_only,0.1,5,0.36129336349924585,0.07960043785931832,0.216600790513834,0.06056917305567327,3.5849594459249188,0.8159719059966206,4.8,14.0,9.2,24,70,46
dangerous_undergrading,secondary,per_backbone,convnext_tiny,uncertainty_rank_fusion,0.1,5,0.3197335344394168,0.05504636192326005,0.19802371541501976,0.06809440463986728,3.1669891915416213,0.5291209836260001,4.4,14.0,9.6,22,70,48
dangerous_undergrading,secondary,per_backbone,convnext_tiny,entropy_only,0.1,5,0.29890020110608345,0.08423826124442467,0.19802371541501976,0.08795465591415262,2.957519494571924,0.8144066419390351,4.4,14.0,9.6,22,70,48
dangerous_undergrading,secondary,per_backbone,convnext_tiny,margin_only,0.1,5,0.27528908999497237,0.09115446589051977,0.17984189723320157,0.08382335992272132,2.723049797602227,0.8814847955143006,4.0,14.0,10.0,20,70,50
dangerous_undergrading,secondary,per_backbone,convnext_tiny,confidence_only,0.1,5,0.25925087983911516,0.05604222658540197,0.17114624505928852,0.07453239692998764,2.5667107828233147,0.5414565093805123,3.8,14.0,10.2,19,70,51
dangerous_undergrading,secondary,per_backbone,convnext_tiny,expected_grade_only,0.1,5,0.19855455002513828,0.1822583020312671,0.09960474308300396,0.05972500736598116,1.9766153071140284,1.8270457704115188,2.2,14.0,11.8,11,70,59
dangerous_undergrading,secondary,per_backbone,convnext_tiny,severe_prob_mass_only,0.1,5,0.1527212166918049,0.12526513110967166,0.08142292490118577,0.059574409618280595,1.5194183374170587,1.2554591799442532,1.8,14.0,12.2,9,70,61
dangerous_undergrading,secondary,per_backbone,convnext_tiny,expected_gap_only,0.15,5,0.6435017596782303,0.10949638385117802,0.25918003565062386,0.06695297267968352,4.265850815850817,0.7404763726570671,8.6,14.0,5.4,43,70,27
dangerous_undergrading,secondary,per_backbone,convnext_tiny,gated_severe_prob_mass_only,0.15,5,0.6005530417295123,0.07917913578449294,0.24688057040998218,0.07489283122476192,3.9798345445404264,0.5252138688726298,8.2,14.0,5.8,41,70,29
dangerous_undergrading,secondary,per_backbone,convnext_tiny,learned_logistic,0.15,5,0.5983220211161389,0.06761626217352575,0.25918003565062386,0.10662904338051732,3.9643802276155213,0.44391536793866176,8.6,14.0,5.4,43,70,27
dangerous_undergrading,secondary,per_backbone,convnext_tiny,top2_more_severe_only,0.15,5,0.5816302161890398,0.0571327131745011,0.24117647058823527,0.08080982836878663,3.8553578774167008,0.39315199630611714,8.0,14.0,6.0,40,70,30
dangerous_undergrading,secondary,per_backbone,convnext_tiny,ophagent_combined,0.15,5,0.5371857717445953,0.024612514580103897,0.22905525846702318,0.08501197568385324,3.559398281457105,0.15338651730787478,7.6,14.0,6.4,38,70,32
dangerous_undergrading,secondary,per_backbone,convnext_tiny,entropy_only,0.15,5,0.4442119155354449,0.07966685792334259,0.1805704099821747,0.05165343589751122,2.9431475387357744,0.5241732307143586,6.0,14.0,8.0,30,70,40
dangerous_undergrading,secondary,per_backbone,convnext_tiny,confidence_only,0.15,5,0.41014328808446454,0.09104086172996784,0.17450980392156862,0.06833281661355273,2.716424425247955,0.5940866616483205,5.8,14.0,8.2,29,70,41
dangerous_undergrading,secondary,per_backbone,convnext_tiny,expected_grade_only,0.15,5,0.3995537958773253,0.06736803024164877,0.1627450980392157,0.05101123432883745,2.649018465194936,0.4568802976588816,5.4,14.0,8.6,27,70,43
dangerous_undergrading,secondary,per_backbone,convnext_tiny,uncertainty_rank_fusion,0.15,5,0.39837858220211164,0.08486864828684781,0.16844919786096257,0.06183867650161018,2.6383495589377945,0.5514164442301949,5.6,14.0,8.4,28,70,42
dangerous_undergrading,secondary,per_backbone,convnext_tiny,margin_only,0.15,5,0.3918740573152338,0.061612436891383036,0.16880570409982174,0.07008091156525226,2.5962852506970155,0.4047136891839448,5.6,14.0,8.4,28,70,42
dangerous_undergrading,secondary,per_backbone,convnext_tiny,severe_prob_mass_only,0.15,5,0.3730580693815988,0.0823566552879617,0.15080213903743317,0.04849991901673329,2.473923625394214,0.5570842334158469,5.0,14.0,9.0,25,70,45
dangerous_undergrading,secondary,per_backbone,convnext_tiny,expected_gap_only,0.2,5,0.7372109100050277,0.09940156293604654,0.23101010101010103,0.08473913709121529,3.66945661364779,0.49591088937117717,10.2,14.0,3.8,51,70,19
dangerous_undergrading,secondary,per_backbone,convnext_tiny,learned_logistic,0.2,5,0.7135180995475113,0.08584587692004912,0.22191919191919193,0.07491841632865277,3.552099216143334,0.43508614213492725,9.8,14.0,4.2,49,70,21
dangerous_undergrading,secondary,per_backbone,convnext_tiny,gated_severe_prob_mass_only,0.2,5,0.7123428858722975,0.07023240373945312,0.22626262626262625,0.08038478146080245,3.5452237305178484,0.34505291573686014,10.0,14.0,4.0,50,70,20
