target,target_role,fold,evaluation_scope,backbone,n_unique_images,n_records,positive_records,positive_image_keys,positive_rate
large_undergrading,primary,1,pooled_analysis_only,ALL,220,1320,48,16,0.03636363636363636
large_undergrading,primary,1,per_backbone,convnext_tiny,220,220,10,10,0.045454545454545456
large_undergrading,primary,1,per_backbone,retfound_official_like,220,220,8,8,0.03636363636363636
large_undergrading,primary,1,per_backbone,swin_tiny,220,220,5,5,0.022727272727272728
large_undergrading,primary,1,per_backbone,vit_b_imagenet,220,220,8,8,0.03636363636363636
large_undergrading,primary,1,per_backbone,vit_b_official_like,220,220,12,12,0.05454545454545454
large_undergrading,primary,1,per_backbone,vit_l_official_like,220,220,5,5,0.022727272727272728
large_undergrading,primary,2,pooled_analysis_only,ALL,218,1308,43,13,0.03287461773700306
large_undergrading,primary,2,per_backbone,convnext_tiny,218,218,6,6,0.027522935779816515
large_undergrading,primary,2,per_backbone,retfound_official_like,218,218,7,7,0.03211009174311927
large_undergrading,primary,2,per_backbone,swin_tiny,218,218,7,7,0.03211009174311927
large_undergrading,primary,2,per_backbone,vit_b_imagenet,218,218,8,8,0.03669724770642202
large_undergrading,primary,2,per_backbone,vit_b_official_like,218,218,6,6,0.027522935779816515
large_undergrading,primary,2,per_backbone,vit_l_official_like,218,218,9,9,0.04128440366972477
large_undergrading,primary,3,pooled_analysis_only,ALL,218,1308,58,20,0.04434250764525994
large_undergrading,primary,3,per_backbone,convnext_tiny,218,218,13,13,0.05963302752293578
large_undergrading,primary,3,per_backbone,retfound_official_like,218,218,7,7,0.03211009174311927
large_undergrading,primary,3,per_backbone,swin_tiny,218,218,7,7,0.03211009174311927
large_undergrading,primary,3,per_backbone,vit_b_imagenet,218,218,9,9,0.04128440366972477
large_undergrading,primary,3,per_backbone,vit_b_official_like,218,218,12,12,0.05504587155963303
large_undergrading,primary,3,per_backbone,vit_l_official_like,218,218,10,10,0.045871559633027525
large_undergrading,primary,4,pooled_analysis_only,ALL,223,1338,71,17,0.053064275037369206
large_undergrading,primary,4,per_backbone,convnext_tiny,223,223,14,14,0.06278026905829596
large_undergrading,primary,4,per_backbone,retfound_official_like,223,223,11,11,0.04932735426008968
large_undergrading,primary,4,per_backbone,swin_tiny,223,223,11,11,0.04932735426008968
large_undergrading,primary,4,per_backbone,vit_b_imagenet,223,223,11,11,0.04932735426008968
large_undergrading,primary,4,per_backbone,vit_b_official_like,223,223,13,13,0.05829596412556054
large_undergrading,primary,4,per_backbone,vit_l_official_like,223,223,11,11,0.04932735426008968
large_undergrading,primary,5,pooled_analysis_only,ALL,221,1326,43,15,0.032428355957767725
large_undergrading,primary,5,per_backbone,convnext_tiny,221,221,7,7,0.03167420814479638
large_undergrading,primary,5,per_backbone,retfound_official_like,221,221,4,4,0.01809954751131222
large_undergrading,primary,5,per_backbone,swin_tiny,221,221,7,7,0.03167420814479638
large_undergrading,primary,5,per_backbone,vit_b_imagenet,221,221,7,7,0.03167420814479638
large_undergrading,primary,5,per_backbone,vit_b_official_like,221,221,12,12,0.05429864253393665
large_undergrading,primary,5,per_backbone,vit_l_official_like,221,221,6,6,0.027149321266968326
vision_threatening_dr_miss,primary,1,pooled_analysis_only,ALL,222,1332,77,20,0.05780780780780781
vision_threatening_dr_miss,primary,1,per_backbone,convnext_tiny,222,222,14,14,0.06306306306306306
vision_threatening_dr_miss,primary,1,per_backbone,retfound_official_like,222,222,13,13,0.05855855855855856
vision_threatening_dr_miss,primary,1,per_backbone,swin_tiny,222,222,13,13,0.05855855855855856
vision_threatening_dr_miss,primary,1,per_backbone,vit_b_imagenet,222,222,12,12,0.05405405405405406
vision_threatening_dr_miss,primary,1,per_backbone,vit_b_official_like,222,222,15,15,0.06756756756756757
vision_threatening_dr_miss,primary,1,per_backbone,vit_l_official_like,222,222,10,10,0.04504504504504504
vision_threatening_dr_miss,primary,2,pooled_analysis_only,ALL,218,1308,69,21,0.052752293577981654
vision_threatening_dr_miss,primary,2,per_backbone,convnext_tiny,218,218,12,12,0.05504587155963303
vision_threatening_dr_miss,primary,2,per_backbone,retfound_official_like,218,218,7,7,0.03211009174311927
vision_threatening_dr_miss,primary,2,per_backbone,swin_tiny,218,218,12,12,0.05504587155963303
vision_threatening_dr_miss,primary,2,per_backbone,vit_b_imagenet,218,218,9,9,0.04128440366972477
vision_threatening_dr_miss,primary,2,per_backbone,vit_b_official_like,218,218,18,18,0.08256880733944955
vision_threatening_dr_miss,primary,2,per_backbone,vit_l_official_like,218,218,11,11,0.05045871559633028
vision_threatening_dr_miss,primary,3,pooled_analysis_only,ALL,217,1302,72,20,0.055299539170506916
vision_threatening_dr_miss,primary,3,per_backbone,convnext_tiny,217,217,12,12,0.055299539170506916
vision_threatening_dr_miss,primary,3,per_backbone,retfound_official_like,217,217,12,12,0.055299539170506916
vision_threatening_dr_miss,primary,3,per_backbone,swin_tiny,217,217,12,12,0.055299539170506916
vision_threatening_dr_miss,primary,3,per_backbone,vit_b_imagenet,217,217,10,10,0.04608294930875576
vision_threatening_dr_miss,primary,3,per_backbone,vit_b_official_like,217,217,15,15,0.06912442396313365
vision_threatening_dr_miss,primary,3,per_backbone,vit_l_official_like,217,217,11,11,0.05069124423963134
vision_threatening_dr_miss,primary,4,pooled_analysis_only,ALL,222,1332,73,19,0.054804804804804805
vision_threatening_dr_miss,primary,4,per_backbone,convnext_tiny,222,222,11,11,0.04954954954954955
