target,target_role,fold,evaluation_scope,backbone,ranking_method,review_budget,actual_review_budget,n_records,reviewed_n,auto_released_n,dangerous_error_total,dangerous_error_captured,dangerous_error_recall_at_k,dangerous_error_precision_at_k,dangerous_error_lift_vs_random,residual_dangerous_error_count,residual_dangerous_error_rate,dangerous_errors_per_100_reviewed,number_needed_to_review
large_undergrading,primary,1,pooled_analysis_only,ALL,confidence_only,0.05,0.05,1320,66,1254,48,9,0.1875,0.13636363636363635,3.75,39,0.03110047846889952,13.636363636363635,7.333333333333334
large_undergrading,primary,1,pooled_analysis_only,ALL,confidence_only,0.1,0.1,1320,132,1188,48,13,0.2708333333333333,0.09848484848484848,2.7083333333333335,35,0.029461279461279462,9.848484848484848,10.153846153846155
large_undergrading,primary,1,pooled_analysis_only,ALL,confidence_only,0.15,0.15,1320,198,1122,48,15,0.3125,0.07575757575757576,2.0833333333333335,33,0.029411764705882353,7.575757575757576,13.2
large_undergrading,primary,1,pooled_analysis_only,ALL,confidence_only,0.2,0.2,1320,264,1056,48,22,0.4583333333333333,0.08333333333333333,2.2916666666666665,26,0.02462121212121212,8.333333333333332,12.0
large_undergrading,primary,1,pooled_analysis_only,ALL,confidence_only,0.25,0.25,1320,330,990,48,25,0.5208333333333334,0.07575757575757576,2.0833333333333335,23,0.023232323232323233,7.575757575757576,13.2
large_undergrading,primary,1,pooled_analysis_only,ALL,confidence_only,0.3,0.3,1320,396,924,48,29,0.6041666666666666,0.07323232323232323,2.013888888888889,19,0.020562770562770564,7.3232323232323235,13.655172413793103
large_undergrading,primary,1,pooled_analysis_only,ALL,confidence_only,0.4,0.4,1320,528,792,48,36,0.75,0.06818181818181818,1.875,12,0.015151515151515152,6.8181818181818175,14.666666666666668
large_undergrading,primary,1,pooled_analysis_only,ALL,confidence_only,0.5,0.5,1320,660,660,48,39,0.8125,0.05909090909090909,1.625,9,0.013636363636363636,5.909090909090909,16.923076923076923
large_undergrading,primary,1,pooled_analysis_only,ALL,margin_only,0.05,0.05,1320,66,1254,48,8,0.16666666666666666,0.12121212121212122,3.3333333333333335,40,0.03189792663476874,12.121212121212121,8.25
large_undergrading,primary,1,pooled_analysis_only,ALL,margin_only,0.1,0.1,1320,132,1188,48,12,0.25,0.09090909090909091,2.5,36,0.030303030303030304,9.090909090909092,11.0
large_undergrading,primary,1,pooled_analysis_only,ALL,margin_only,0.15,0.15,1320,198,1122,48,16,0.3333333333333333,0.08080808080808081,2.2222222222222223,32,0.0285204991087344,8.080808080808081,12.374999999999998
large_undergrading,primary,1,pooled_analysis_only,ALL,margin_only,0.2,0.2,1320,264,1056,48,20,0.4166666666666667,0.07575757575757576,2.0833333333333335,28,0.026515151515151516,7.575757575757576,13.2
large_undergrading,primary,1,pooled_analysis_only,ALL,margin_only,0.25,0.25,1320,330,990,48,25,0.5208333333333334,0.07575757575757576,2.0833333333333335,23,0.023232323232323233,7.575757575757576,13.2
large_undergrading,primary,1,pooled_analysis_only,ALL,margin_only,0.3,0.3,1320,396,924,48,30,0.625,0.07575757575757576,2.0833333333333335,18,0.01948051948051948,7.575757575757576,13.2
large_undergrading,primary,1,pooled_analysis_only,ALL,margin_only,0.4,0.4,1320,528,792,48,36,0.75,0.06818181818181818,1.875,12,0.015151515151515152,6.8181818181818175,14.666666666666668
large_undergrading,primary,1,pooled_analysis_only,ALL,margin_only,0.5,0.5,1320,660,660,48,40,0.8333333333333334,0.06060606060606061,1.6666666666666667,8,0.012121212121212121,6.0606060606060606,16.5
large_undergrading,primary,1,pooled_analysis_only,ALL,entropy_only,0.05,0.05,1320,66,1254,48,7,0.14583333333333334,0.10606060606060606,2.916666666666667,41,0.03269537480063796,10.606060606060606,9.428571428571429
large_undergrading,primary,1,pooled_analysis_only,ALL,entropy_only,0.1,0.1,1320,132,1188,48,12,0.25,0.09090909090909091,2.5,36,0.030303030303030304,9.090909090909092,11.0
large_undergrading,primary,1,pooled_analysis_only,ALL,entropy_only,0.15,0.15,1320,198,1122,48,17,0.3541666666666667,0.08585858585858586,2.361111111111111,31,0.027629233511586453,8.585858585858585,11.647058823529411
large_undergrading,primary,1,pooled_analysis_only,ALL,entropy_only,0.2,0.2,1320,264,1056,48,21,0.4375,0.07954545454545454,2.1875,27,0.02556818181818182,7.954545454545454,12.571428571428571
large_undergrading,primary,1,pooled_analysis_only,ALL,entropy_only,0.25,0.25,1320,330,990,48,24,0.5,0.07272727272727272,2.0,24,0.024242424242424242,7.2727272727272725,13.75
large_undergrading,primary,1,pooled_analysis_only,ALL,entropy_only,0.3,0.3,1320,396,924,48,29,0.6041666666666666,0.07323232323232323,2.013888888888889,19,0.020562770562770564,7.3232323232323235,13.655172413793103
large_undergrading,primary,1,pooled_analysis_only,ALL,entropy_only,0.4,0.4,1320,528,792,48,33,0.6875,0.0625,1.71875,15,0.01893939393939394,6.25,16.0
large_undergrading,primary,1,pooled_analysis_only,ALL,entropy_only,0.5,0.5,1320,660,660,48,39,0.8125,0.05909090909090909,1.625,9,0.013636363636363636,5.909090909090909,16.923076923076923
large_undergrading,primary,1,pooled_analysis_only,ALL,uncertainty_rank_fusion,0.05,0.05,1320,66,1254,48,9,0.1875,0.13636363636363635,3.75,39,0.03110047846889952,13.636363636363635,7.333333333333334
large_undergrading,primary,1,pooled_analysis_only,ALL,uncertainty_rank_fusion,0.1,0.1,1320,132,1188,48,14,0.2916666666666667,0.10606060606060606,2.916666666666667,34,0.02861952861952862,10.606060606060606,9.428571428571429
large_undergrading,primary,1,pooled_analysis_only,ALL,uncertainty_rank_fusion,0.15,0.15,1320,198,1122,48,15,0.3125,0.07575757575757576,2.0833333333333335,33,0.029411764705882353,7.575757575757576,13.2
large_undergrading,primary,1,pooled_analysis_only,ALL,uncertainty_rank_fusion,0.2,0.2,1320,264,1056,48,22,0.4583333333333333,0.08333333333333333,2.2916666666666665,26,0.02462121212121212,8.333333333333332,12.0
large_undergrading,primary,1,pooled_analysis_only,ALL,uncertainty_rank_fusion,0.25,0.25,1320,330,990,48,26,0.5416666666666666,0.07878787878787878,2.1666666666666665,22,0.022222222222222223,7.878787878787878,12.692307692307693
large_undergrading,primary,1,pooled_analysis_only,ALL,uncertainty_rank_fusion,0.3,0.3,1320,396,924,48,28,0.5833333333333334,0.0707070707070707,1.9444444444444444,20,0.021645021645021644,7.07070707070707,14.142857142857144
large_undergrading,primary,1,pooled_analysis_only,ALL,uncertainty_rank_fusion,0.4,0.4,1320,528,792,48,36,0.75,0.06818181818181818,1.875,12,0.015151515151515152,6.8181818181818175,14.666666666666668
large_undergrading,primary,1,pooled_analysis_only,ALL,uncertainty_rank_fusion,0.5,0.5,1320,660,660,48,39,0.8125,0.05909090909090909,1.625,9,0.013636363636363636,5.909090909090909,16.923076923076923
large_undergrading,primary,1,pooled_analysis_only,ALL,ophagent_combined,0.05,0.05,1320,66,1254,48,13,0.2708333333333333,0.19696969696969696,5.416666666666667,35,0.027910685805422646,19.696969696969695,5.0769230769230775
large_undergrading,primary,1,pooled_analysis_only,ALL,ophagent_combined,0.1,0.1,1320,132,1188,48,18,0.375,0.13636363636363635,3.75,30,0.025252525252525252,13.636363636363635,7.333333333333334
large_undergrading,primary,1,pooled_analysis_only,ALL,ophagent_combined,0.15,0.15,1320,198,1122,48,24,0.5,0.12121212121212122,3.3333333333333335,24,0.0213903743315508,12.121212121212121,8.25
