bootstrap_id,target,method,brute_recall,weighted_recall,recall_abs_diff,brute_mean_backbone_recall,weighted_mean_backbone_recall,mean_backbone_recall_abs_diff,brute_captured,weighted_captured,captured_abs_diff,brute_total,weighted_total,total_abs_diff,brute_residual,weighted_residual,residual_abs_diff
0,large_undergrading,learned_logistic,0.6717557251908397,0.6717557251908397,0.0,0.6558218909096103,0.6558218909096103,0.0,176.0,176.0,0.0,262.0,262.0,0.0,86.0,86.0,0.0
0,large_undergrading,expected_gap_only,0.6984732824427481,0.6984732824427481,0.0,0.6789994930345807,0.6789994930345807,0.0,183.0,183.0,0.0,262.0,262.0,0.0,79.0,79.0,0.0
1,large_undergrading,learned_logistic,0.6027397260273972,0.6027397260273972,0.0,0.5949158855176363,0.5949158855176363,0.0,176.0,176.0,0.0,292.0,292.0,0.0,116.0,116.0,0.0
1,large_undergrading,expected_gap_only,0.660958904109589,0.660958904109589,0.0,0.6475455216234046,0.6475455216234046,0.0,193.0,193.0,0.0,292.0,292.0,0.0,99.0,99.0,0.0
2,large_undergrading,learned_logistic,0.7323943661971831,0.7323943661971831,0.0,0.7205725023207257,0.7205725023207257,0.0,156.0,156.0,0.0,213.0,213.0,0.0,57.0,57.0,0.0
2,large_undergrading,expected_gap_only,0.7136150234741784,0.7136150234741784,0.0,0.7022099612166524,0.7022099612166524,0.0,152.0,152.0,0.0,213.0,213.0,0.0,61.0,61.0,0.0
3,large_undergrading,learned_logistic,0.6801470588235294,0.6801470588235294,0.0,0.6743156973800764,0.6743156973800764,0.0,185.0,185.0,0.0,272.0,272.0,0.0,87.0,87.0,0.0
3,large_undergrading,expected_gap_only,0.6985294117647058,0.6985294117647058,0.0,0.6916727266557102,0.6916727266557102,0.0,190.0,190.0,0.0,272.0,272.0,0.0,82.0,82.0,0.0
4,large_undergrading,learned_logistic,0.6325581395348837,0.6325581395348837,0.0,0.6239360301108497,0.6239360301108497,0.0,136.0,136.0,0.0,215.0,215.0,0.0,79.0,79.0,0.0
4,large_undergrading,expected_gap_only,0.6976744186046512,0.6976744186046512,0.0,0.6950157790173829,0.6950157790173829,0.0,150.0,150.0,0.0,215.0,215.0,0.0,65.0,65.0,0.0
5,large_undergrading,learned_logistic,0.6102941176470589,0.6102941176470589,0.0,0.5961843644770474,0.5961843644770474,0.0,166.0,166.0,0.0,272.0,272.0,0.0,106.0,106.0,0.0
5,large_undergrading,expected_gap_only,0.6507352941176471,0.6507352941176471,0.0,0.6527186974341447,0.6527186974341447,0.0,177.0,177.0,0.0,272.0,272.0,0.0,95.0,95.0,0.0
6,large_undergrading,learned_logistic,0.6881720430107527,0.6881720430107527,0.0,0.6750987743912272,0.6750987743912272,0.0,192.0,192.0,0.0,279.0,279.0,0.0,87.0,87.0,0.0
6,large_undergrading,expected_gap_only,0.6666666666666666,0.6666666666666666,0.0,0.652409893565554,0.652409893565554,0.0,186.0,186.0,0.0,279.0,279.0,0.0,93.0,93.0,0.0
7,large_undergrading,learned_logistic,0.6988847583643123,0.6988847583643123,0.0,0.6922705443477785,0.6922705443477785,0.0,188.0,188.0,0.0,269.0,269.0,0.0,81.0,81.0,0.0
7,large_undergrading,expected_gap_only,0.6691449814126395,0.6691449814126395,0.0,0.6659679987685196,0.6659679987685196,0.0,180.0,180.0,0.0,269.0,269.0,0.0,89.0,89.0,0.0
