target,backbone,learned_method,simple_method,review_budget,endpoint_scope,total_dangerous,both_captured,learned_only,simple_only,missed_by_both,learned_captured,simple_captured,comparison_role
large_undergrading,convnext_tiny,learned_logistic,expected_gap_only,0.2,per_backbone,50,37,0,5,8,37,42,primary
large_undergrading,retfound_official_like,learned_logistic,expected_gap_only,0.2,per_backbone,37,23,1,3,10,24,26,primary
large_undergrading,swin_tiny,learned_logistic,expected_gap_only,0.2,per_backbone,37,18,2,6,11,20,24,primary
large_undergrading,vit_b_imagenet,learned_logistic,expected_gap_only,0.2,per_backbone,43,25,1,2,15,26,27,primary
large_undergrading,vit_b_official_like,learned_logistic,expected_gap_only,0.2,per_backbone,55,40,2,3,10,42,43,primary
large_undergrading,vit_l_official_like,learned_logistic,expected_gap_only,0.2,per_backbone,41,11,12,4,14,23,15,primary
vision_threatening_dr_miss,convnext_tiny,learned_logistic,gated_severe_prob_mass_only,0.2,per_backbone,65,42,6,7,10,48,49,primary
vision_threatening_dr_miss,retfound_official_like,learned_logistic,gated_severe_prob_mass_only,0.2,per_backbone,60,45,1,3,11,46,48,primary
vision_threatening_dr_miss,swin_tiny,learned_logistic,gated_severe_prob_mass_only,0.2,per_backbone,62,38,7,9,8,45,47,primary
vision_threatening_dr_miss,vit_b_imagenet,learned_logistic,gated_severe_prob_mass_only,0.2,per_backbone,58,37,4,6,11,41,43,primary
vision_threatening_dr_miss,vit_b_official_like,learned_logistic,gated_severe_prob_mass_only,0.2,per_backbone,84,60,3,8,13,63,68,primary
vision_threatening_dr_miss,vit_l_official_like,learned_logistic,gated_severe_prob_mass_only,0.2,per_backbone,62,38,3,5,16,41,43,primary
large_undergrading,convnext_tiny,learned_logistic,ophagent_combined,0.2,per_backbone,50,28,9,3,10,37,31,secondary
large_undergrading,retfound_official_like,learned_logistic,ophagent_combined,0.2,per_backbone,37,19,5,2,11,24,21,secondary
large_undergrading,swin_tiny,learned_logistic,ophagent_combined,0.2,per_backbone,37,14,6,5,12,20,19,secondary
large_undergrading,vit_b_imagenet,learned_logistic,ophagent_combined,0.2,per_backbone,43,23,3,2,15,26,25,secondary
large_undergrading,vit_b_official_like,learned_logistic,ophagent_combined,0.2,per_backbone,55,34,8,2,11,42,36,secondary
large_undergrading,vit_l_official_like,learned_logistic,ophagent_combined,0.2,per_backbone,41,20,3,4,14,23,24,secondary
vision_threatening_dr_miss,convnext_tiny,learned_logistic,ophagent_combined,0.2,per_backbone,65,38,10,5,12,48,43,secondary
vision_threatening_dr_miss,retfound_official_like,learned_logistic,ophagent_combined,0.2,per_backbone,60,37,9,5,9,46,42,secondary
vision_threatening_dr_miss,swin_tiny,learned_logistic,ophagent_combined,0.2,per_backbone,62,24,21,5,12,45,29,secondary
vision_threatening_dr_miss,vit_b_imagenet,learned_logistic,ophagent_combined,0.2,per_backbone,58,25,16,7,10,41,32,secondary
vision_threatening_dr_miss,vit_b_official_like,learned_logistic,ophagent_combined,0.2,per_backbone,84,44,19,10,11,63,54,secondary
vision_threatening_dr_miss,vit_l_official_like,learned_logistic,ophagent_combined,0.2,per_backbone,62,33,8,8,13,41,41,secondary
dangerous_undergrading,convnext_tiny,learned_logistic,gated_severe_prob_mass_only,0.2,per_backbone,70,43,8,6,13,51,49,secondary
dangerous_undergrading,retfound_official_like,learned_logistic,gated_severe_prob_mass_only,0.2,per_backbone,65,41,2,7,15,43,48,secondary
dangerous_undergrading,swin_tiny,learned_logistic,gated_severe_prob_mass_only,0.2,per_backbone,65,39,2,9,15,41,48,secondary
dangerous_undergrading,vit_b_imagenet,learned_logistic,gated_severe_prob_mass_only,0.2,per_backbone,66,38,1,7,20,39,45,secondary
dangerous_undergrading,vit_b_official_like,learned_logistic,gated_severe_prob_mass_only,0.2,per_backbone,93,61,4,10,18,65,71,secondary
dangerous_undergrading,vit_l_official_like,learned_logistic,gated_severe_prob_mass_only,0.2,per_backbone,71,37,5,6,23,42,43,secondary
dangerous_undergrading,convnext_tiny,learned_logistic,ophagent_combined,0.2,per_backbone,70,40,11,3,16,51,43,secondary
dangerous_undergrading,retfound_official_like,learned_logistic,ophagent_combined,0.2,per_backbone,65,36,7,7,15,43,43,secondary
dangerous_undergrading,swin_tiny,learned_logistic,ophagent_combined,0.2,per_backbone,65,25,16,6,18,41,31,secondary
dangerous_undergrading,vit_b_imagenet,learned_logistic,ophagent_combined,0.2,per_backbone,66,26,13,10,17,39,36,secondary
dangerous_undergrading,vit_b_official_like,learned_logistic,ophagent_combined,0.2,per_backbone,93,47,18,12,16,65,59,secondary
dangerous_undergrading,vit_l_official_like,learned_logistic,ophagent_combined,0.2,per_backbone,71,34,8,8,21,42,42,secondary
