dataset,split,split_exists,grade,n_images,unexpected_class_dirs,metadata_files_found,patient_or_eye_grouping_metadata_observed,analysis_unit
APTOS2019,train,True,0,1010,,readme.txt,False,image_level_only
APTOS2019,train,True,1,207,,readme.txt,False,image_level_only
APTOS2019,train,True,2,559,,readme.txt,False,image_level_only
APTOS2019,train,True,3,108,,readme.txt,False,image_level_only
APTOS2019,train,True,4,164,,readme.txt,False,image_level_only
APTOS2019,val,True,0,253,,readme.txt,False,image_level_only
APTOS2019,val,True,1,52,,readme.txt,False,image_level_only
APTOS2019,val,True,2,140,,readme.txt,False,image_level_only
APTOS2019,val,True,3,27,,readme.txt,False,image_level_only
APTOS2019,val,True,4,42,,readme.txt,False,image_level_only
APTOS2019,test,True,0,542,,readme.txt,False,image_level_only
APTOS2019,test,True,1,111,,readme.txt,False,image_level_only
APTOS2019,test,True,2,300,,readme.txt,False,image_level_only
APTOS2019,test,True,3,58,,readme.txt,False,image_level_only
APTOS2019,test,True,4,89,,readme.txt,False,image_level_only
IDRiD_data,train,True,0,107,,readme.txt,False,image_level_only
IDRiD_data,train,True,1,16,,readme.txt,False,image_level_only
IDRiD_data,train,True,2,108,,readme.txt,False,image_level_only
IDRiD_data,train,True,3,59,,readme.txt,False,image_level_only
IDRiD_data,train,True,4,39,,readme.txt,False,image_level_only
IDRiD_data,val,True,0,27,,readme.txt,False,image_level_only
IDRiD_data,val,True,1,4,,readme.txt,False,image_level_only
IDRiD_data,val,True,2,28,,readme.txt,False,image_level_only
IDRiD_data,val,True,3,15,,readme.txt,False,image_level_only
IDRiD_data,val,True,4,10,,readme.txt,False,image_level_only
IDRiD_data,test,True,0,34,,readme.txt,False,image_level_only
IDRiD_data,test,True,1,5,,readme.txt,False,image_level_only
IDRiD_data,test,True,2,32,,readme.txt,False,image_level_only
IDRiD_data,test,True,3,19,,readme.txt,False,image_level_only
IDRiD_data,test,True,4,13,,readme.txt,False,image_level_only
MESSIDOR2,train,True,0,568,,readme.txt,False,image_level_only
MESSIDOR2,train,True,1,151,,readme.txt,False,image_level_only
MESSIDOR2,train,True,2,193,,readme.txt,False,image_level_only
MESSIDOR2,train,True,3,41,,readme.txt,False,image_level_only
MESSIDOR2,train,True,4,19,,readme.txt,False,image_level_only
MESSIDOR2,val,True,0,143,,readme.txt,False,image_level_only
MESSIDOR2,val,True,1,38,,readme.txt,False,image_level_only
MESSIDOR2,val,True,2,49,,readme.txt,False,image_level_only
MESSIDOR2,val,True,3,11,,readme.txt,False,image_level_only
MESSIDOR2,val,True,4,5,,readme.txt,False,image_level_only
MESSIDOR2,test,True,0,306,,readme.txt,False,image_level_only
MESSIDOR2,test,True,1,81,,readme.txt,False,image_level_only
MESSIDOR2,test,True,2,105,,readme.txt,False,image_level_only
MESSIDOR2,test,True,3,23,,readme.txt,False,image_level_only
MESSIDOR2,test,True,4,11,,readme.txt,False,image_level_only
