dataset,backbone,metric,class_grade,value,n
IDRiD_data,convnext_tiny,accuracy,,0.32038834951456313,103
IDRiD_data,convnext_tiny,macro_f1,,0.30559714795008913,103
IDRiD_data,convnext_tiny,weighted_f1,,0.3464825294636831,103
IDRiD_data,convnext_tiny,qwk,,0.583512685058371,103
IDRiD_data,convnext_tiny,recall,0,0.20588235294117646,34
IDRiD_data,convnext_tiny,recall,1,0.8,5
IDRiD_data,convnext_tiny,recall,2,0.5,32
IDRiD_data,convnext_tiny,recall,3,0.15789473684210525,19
IDRiD_data,convnext_tiny,recall,4,0.23076923076923078,13
IDRiD_data,retfound_mae_cfp_official_like,accuracy,,0.3300970873786408,103
IDRiD_data,retfound_mae_cfp_official_like,macro_f1,,0.27079743849005733,103
IDRiD_data,retfound_mae_cfp_official_like,weighted_f1,,0.31722723420407656,103
IDRiD_data,retfound_mae_cfp_official_like,qwk,,0.5808913982903826,103
IDRiD_data,retfound_mae_cfp_official_like,recall,0,0.20588235294117646,34
IDRiD_data,retfound_mae_cfp_official_like,recall,1,0.8,5
IDRiD_data,retfound_mae_cfp_official_like,recall,2,0.59375,32
IDRiD_data,retfound_mae_cfp_official_like,recall,3,0.0,19
IDRiD_data,retfound_mae_cfp_official_like,recall,4,0.3076923076923077,13
IDRiD_data,swin_tiny,accuracy,,0.4563106796116505,103
IDRiD_data,swin_tiny,macro_f1,,0.32892455294354034,103
IDRiD_data,swin_tiny,weighted_f1,,0.42943203785959105,103
IDRiD_data,swin_tiny,qwk,,0.5723312071248043,103
IDRiD_data,swin_tiny,recall,0,0.6470588235294118,34
IDRiD_data,swin_tiny,recall,1,0.6,5
IDRiD_data,swin_tiny,recall,2,0.625,32
IDRiD_data,swin_tiny,recall,3,0.05263157894736842,19
IDRiD_data,swin_tiny,recall,4,0.07692307692307693,13
IDRiD_data,vit_b_imagenet,accuracy,,0.3106796116504854,103
IDRiD_data,vit_b_imagenet,macro_f1,,0.25142450142450146,103
IDRiD_data,vit_b_imagenet,weighted_f1,,0.33069178214809286,103
IDRiD_data,vit_b_imagenet,qwk,,0.4964009235366019,103
IDRiD_data,vit_b_imagenet,recall,0,0.29411764705882354,34
IDRiD_data,vit_b_imagenet,recall,1,0.8,5
IDRiD_data,vit_b_imagenet,recall,2,0.46875,32
IDRiD_data,vit_b_imagenet,recall,3,0.15789473684210525,19
IDRiD_data,vit_b_imagenet,recall,4,0.0,13
IDRiD_data,vit_b_official_like,accuracy,,0.36893203883495146,103
IDRiD_data,vit_b_official_like,macro_f1,,0.3028542568542568,103
IDRiD_data,vit_b_official_like,weighted_f1,,0.3752470614606537,103
IDRiD_data,vit_b_official_like,qwk,,0.5415338345864662,103
IDRiD_data,vit_b_official_like,recall,0,0.35294117647058826,34
IDRiD_data,vit_b_official_like,recall,1,0.6,5
IDRiD_data,vit_b_official_like,recall,2,0.59375,32
IDRiD_data,vit_b_official_like,recall,3,0.0,19
IDRiD_data,vit_b_official_like,recall,4,0.3076923076923077,13
IDRiD_data,vit_l_official_like,accuracy,,0.34951456310679613,103
IDRiD_data,vit_l_official_like,macro_f1,,0.30160926947812194,103
IDRiD_data,vit_l_official_like,weighted_f1,,0.35088847184979605,103
IDRiD_data,vit_l_official_like,qwk,,0.5648478061691948,103
IDRiD_data,vit_l_official_like,recall,0,0.23529411764705882,34
IDRiD_data,vit_l_official_like,recall,1,0.6,5
IDRiD_data,vit_l_official_like,recall,2,0.5,32
IDRiD_data,vit_l_official_like,recall,3,0.0,19
IDRiD_data,vit_l_official_like,recall,4,0.6923076923076923,13
MESSIDOR2,convnext_tiny,accuracy,,0.5874524714828897,526
MESSIDOR2,convnext_tiny,macro_f1,,0.316045559064433,526
MESSIDOR2,convnext_tiny,weighted_f1,,0.49135403939727684,526
MESSIDOR2,convnext_tiny,qwk,,0.37714376539775896,526
