dataset,backbone,true_grade,pred_grade,count
IDRiD_data,convnext_tiny,0,0,7
IDRiD_data,convnext_tiny,0,1,27
IDRiD_data,convnext_tiny,0,2,0
IDRiD_data,convnext_tiny,0,3,0
IDRiD_data,convnext_tiny,0,4,0
IDRiD_data,convnext_tiny,1,0,1
IDRiD_data,convnext_tiny,1,1,4
IDRiD_data,convnext_tiny,1,2,0
IDRiD_data,convnext_tiny,1,3,0
IDRiD_data,convnext_tiny,1,4,0
IDRiD_data,convnext_tiny,2,0,2
IDRiD_data,convnext_tiny,2,1,11
IDRiD_data,convnext_tiny,2,2,16
IDRiD_data,convnext_tiny,2,3,2
IDRiD_data,convnext_tiny,2,4,1
IDRiD_data,convnext_tiny,3,0,1
IDRiD_data,convnext_tiny,3,1,2
IDRiD_data,convnext_tiny,3,2,13
IDRiD_data,convnext_tiny,3,3,3
IDRiD_data,convnext_tiny,3,4,0
IDRiD_data,convnext_tiny,4,0,0
IDRiD_data,convnext_tiny,4,1,2
IDRiD_data,convnext_tiny,4,2,5
IDRiD_data,convnext_tiny,4,3,3
IDRiD_data,convnext_tiny,4,4,3
IDRiD_data,retfound_mae_cfp_official_like,0,0,7
IDRiD_data,retfound_mae_cfp_official_like,0,1,25
IDRiD_data,retfound_mae_cfp_official_like,0,2,1
IDRiD_data,retfound_mae_cfp_official_like,0,3,0
IDRiD_data,retfound_mae_cfp_official_like,0,4,1
IDRiD_data,retfound_mae_cfp_official_like,1,0,1
IDRiD_data,retfound_mae_cfp_official_like,1,1,4
IDRiD_data,retfound_mae_cfp_official_like,1,2,0
IDRiD_data,retfound_mae_cfp_official_like,1,3,0
IDRiD_data,retfound_mae_cfp_official_like,1,4,0
IDRiD_data,retfound_mae_cfp_official_like,2,0,1
IDRiD_data,retfound_mae_cfp_official_like,2,1,10
IDRiD_data,retfound_mae_cfp_official_like,2,2,19
IDRiD_data,retfound_mae_cfp_official_like,2,3,0
IDRiD_data,retfound_mae_cfp_official_like,2,4,2
IDRiD_data,retfound_mae_cfp_official_like,3,0,0
IDRiD_data,retfound_mae_cfp_official_like,3,1,2
IDRiD_data,retfound_mae_cfp_official_like,3,2,14
IDRiD_data,retfound_mae_cfp_official_like,3,3,0
IDRiD_data,retfound_mae_cfp_official_like,3,4,3
