dataset,backbone,target,ranking_method,score_col,budget,n,top_k,total_event,captured_event,residual_event,base_event_rate,flagged_event_rate,event_recall,enrichment_ratio,low_risk_npv
IDRiD_data,convnext_tiny,large_undergrading,expected_gap_only,expected_gap,0.1,103,11,12,3,9,0.11650485436893204,0.2727272727272727,0.25,2.340909090909091,0.9021739130434783
IDRiD_data,convnext_tiny,large_undergrading,expected_gap_only,expected_gap,0.2,103,21,12,4,8,0.11650485436893204,0.19047619047619047,0.3333333333333333,1.6349206349206349,0.9024390243902439
IDRiD_data,convnext_tiny,large_undergrading,expected_gap_only,expected_gap,0.3,103,31,12,7,5,0.11650485436893204,0.22580645161290322,0.5833333333333334,1.9381720430107525,0.9305555555555556
IDRiD_data,convnext_tiny,large_undergrading,gated_severe_prob_mass_only,gated_severe_prob_mass,0.1,103,11,12,2,10,0.11650485436893204,0.18181818181818182,0.16666666666666666,1.5606060606060606,0.8913043478260869
IDRiD_data,convnext_tiny,large_undergrading,gated_severe_prob_mass_only,gated_severe_prob_mass,0.2,103,21,12,5,7,0.11650485436893204,0.23809523809523808,0.4166666666666667,2.0436507936507935,0.9146341463414634
IDRiD_data,convnext_tiny,large_undergrading,gated_severe_prob_mass_only,gated_severe_prob_mass,0.3,103,31,12,6,6,0.11650485436893204,0.1935483870967742,0.5,1.661290322580645,0.9166666666666666
IDRiD_data,convnext_tiny,large_undergrading,severe_prob_mass_only,severe_prob_mass,0.1,103,11,12,0,12,0.11650485436893204,0.0,0.0,0.0,0.8695652173913043
IDRiD_data,convnext_tiny,large_undergrading,severe_prob_mass_only,severe_prob_mass,0.2,103,21,12,1,11,0.11650485436893204,0.047619047619047616,0.08333333333333333,0.4087301587301587,0.8658536585365854
IDRiD_data,convnext_tiny,large_undergrading,severe_prob_mass_only,severe_prob_mass,0.3,103,31,12,5,7,0.11650485436893204,0.16129032258064516,0.4166666666666667,1.3844086021505375,0.9027777777777778
IDRiD_data,convnext_tiny,large_undergrading,entropy_only,entropy,0.1,103,11,12,3,9,0.11650485436893204,0.2727272727272727,0.25,2.340909090909091,0.9021739130434783
IDRiD_data,convnext_tiny,large_undergrading,entropy_only,entropy,0.2,103,21,12,7,5,0.11650485436893204,0.3333333333333333,0.5833333333333334,2.8611111111111107,0.9390243902439024
IDRiD_data,convnext_tiny,large_undergrading,entropy_only,entropy,0.3,103,31,12,8,4,0.11650485436893204,0.25806451612903225,0.6666666666666666,2.21505376344086,0.9444444444444444
IDRiD_data,convnext_tiny,large_undergrading,low_margin_only,margin,0.1,103,11,12,2,10,0.11650485436893204,0.18181818181818182,0.16666666666666666,1.5606060606060606,0.8913043478260869
IDRiD_data,convnext_tiny,large_undergrading,low_margin_only,margin,0.2,103,21,12,3,9,0.11650485436893204,0.14285714285714285,0.25,1.226190476190476,0.8902439024390244
IDRiD_data,convnext_tiny,large_undergrading,low_margin_only,margin,0.3,103,31,12,6,6,0.11650485436893204,0.1935483870967742,0.5,1.661290322580645,0.9166666666666666
IDRiD_data,convnext_tiny,large_undergrading,low_confidence_only,confidence,0.1,103,11,12,1,11,0.11650485436893204,0.09090909090909091,0.08333333333333333,0.7803030303030303,0.8804347826086957
IDRiD_data,convnext_tiny,large_undergrading,low_confidence_only,confidence,0.2,103,21,12,5,7,0.11650485436893204,0.23809523809523808,0.4166666666666667,2.0436507936507935,0.9146341463414634
IDRiD_data,convnext_tiny,large_undergrading,low_confidence_only,confidence,0.3,103,31,12,6,6,0.11650485436893204,0.1935483870967742,0.5,1.661290322580645,0.9166666666666666
IDRiD_data,convnext_tiny,vision_threatening_dr_miss,expected_gap_only,expected_gap,0.1,103,11,23,4,19,0.22330097087378642,0.36363636363636365,0.17391304347826086,1.6284584980237153,0.7934782608695652
IDRiD_data,convnext_tiny,vision_threatening_dr_miss,expected_gap_only,expected_gap,0.2,103,21,23,6,17,0.22330097087378642,0.2857142857142857,0.2608695652173913,1.2795031055900619,0.7926829268292683
IDRiD_data,convnext_tiny,vision_threatening_dr_miss,expected_gap_only,expected_gap,0.3,103,31,23,10,13,0.22330097087378642,0.3225806451612903,0.43478260869565216,1.4446002805049087,0.8194444444444444
IDRiD_data,convnext_tiny,vision_threatening_dr_miss,gated_severe_prob_mass_only,gated_severe_prob_mass,0.1,103,11,23,8,15,0.22330097087378642,0.7272727272727273,0.34782608695652173,3.2569169960474307,0.8369565217391304
IDRiD_data,convnext_tiny,vision_threatening_dr_miss,gated_severe_prob_mass_only,gated_severe_prob_mass,0.2,103,21,23,16,7,0.22330097087378642,0.7619047619047619,0.6956521739130435,3.4120082815734984,0.9146341463414634
IDRiD_data,convnext_tiny,vision_threatening_dr_miss,gated_severe_prob_mass_only,gated_severe_prob_mass,0.3,103,31,23,18,5,0.22330097087378642,0.5806451612903226,0.782608695652174,2.6002805049088358,0.9305555555555556
IDRiD_data,convnext_tiny,vision_threatening_dr_miss,severe_prob_mass_only,severe_prob_mass,0.1,103,11,23,0,23,0.22330097087378642,0.0,0.0,0.0,0.75
IDRiD_data,convnext_tiny,vision_threatening_dr_miss,severe_prob_mass_only,severe_prob_mass,0.2,103,21,23,7,16,0.22330097087378642,0.3333333333333333,0.30434782608695654,1.4927536231884055,0.8048780487804879
IDRiD_data,convnext_tiny,vision_threatening_dr_miss,severe_prob_mass_only,severe_prob_mass,0.3,103,31,23,15,8,0.22330097087378642,0.4838709677419355,0.6521739130434783,2.166900420757363,0.8888888888888888
