dataset,backbone,target,method,budget,n_random,n,top_k,eligible_count,total_event,event_recall_mean,event_recall_ci95_low,event_recall_ci95_high,captured_event_mean,captured_event_ci95_low,captured_event_ci95_high,residual_event_count_mean,residual_event_count_ci95_low,residual_event_count_ci95_high,residual_event_rate_mean,residual_event_rate_ci95_low,residual_event_rate_ci95_high,enrichment_ratio_mean,enrichment_ratio_ci95_low,enrichment_ratio_ci95_high,event_recall_expected,captured_event_expected,residual_event_count_expected,residual_event_rate_expected,enrichment_ratio_expected
IDRiD_data,convnext_tiny,vtdr_miss,random_gate_only,0.05,2000,103,6,91,23,0.06476086956521737,0.0,0.17391304347826086,1.4895,0.0,4.0,21.5105,19.0,23.0,0.22175773195876292,0.1958762886597938,0.23711340206185566,1.111728260869565,0.0,2.985507246376811,0.06593406593406594,1.5164835164835164,21.483516483516482,0.22147955137645858,1.1318681318681318
IDRiD_data,convnext_tiny,vtdr_miss,random_gate_only,0.1,2000,103,11,91,23,0.12132608695652172,0.0,0.2608695652173913,2.7905,0.0,6.0,20.2095,17.0,23.0,0.21966847826086958,0.18478260869565216,0.25,1.1360533596837945,0.0,2.442687747035573,0.12087912087912088,2.78021978021978,20.21978021978022,0.21978021978021978,1.1318681318681318
IDRiD_data,convnext_tiny,vtdr_miss,random_gate_only,0.2,2000,103,21,91,23,0.2298478260869565,0.08695652173913043,0.391304347826087,5.2865,2.0,9.0,17.7135,14.0,21.0,0.2160182926829269,0.17073170731707318,0.25609756097560976,1.1273488612836435,0.4265010351966873,1.919254658385093,0.23076923076923075,5.3076923076923075,17.692307692307693,0.21575984990619138,1.1318681318681318
IDRiD_data,convnext_tiny,vtdr_miss,random_gate_only,0.3,2000,103,31,91,23,0.337695652173913,0.17391304347826086,0.5217391304347826,7.767,4.0,12.0,15.233,11.0,19.0,0.21156944444444445,0.1527777777777778,0.2638888888888889,1.1220210378681628,0.5778401122019635,1.7335203366058904,0.34065934065934067,7.835164835164835,15.164835164835164,0.21062271062271062,1.1318681318681318
IDRiD_data,convnext_tiny,vtdr_miss,random_gate_only,0.4,2000,103,42,91,23,0.4606739130434783,0.30434782608695654,0.6521739130434783,10.5955,7.0,15.0,12.4045,8.0,16.0,0.20335245901639343,0.13114754098360656,0.26229508196721313,1.129747929606625,0.7463768115942028,1.5993788819875776,0.4615384615384615,10.615384615384615,12.384615384615385,0.2030264817150063,1.1318681318681318
IDRiD_data,convnext_tiny,vtdr_miss,random_gate_only,0.5,2000,103,52,91,23,0.5727391304347825,0.391304347826087,0.7391304347826086,13.173,9.0,17.0,9.827,6.0,14.0,0.1926862745098039,0.11764705882352941,0.27450980392156865,1.1344640468227427,0.7750836120401338,1.4640468227424748,0.5714285714285714,13.142857142857142,9.857142857142858,0.19327731092436976,1.1318681318681318
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,random_gate_only,0.05,2000,103,6,93,25,0.06328,0.0,0.16,1.582,0.0,4.0,23.418,21.0,25.0,0.24142268041237117,0.21649484536082475,0.25773195876288657,1.0863066666666668,0.0,2.7466666666666666,0.06451612903225806,1.6129032258064515,23.387096774193548,0.24110409045560358,1.10752688172043
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,random_gate_only,0.1,2000,103,11,93,25,0.11802000000000001,0.0,0.24,2.9505,0.0,6.0,22.0495,19.0,25.0,0.23966847826086957,0.20652173913043478,0.2717391304347826,1.1050963636363635,0.0,2.247272727272727,0.11827956989247312,2.956989247311828,22.043010752688172,0.23959794296400186,1.10752688172043
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,random_gate_only,0.2,2000,103,21,93,25,0.22190000000000004,0.08,0.36,5.5475,2.0,9.0,19.4525,16.0,23.0,0.2372256097560976,0.1951219512195122,0.2804878048780488,1.0883666666666665,0.39238095238095233,1.7657142857142856,0.22580645161290325,5.645161290322581,19.35483870967742,0.23603461841070025,1.1075268817204302
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,random_gate_only,0.3,2000,103,31,93,25,0.33376,0.16,0.52,8.344,4.0,13.0,16.656,12.0,21.0,0.23133333333333334,0.16666666666666666,0.2916666666666667,1.1089445161290319,0.5316129032258065,1.727741935483871,0.33333333333333337,8.333333333333334,16.666666666666664,0.23148148148148145,1.1075268817204302
