dataset,backbone,event,method,n,accuracy,event_count,event_rate,auroc_error,aurc,augrc,partial_augrc_70_90,budget,top_k,total_event,top20_event_recall,top20_captured_event_count,top20_residual_event_count,top20_residual_event_rate
IDRiD_data,convnext_tiny,general_error,confidence_only_1msp,103,0.32038834951456313,70,0.6796116504854369,0.6645021645021645,0.49966829490750536,0.3039871806956357,0.5301347912150061,0.2,21,70,0.22857142857142856,16,54,0.5242718446601942
IDRiD_data,convnext_tiny,general_error,negative_margin,103,0.32038834951456313,70,0.6796116504854369,0.6558441558441559,0.51049951180523,0.3058723725139033,0.5384084268074276,0.2,21,70,0.2,14,56,0.5436893203883495
IDRiD_data,convnext_tiny,general_error,entropy,103,0.32038834951456313,70,0.6796116504854369,0.71991341991342,0.4780335714828563,0.29192195305872365,0.5222193420680554,0.2,21,70,0.24285714285714285,17,53,0.5145631067961165
IDRiD_data,convnext_tiny,general_error,expected_gap,103,0.32038834951456313,70,0.6796116504854369,0.5874458874458874,0.6192428390505266,0.32076538787821657,0.5247407861249882,0.2,21,70,0.22857142857142856,16,54,0.5242718446601942
IDRiD_data,convnext_tiny,general_error,severe_prob_mass,103,0.32038834951456313,70,0.6796116504854369,0.4649350649350649,0.6472240148268655,0.34744085210670184,0.5453105853520596,0.2,21,70,0.21428571428571427,15,55,0.5339805825242718
IDRiD_data,convnext_tiny,general_error,gated_severe_prob_mass_only,103,0.32038834951456313,70,0.6796116504854369,0.5601731601731602,0.6039625770510492,0.32623244415119235,0.5221957771703271,0.2,21,70,0.2571428571428571,18,52,0.5048543689320388
IDRiD_data,convnext_tiny,large_undergrading,confidence_only_1msp,103,0.32038834951456313,12,0.11650485436893204,0.6767399267399268,0.06325162525796509,0.04006032613818457,0.07569045150344048,0.2,21,12,0.4166666666666667,5,7,0.06796116504854369
IDRiD_data,convnext_tiny,large_undergrading,negative_margin,103,0.32038834951456313,12,0.11650485436893204,0.6501831501831502,0.06926368052233435,0.042793854274672465,0.07795268168536149,0.2,21,12,0.25,3,9,0.08737864077669903
IDRiD_data,convnext_tiny,large_undergrading,entropy,103,0.32038834951456313,12,0.11650485436893204,0.6556776556776557,0.07877030631308805,0.0422282967291922,0.0587449335469884,0.2,21,12,0.5833333333333334,7,5,0.04854368932038835
IDRiD_data,convnext_tiny,large_undergrading,expected_gap,103,0.32038834951456313,12,0.11650485436893204,0.7152014652014652,0.05275543824457123,0.0361014233198228,0.07248326892261288,0.2,21,12,0.3333333333333333,4,8,0.07766990291262135
