scenario,setting,budget,policy,n_images,selected_n,estimated_total_ms,estimated_ms_per_image,models_called,cost_note,estimated_images_per_second
online_no_cache,green_only,0.0,none,1100,0,2082.6990249333903,1.8933627499394456,retfound_green_linear_probe,serial sum of measured forward-only model cost across required models,528.1608080818017
online_no_cache,convnext_only,0.0,none,1100,0,526.1491229757667,0.47831738452342426,convnext_tiny,serial sum of measured forward-only model cost across required models,2090.6620423097497
online_no_cache,retfound_only,0.0,none,1100,0,3862.900585751049,3.5117278052282264,retfound_mae_cfp_official_protocol,serial sum of measured forward-only model cost across required models,284.7601111086143
online_no_cache,experts_only_dense,1.0,none,1100,1100,4389.049708726816,3.9900451897516507,convnext_tiny+retfound_mae_cfp_official_protocol,serial sum of measured forward-only model cost across required models,250.62372791377888
online_no_cache,all_three_dense,1.0,none,1100,1100,6471.748733660206,5.8834079396910965,retfound_green_linear_probe+convnext_tiny+retfound_mae_cfp_official_protocol,serial sum of measured forward-only model cost across required models,169.96951601022317
online_no_cache,D_convnext_scout_to_retfound_only,0.3,high_entropy,1100,330,1685.0192987010814,1.5318357260918922,convnext_tiny -> retfound_mae_cfp_official_protocol,serial forward-equivalent estimate: measured scout forward-only cost + selected_n times measured expert forward-only per-image cost,652.8115142941977
cached_scout,D_convnext_scout_to_retfound_only,0.3,high_entropy,1100,330,1158.8701757253148,1.053518341568468,retfound_mae_cfp_official_protocol,cached-scout estimate: assumes scout outputs already exist; only selected expert forward-only calls counted,949.2003703620476
online_no_cache,C_green_scout_to_retfound_only,0.3,high_entropy,1100,330,3241.569200658705,2.9468810915079136,retfound_green_linear_probe -> retfound_mae_cfp_official_protocol,serial forward-equivalent estimate: measured scout forward-only cost + selected_n times measured expert forward-only per-image cost,339.34182240393756
cached_scout,C_green_scout_to_retfound_only,0.3,high_entropy,1100,330,1158.8701757253148,1.053518341568468,retfound_mae_cfp_official_protocol,cached-scout estimate: assumes scout outputs already exist; only selected expert forward-only calls counted,949.2003703620476
online_no_cache,A_green_scout_to_convnext_retfound_avg,0.3,high_entropy,1100,330,3399.413937551435,3.090376306864941,retfound_green_linear_probe -> convnext_tiny+retfound_mae_cfp_official_protocol,serial forward-equivalent estimate: measured scout forward-only cost + selected_n times measured expert forward-only per-image cost,323.58518856703853
cached_scout,A_green_scout_to_convnext_retfound_avg,0.3,high_entropy,1100,330,1316.7149126180448,1.1970135569254952,convnext_tiny+retfound_mae_cfp_official_protocol,cached-scout estimate: assumes scout outputs already exist; only selected expert forward-only calls counted,835.4124263792629
online_no_cache,B_green_scout_to_convnext_only,0.3,high_entropy,1100,330,2240.5437618261203,2.036857965296473,retfound_green_linear_probe -> convnext_tiny,serial forward-equivalent estimate: measured scout forward-only cost + selected_n times measured expert forward-only per-image cost,490.9522495126193
cached_scout,B_green_scout_to_convnext_only,0.3,high_entropy,1100,330,157.84473689273,0.14349521535702728,convnext_tiny,cached-scout estimate: assumes scout outputs already exist; only selected expert forward-only calls counted,6968.873474365833
online_no_cache,D_convnext_scout_to_retfound_only,0.4,high_entropy,1100,440,2071.3093572761863,1.8830085066147149,convnext_tiny -> retfound_mae_cfp_official_protocol,serial forward-equivalent estimate: measured scout forward-only cost + selected_n times measured expert forward-only per-image cost,531.0650464334899
cached_scout,D_convnext_scout_to_retfound_only,0.4,high_entropy,1100,440,1545.1602343004197,1.4046911220912905,retfound_mae_cfp_official_protocol,cached-scout estimate: assumes scout outputs already exist; only selected expert forward-only calls counted,711.9002777715358
