item,value,description
n_images,1100,APTOS test 图像数
models,convnext_tiny;retfound_green_linear_probe;retfound_mae_cfp_official_protocol,参与分析的模型
best_single_model,retfound_mae_cfp_official_protocol,Accuracy 最高单模型
best_single_accuracy,0.8481818181818181,最佳单模型 Accuracy
experts_only_average_accuracy,0.8545454545454545,ConvNeXt+RETFound 专家平均概率 ensemble Accuracy
all_three_average_accuracy,0.8454545454545455,Green+ConvNeXt+RETFound 三模型平均概率 ensemble Accuracy
oracle_accuracy,0.9109090909090909,Oracle expert selection Accuracy，不可部署
oracle_gain_over_best_single,0.06272727272727274,Oracle 相对最佳单模型 Acc 增益
all_models_wrong_count,98,三个模型全部错误图像数
all_models_correct_count,760,三个模型全部正确图像数
mixed_correct_wrong_count,242,至少一个模型正确且至少一个模型错误的图像数
