policy,budget,selected_n,event,event_total,captured,recall_at_budget,precision_in_selected,random_expected_captured,enrichment_vs_random
low_confidence,0.3,330,experts_correct_green_error,120,88,0.7333333333333333,0.26666666666666666,36.0,2.4444444444444446
high_entropy,0.3,330,experts_correct_green_error,120,88,0.7333333333333333,0.26666666666666666,36.0,2.4444444444444446
low_margin,0.3,330,experts_correct_green_error,120,86,0.7166666666666667,0.2606060606060606,36.0,2.388888888888889
low_confidence,0.4,440,experts_correct_green_error,120,104,0.8666666666666667,0.23636363636363636,48.0,2.1666666666666665
low_margin,0.4,440,experts_correct_green_error,120,103,0.8583333333333333,0.2340909090909091,48.0,2.1458333333333335
high_entropy,0.4,440,experts_correct_green_error,120,102,0.85,0.2318181818181818,48.0,2.125
low_confidence,0.5,550,experts_correct_green_error,120,114,0.95,0.20727272727272728,60.0,1.9
low_margin,0.5,550,experts_correct_green_error,120,114,0.95,0.20727272727272728,60.0,1.9
high_entropy,0.5,550,experts_correct_green_error,120,113,0.9416666666666667,0.20545454545454545,60.0,1.8833333333333333
high_entropy,0.3,330,experts_fix_large_undergrading,5,5,1.0,0.015151515151515152,1.5,3.3333333333333335
low_confidence,0.3,330,experts_fix_large_undergrading,5,4,0.8,0.012121212121212121,1.5,2.6666666666666665
low_margin,0.3,330,experts_fix_large_undergrading,5,4,0.8,0.012121212121212121,1.5,2.6666666666666665
low_confidence,0.4,440,experts_fix_large_undergrading,5,5,1.0,0.011363636363636364,2.0,2.5
low_margin,0.4,440,experts_fix_large_undergrading,5,5,1.0,0.011363636363636364,2.0,2.5
high_entropy,0.4,440,experts_fix_large_undergrading,5,5,1.0,0.011363636363636364,2.0,2.5
low_confidence,0.5,550,experts_fix_large_undergrading,5,5,1.0,0.00909090909090909,2.5,2.0
low_margin,0.5,550,experts_fix_large_undergrading,5,5,1.0,0.00909090909090909,2.5,2.0
high_entropy,0.5,550,experts_fix_large_undergrading,5,5,1.0,0.00909090909090909,2.5,2.0
high_entropy,0.3,330,experts_fix_severe_pdr_miss,8,7,0.875,0.021212121212121213,2.4,2.916666666666667
low_confidence,0.3,330,experts_fix_severe_pdr_miss,8,6,0.75,0.01818181818181818,2.4,2.5
low_margin,0.3,330,experts_fix_severe_pdr_miss,8,6,0.75,0.01818181818181818,2.4,2.5
low_margin,0.4,440,experts_fix_severe_pdr_miss,8,8,1.0,0.01818181818181818,3.2,2.5
low_confidence,0.4,440,experts_fix_severe_pdr_miss,8,7,0.875,0.015909090909090907,3.2,2.1875
high_entropy,0.4,440,experts_fix_severe_pdr_miss,8,7,0.875,0.015909090909090907,3.2,2.1875
low_confidence,0.5,550,experts_fix_severe_pdr_miss,8,8,1.0,0.014545454545454545,4.0,2.0
low_margin,0.5,550,experts_fix_severe_pdr_miss,8,8,1.0,0.014545454545454545,4.0,2.0
high_entropy,0.5,550,experts_fix_severe_pdr_miss,8,8,1.0,0.014545454545454545,4.0,2.0
high_entropy,0.3,330,green_error,243,165,0.6790123456790124,0.5,72.89999999999999,2.263374485596708
low_confidence,0.3,330,green_error,243,162,0.6666666666666666,0.4909090909090909,72.89999999999999,2.2222222222222223
low_margin,0.3,330,green_error,243,161,0.6625514403292181,0.48787878787878786,72.89999999999999,2.2085048010973938
low_confidence,0.4,440,green_error,243,202,0.831275720164609,0.4590909090909091,97.2,2.0781893004115224
low_margin,0.4,440,green_error,243,200,0.823045267489712,0.45454545454545453,97.2,2.05761316872428
high_entropy,0.4,440,green_error,243,199,0.8189300411522634,0.45227272727272727,97.2,2.0473251028806585
low_confidence,0.5,550,green_error,243,225,0.9259259259259259,0.4090909090909091,121.5,1.8518518518518519
