setting,scout,expert,budget,selected_n,policy,expert_forward_calls,accuracy,macro_f1,qwk,n_error
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.3,330,low_confidence,660,0.84,0.7078744360428191,0.9020765995035941,176
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.3,330,low_margin,660,0.8354545454545454,0.7002160041304724,0.8993116472856493,181
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.3,330,high_entropy,660,0.8409090909090909,0.7058955368244861,0.9055984799176972,175
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.4,440,low_confidence,880,0.8454545454545455,0.7086220559327303,0.9074051453741873,170
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.4,440,low_margin,880,0.8454545454545455,0.7095355163011178,0.9075934003614643,170
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.4,440,high_entropy,880,0.8463636363636363,0.7108632125879101,0.907528942430116,169
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.5,550,low_confidence,1100,0.8527272727272728,0.7199646449868917,0.9102194582120389,162
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.5,550,low_margin,1100,0.8527272727272728,0.7198927810341795,0.9102059500962765,162
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.5,550,high_entropy,1100,0.8518181818181818,0.7186682167890306,0.9099985075263315,163
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.3,330,low_confidence,330,0.8163636363636364,0.6694958105871877,0.869893347892952,202
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.3,330,low_margin,330,0.8136363636363636,0.6662400447826393,0.8684136287783273,205
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.3,330,high_entropy,330,0.8190909090909091,0.6744408939319233,0.8754163498302471,199
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.4,440,low_confidence,440,0.8181818181818182,0.6668107966261043,0.8686197523406826,200
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.4,440,low_margin,440,0.8190909090909091,0.6705341595953078,0.8722816271095628,199
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.4,440,high_entropy,440,0.8172727272727273,0.6621904809323772,0.8684471108560757,201
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.5,550,low_confidence,550,0.8209090909090909,0.6710341752213351,0.8687052715165038,197
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.5,550,low_margin,550,0.8209090909090909,0.671616015629396,0.8686049283106055,197
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.5,550,high_entropy,550,0.8209090909090909,0.6710341752213351,0.8687052715165038,197
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.3,330,low_confidence,330,0.8409090909090909,0.7085822732777671,0.9081852977161714,175
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.3,330,low_margin,330,0.8363636363636363,0.7003730356364045,0.9054609209825188,180
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.3,330,high_entropy,330,0.8418181818181818,0.7054223180120939,0.9113943849221866,174
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.4,440,low_confidence,440,0.8418181818181818,0.6987562006095859,0.911550364694321,174
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.4,440,low_margin,440,0.8418181818181818,0.7004751445616273,0.9117277419031049,174
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.4,440,high_entropy,440,0.8418181818181818,0.6996755987399528,0.9114103100875246,174
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.5,550,low_confidence,550,0.8481818181818181,0.71158031555047,0.9141842168305055,167
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.5,550,low_margin,550,0.8472727272727273,0.7103719164277722,0.9139634804108125,168
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.5,550,high_entropy,550,0.8472727272727273,0.7103719164277722,0.9139634804108125,168
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,330,low_confidence,330,0.8427272727272728,0.6978969436569603,0.9073745148345503,173
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,330,low_margin,330,0.8427272727272728,0.6989559494492517,0.9077561057680608,173
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,330,high_entropy,330,0.8463636363636363,0.7023916855337272,0.9080475965408231,169
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.4,440,low_confidence,440,0.85,0.7085498144340767,0.9131802410710165,165
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.4,440,low_margin,440,0.85,0.7081140651480788,0.9140143945884154,165
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.4,440,high_entropy,440,0.85,0.7123945237230448,0.9118823413986519,165
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,550,low_confidence,550,0.8518181818181818,0.7120131767323397,0.9139670977118229,163
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,550,low_margin,550,0.85,0.7096597688521952,0.9133788475907233,165
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,550,high_entropy,550,0.850909090909091,0.7105437325611172,0.9137105559184361,164
