setting,scout,expert,budget,policy,event,event_total,selected_event_n,event_recall,event_precision_in_selected
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.3,low_confidence,scout_error,243,162,0.6666666666666666,0.4909090909090909
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.3,low_confidence,expert_correctable_scout_error,120,88,0.7333333333333333,0.26666666666666666
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.3,low_confidence,severe_pdr_miss_dr_specific,45,31,0.6888888888888889,0.09393939393939393
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.3,low_confidence,large_undergrading_dr_specific,28,20,0.7142857142857143,0.06060606060606061
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.3,low_confidence,referable_dr_miss_dr_specific,56,34,0.6071428571428571,0.10303030303030303
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.3,low_margin,scout_error,243,161,0.6625514403292181,0.48787878787878786
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.3,low_margin,expert_correctable_scout_error,120,86,0.7166666666666667,0.2606060606060606
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.3,low_margin,severe_pdr_miss_dr_specific,45,31,0.6888888888888889,0.09393939393939393
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.3,low_margin,large_undergrading_dr_specific,28,20,0.7142857142857143,0.06060606060606061
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.3,low_margin,referable_dr_miss_dr_specific,56,34,0.6071428571428571,0.10303030303030303
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.3,high_entropy,scout_error,243,165,0.6790123456790124,0.5
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.3,high_entropy,expert_correctable_scout_error,120,88,0.7333333333333333,0.26666666666666666
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.3,high_entropy,severe_pdr_miss_dr_specific,45,32,0.7111111111111111,0.09696969696969697
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.3,high_entropy,large_undergrading_dr_specific,28,21,0.75,0.06363636363636363
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.3,high_entropy,referable_dr_miss_dr_specific,56,37,0.6607142857142857,0.11212121212121212
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.4,low_confidence,scout_error,243,202,0.831275720164609,0.4590909090909091
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.4,low_confidence,expert_correctable_scout_error,120,104,0.8666666666666667,0.23636363636363636
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.4,low_confidence,severe_pdr_miss_dr_specific,45,38,0.8444444444444444,0.08636363636363636
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.4,low_confidence,large_undergrading_dr_specific,28,24,0.8571428571428571,0.05454545454545454
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.4,low_confidence,referable_dr_miss_dr_specific,56,43,0.7678571428571429,0.09772727272727273
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.4,low_margin,scout_error,243,200,0.823045267489712,0.45454545454545453
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.4,low_margin,expert_correctable_scout_error,120,103,0.8583333333333333,0.2340909090909091
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.4,low_margin,severe_pdr_miss_dr_specific,45,40,0.8888888888888888,0.09090909090909091
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.4,low_margin,large_undergrading_dr_specific,28,25,0.8928571428571429,0.056818181818181816
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.4,low_margin,referable_dr_miss_dr_specific,56,45,0.8035714285714286,0.10227272727272728
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.4,high_entropy,scout_error,243,199,0.8189300411522634,0.45227272727272727
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.4,high_entropy,expert_correctable_scout_error,120,102,0.85,0.2318181818181818
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.4,high_entropy,severe_pdr_miss_dr_specific,45,40,0.8888888888888888,0.09090909090909091
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.4,high_entropy,large_undergrading_dr_specific,28,27,0.9642857142857143,0.06136363636363636
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.4,high_entropy,referable_dr_miss_dr_specific,56,43,0.7678571428571429,0.09772727272727273
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.5,low_confidence,scout_error,243,225,0.9259259259259259,0.4090909090909091
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.5,low_confidence,expert_correctable_scout_error,120,114,0.95,0.20727272727272728
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.5,low_confidence,severe_pdr_miss_dr_specific,45,44,0.9777777777777777,0.08
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.5,low_confidence,large_undergrading_dr_specific,28,27,0.9642857142857143,0.04909090909090909
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.5,low_confidence,referable_dr_miss_dr_specific,56,47,0.8392857142857143,0.08545454545454545
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.5,low_margin,scout_error,243,225,0.9259259259259259,0.4090909090909091
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.5,low_margin,expert_correctable_scout_error,120,114,0.95,0.20727272727272728
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.5,low_margin,severe_pdr_miss_dr_specific,45,44,0.9777777777777777,0.08
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.5,low_margin,large_undergrading_dr_specific,28,27,0.9642857142857143,0.04909090909090909
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.5,low_margin,referable_dr_miss_dr_specific,56,47,0.8392857142857143,0.08545454545454545
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.5,high_entropy,scout_error,243,222,0.9135802469135802,0.4036363636363636
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.5,high_entropy,expert_correctable_scout_error,120,113,0.9416666666666667,0.20545454545454545
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.5,high_entropy,severe_pdr_miss_dr_specific,45,44,0.9777777777777777,0.08
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.5,high_entropy,large_undergrading_dr_specific,28,27,0.9642857142857143,0.04909090909090909
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.5,high_entropy,referable_dr_miss_dr_specific,56,47,0.8392857142857143,0.08545454545454545
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.3,low_confidence,scout_error,243,162,0.6666666666666666,0.4909090909090909
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.3,low_confidence,expert_correctable_scout_error,110,82,0.7454545454545455,0.24848484848484848
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.3,low_confidence,severe_pdr_miss_dr_specific,45,31,0.6888888888888889,0.09393939393939393
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.3,low_confidence,large_undergrading_dr_specific,28,20,0.7142857142857143,0.06060606060606061
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.3,low_confidence,referable_dr_miss_dr_specific,56,34,0.6071428571428571,0.10303030303030303
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.3,low_margin,scout_error,243,161,0.6625514403292181,0.48787878787878786
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.3,low_margin,expert_correctable_scout_error,110,79,0.7181818181818181,0.23939393939393938
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.3,low_margin,severe_pdr_miss_dr_specific,45,31,0.6888888888888889,0.09393939393939393
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.3,low_margin,large_undergrading_dr_specific,28,20,0.7142857142857143,0.06060606060606061
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.3,low_margin,referable_dr_miss_dr_specific,56,34,0.6071428571428571,0.10303030303030303
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.3,high_entropy,scout_error,243,165,0.6790123456790124,0.5
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.3,high_entropy,expert_correctable_scout_error,110,82,0.7454545454545455,0.24848484848484848
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.3,high_entropy,severe_pdr_miss_dr_specific,45,32,0.7111111111111111,0.09696969696969697
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.3,high_entropy,large_undergrading_dr_specific,28,21,0.75,0.06363636363636363
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.3,high_entropy,referable_dr_miss_dr_specific,56,37,0.6607142857142857,0.11212121212121212
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.4,low_confidence,scout_error,243,202,0.831275720164609,0.4590909090909091
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.4,low_confidence,expert_correctable_scout_error,110,97,0.8818181818181818,0.22045454545454546
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.4,low_confidence,severe_pdr_miss_dr_specific,45,38,0.8444444444444444,0.08636363636363636
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.4,low_confidence,large_undergrading_dr_specific,28,24,0.8571428571428571,0.05454545454545454
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.4,low_confidence,referable_dr_miss_dr_specific,56,43,0.7678571428571429,0.09772727272727273
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.4,low_margin,scout_error,243,200,0.823045267489712,0.45454545454545453
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.4,low_margin,expert_correctable_scout_error,110,97,0.8818181818181818,0.22045454545454546
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.4,low_margin,severe_pdr_miss_dr_specific,45,40,0.8888888888888888,0.09090909090909091
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.4,low_margin,large_undergrading_dr_specific,28,25,0.8928571428571429,0.056818181818181816
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.4,low_margin,referable_dr_miss_dr_specific,56,45,0.8035714285714286,0.10227272727272728
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.4,high_entropy,scout_error,243,199,0.8189300411522634,0.45227272727272727
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.4,high_entropy,expert_correctable_scout_error,110,94,0.8545454545454545,0.21363636363636362
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.4,high_entropy,severe_pdr_miss_dr_specific,45,40,0.8888888888888888,0.09090909090909091
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.4,high_entropy,large_undergrading_dr_specific,28,27,0.9642857142857143,0.06136363636363636
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.4,high_entropy,referable_dr_miss_dr_specific,56,43,0.7678571428571429,0.09772727272727273
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.5,low_confidence,scout_error,243,225,0.9259259259259259,0.4090909090909091
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.5,low_confidence,expert_correctable_scout_error,110,105,0.9545454545454546,0.19090909090909092
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.5,low_confidence,severe_pdr_miss_dr_specific,45,44,0.9777777777777777,0.08
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.5,low_confidence,large_undergrading_dr_specific,28,27,0.9642857142857143,0.04909090909090909
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.5,low_confidence,referable_dr_miss_dr_specific,56,47,0.8392857142857143,0.08545454545454545
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.5,low_margin,scout_error,243,225,0.9259259259259259,0.4090909090909091
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.5,low_margin,expert_correctable_scout_error,110,105,0.9545454545454546,0.19090909090909092
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.5,low_margin,severe_pdr_miss_dr_specific,45,44,0.9777777777777777,0.08
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.5,low_margin,large_undergrading_dr_specific,28,27,0.9642857142857143,0.04909090909090909
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.5,low_margin,referable_dr_miss_dr_specific,56,47,0.8392857142857143,0.08545454545454545
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.5,high_entropy,scout_error,243,222,0.9135802469135802,0.4036363636363636
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.5,high_entropy,expert_correctable_scout_error,110,105,0.9545454545454546,0.19090909090909092
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.5,high_entropy,severe_pdr_miss_dr_specific,45,44,0.9777777777777777,0.08
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.5,high_entropy,large_undergrading_dr_specific,28,27,0.9642857142857143,0.04909090909090909
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.5,high_entropy,referable_dr_miss_dr_specific,56,47,0.8392857142857143,0.08545454545454545
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.3,low_confidence,scout_error,243,162,0.6666666666666666,0.4909090909090909
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.3,low_confidence,expert_correctable_scout_error,125,91,0.728,0.27575757575757576
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.3,low_confidence,severe_pdr_miss_dr_specific,45,31,0.6888888888888889,0.09393939393939393
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.3,low_confidence,large_undergrading_dr_specific,28,20,0.7142857142857143,0.06060606060606061
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.3,low_confidence,referable_dr_miss_dr_specific,56,34,0.6071428571428571,0.10303030303030303
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.3,low_margin,scout_error,243,161,0.6625514403292181,0.48787878787878786
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.3,low_margin,expert_correctable_scout_error,125,90,0.72,0.2727272727272727
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.3,low_margin,severe_pdr_miss_dr_specific,45,31,0.6888888888888889,0.09393939393939393
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.3,low_margin,large_undergrading_dr_specific,28,20,0.7142857142857143,0.06060606060606061
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.3,low_margin,referable_dr_miss_dr_specific,56,34,0.6071428571428571,0.10303030303030303
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.3,high_entropy,scout_error,243,165,0.6790123456790124,0.5
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.3,high_entropy,expert_correctable_scout_error,125,93,0.744,0.2818181818181818
