setting,scout,expert,budget,selected_n,policy,expert_forward_calls,accuracy,macro_f1,qwk,n_error,random_acc_mean,random_acc_p975,random_qwk_mean,random_qwk_p975,oracle_accuracy,oracle_macro_f1,oracle_qwk,oracle_n_error,scout_error_total,selected_scout_errors,scout_error_capture_recall,expert_correctable_total,selected_expert_correctable,expert_correctable_capture_recall,rescued_scout_errors,expert_induced_errors,net_error_reduction,final_error_reduction,above_random_p975_acc,gap_to_oracle_acc
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,330,high_entropy,330,0.8463636363636363,0.7023916855337272,0.9080475965408231,169,0.8240813636363635,0.8336363636363636,0.8777490948816017,0.8874103695828216,0.889090909090909,0.7784269395099723,0.9183881554716237,122,205,139,0.6780487804878049,83,67,0.8072289156626506,67,31,36,36,True,0.042727272727272725
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.3,330,high_entropy,330,0.8418181818181818,0.7054223180120939,0.9113943849221866,174,0.7997736363636363,0.8109090909090909,0.8789464781929294,0.8871841214889257,0.8927272727272727,0.7970717105856955,0.9261734335447758,118,243,165,0.6790123456790124,125,93,0.744,93,24,69,69,True,0.050909090909090904
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.3,330,high_entropy,660,0.8409090909090909,0.7058955368244861,0.9055984799176972,175,0.8017831818181818,0.8118181818181818,0.8781075361243263,0.88601621240858,0.8881818181818182,0.7877538169729456,0.9210579222921857,123,243,165,0.6790123456790124,120,88,0.7333333333333333,88,20,68,68,True,0.047272727272727244
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.3,330,high_entropy,330,0.8190909090909091,0.6744408939319233,0.8754163498302471,199,0.78959,0.8009090909090909,0.8644252245144283,0.8744695079790118,0.8790909090909091,0.7727812803323437,0.9158813056939347,133,243,165,0.6790123456790124,110,82,0.7454545454545455,82,38,44,44,True,0.06000000000000005
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.4,440,high_entropy,440,0.85,0.7123945237230448,0.9118823413986519,165,0.8275154545454545,0.8381818181818181,0.8829593607429281,0.8934899736594905,0.889090909090909,0.7783319714425638,0.9183759571611582,122,205,170,0.8292682926829268,83,79,0.9518072289156626,79,39,40,40,True,0.039090909090909065
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.4,440,high_entropy,880,0.8463636363636363,0.7108632125879101,0.907528942430116,169,0.809295,0.82,0.8824373835935876,0.8909012075512758,0.8881818181818182,0.7889366223233515,0.9232941171590983,123,243,199,0.8189300411522634,120,102,0.85,102,28,74,74,True,0.041818181818181865
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.4,440,low_margin,440,0.8418181818181818,0.7004751445616273,0.9117277419031049,174,0.8067672727272727,0.8181818181818182,0.8836884035756748,0.8923641375904092,0.8927272727272727,0.7974866282116035,0.9276029639593363,118,243,200,0.823045267489712,125,105,0.84,105,36,69,69,True,0.050909090909090904
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.4,440,low_margin,440,0.8190909090909091,0.6705341595953078,0.8722816271095628,199,0.7928727272727273,0.8045454545454546,0.863796548566284,0.8750242099826233,0.8790909090909091,0.7728768025461358,0.9158937286363,133,243,200,0.823045267489712,110,97,0.8818181818181818,97,53,44,44,True,0.06000000000000005
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.5,550,low_confidence,1100,0.8527272727272728,0.7199646449868917,0.9102194582120389,162,0.8169936363636364,0.8281818181818181,0.8870379161192362,0.8958941639821045,0.8881818181818182,0.7908641311559091,0.9255693295670373,123,243,225,0.9259259259259259,120,114,0.95,114,33,81,81,True,0.035454545454545405
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,550,low_confidence,550,0.8518181818181818,0.7120131767323397,0.9139670977118229,163,0.8308895454545454,0.8409090909090909,0.8877682824771612,0.898306350347841,0.889090909090909,0.7791476864703971,0.9207424356972679,122,205,198,0.9658536585365853,83,83,1.0,83,41,42,42,True,0.037272727272727235
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.5,550,low_confidence,550,0.8481818181818181,0.71158031555047,0.9141842168305055,167,0.8134836363636364,0.8254545454545454,0.8882394749250441,0.8974780605258209,0.8927272727272727,0.7993676417611701,0.9298761256727195,118,243,225,0.9259259259259259,125,118,0.944,118,42,76,76,True,0.044545454545454555
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.5,550,low_margin,550,0.8209090909090909,0.671616015629396,0.8686049283106055,197,0.7962763636363636,0.8082045454545453,0.863281711608686,0.8743574477821515,0.8790909090909091,0.7725820175904928,0.910580971945501,133,243,225,0.9259259259259259,110,105,0.9545454545454546,105,59,46,46,True,0.05818181818181822
