setting,scout,expert,budget,selected_n,policy,expert_forward_calls,accuracy,macro_f1,qwk,n_error
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.3,330,oracle_same_budget_posthoc,660,0.8881818181818182,0.7877538169729456,0.9210579222921857,123
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.4,440,oracle_same_budget_posthoc,880,0.8881818181818182,0.7889366223233515,0.9232941171590983,123
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.5,550,oracle_same_budget_posthoc,1100,0.8881818181818182,0.7908641311559091,0.9255693295670373,123
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.3,330,oracle_same_budget_posthoc,330,0.8790909090909091,0.7727812803323437,0.9158813056939347,133
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.4,440,oracle_same_budget_posthoc,440,0.8790909090909091,0.7728768025461358,0.9158937286363,133
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.5,550,oracle_same_budget_posthoc,550,0.8790909090909091,0.7725820175904928,0.910580971945501,133
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.3,330,oracle_same_budget_posthoc,330,0.8927272727272727,0.7970717105856955,0.9261734335447758,118
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.4,440,oracle_same_budget_posthoc,440,0.8927272727272727,0.7974866282116035,0.9276029639593363,118
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.5,550,oracle_same_budget_posthoc,550,0.8927272727272727,0.7993676417611701,0.9298761256727195,118
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,330,oracle_same_budget_posthoc,330,0.889090909090909,0.7784269395099723,0.9183881554716237,122
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.4,440,oracle_same_budget_posthoc,440,0.889090909090909,0.7783319714425638,0.9183759571611582,122
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,550,oracle_same_budget_posthoc,550,0.889090909090909,0.7791476864703971,0.9207424356972679,122
