setting,budget,random_n,random_acc_mean,random_acc_p025,random_acc_p975,random_macro_f1_mean,random_qwk_mean,random_qwk_p975
A_green_scout_to_convnext_retfound_avg,0.3,2000,0.8017831818181818,0.7927272727272727,0.8118181818181818,0.6623285017716726,0.8781075361243263,0.88601621240858
A_green_scout_to_convnext_retfound_avg,0.4,2000,0.809295,0.7990909090909091,0.82,0.6697944374714104,0.8824373835935876,0.8909012075512758
A_green_scout_to_convnext_retfound_avg,0.5,2000,0.8169936363636364,0.8054545454545454,0.8281818181818181,0.6779570934458914,0.8870379161192362,0.8958941639821045
B_green_scout_to_convnext_only,0.3,2000,0.78959,0.7781818181818182,0.8009090909090909,0.6436611390558917,0.8644252245144283,0.8744695079790118
B_green_scout_to_convnext_only,0.4,2000,0.7928727272727273,0.7817954545454546,0.8045454545454546,0.644425695560167,0.863796548566284,0.8750242099826233
B_green_scout_to_convnext_only,0.5,2000,0.7962763636363636,0.7836363636363637,0.8082045454545453,0.6454707486726917,0.863281711608686,0.8743574477821515
C_green_scout_to_retfound_only,0.3,2000,0.7997736363636363,0.7890909090909091,0.8109090909090909,0.6588396748705458,0.8789464781929294,0.8871841214889257
C_green_scout_to_retfound_only,0.4,2000,0.8067672727272727,0.7954545454545454,0.8181818181818182,0.6655510747045229,0.8836884035756748,0.8923641375904092
C_green_scout_to_retfound_only,0.5,2000,0.8134836363636364,0.8027272727272727,0.8254545454545454,0.6716223699361465,0.8882394749250441,0.8974780605258209
D_convnext_scout_to_retfound_only,0.3,2000,0.8240813636363635,0.8145454545454546,0.8336363636363636,0.6676742282396441,0.8777490948816017,0.8874103695828216
D_convnext_scout_to_retfound_only,0.4,2000,0.8275154545454545,0.8181818181818182,0.8381818181818181,0.6735166659307344,0.8829593607429281,0.8934899736594905
D_convnext_scout_to_retfound_only,0.5,2000,0.8308895454545454,0.8209090909090909,0.8409090909090909,0.6787211682459279,0.8877682824771612,0.898306350347841
