setting,scout,expert,budget,policy,scout_error_total,selected_scout_errors,scout_error_capture_recall,expert_correctable_total,selected_expert_correctable,expert_correctable_capture_recall,rescued_scout_errors,expert_induced_errors,net_error_reduction,final_error_reduction
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.3,low_confidence,243,162,0.6666666666666666,120,88,0.7333333333333333,88,21,67,67
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.3,low_margin,243,161,0.6625514403292181,120,86,0.7166666666666667,86,24,62,62
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.3,high_entropy,243,165,0.6790123456790124,120,88,0.7333333333333333,88,20,68,68
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.4,low_confidence,243,202,0.831275720164609,120,104,0.8666666666666667,104,31,73,73
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.4,low_margin,243,200,0.823045267489712,120,103,0.8583333333333333,103,30,73,73
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.4,high_entropy,243,199,0.8189300411522634,120,102,0.85,102,28,74,74
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.5,low_confidence,243,225,0.9259259259259259,120,114,0.95,114,33,81,81
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.5,low_margin,243,225,0.9259259259259259,120,114,0.95,114,33,81,81
A_green_scout_to_convnext_retfound_avg,retfound_green_linear_probe,convnext+retfound_avg,0.5,high_entropy,243,222,0.9135802469135802,120,113,0.9416666666666667,113,33,80,80
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.3,low_confidence,243,162,0.6666666666666666,110,82,0.7454545454545455,82,41,41,41
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.3,low_margin,243,161,0.6625514403292181,110,79,0.7181818181818181,79,41,38,38
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.3,high_entropy,243,165,0.6790123456790124,110,82,0.7454545454545455,82,38,44,44
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.4,low_confidence,243,202,0.831275720164609,110,97,0.8818181818181818,97,54,43,43
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.4,low_margin,243,200,0.823045267489712,110,97,0.8818181818181818,97,53,44,44
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.4,high_entropy,243,199,0.8189300411522634,110,94,0.8545454545454545,94,52,42,42
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.5,low_confidence,243,225,0.9259259259259259,110,105,0.9545454545454546,105,59,46,46
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.5,low_margin,243,225,0.9259259259259259,110,105,0.9545454545454546,105,59,46,46
B_green_scout_to_convnext_only,retfound_green_linear_probe,convnext_tiny,0.5,high_entropy,243,222,0.9135802469135802,110,105,0.9545454545454546,105,59,46,46
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.3,low_confidence,243,162,0.6666666666666666,125,91,0.728,91,23,68,68
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.3,low_margin,243,161,0.6625514403292181,125,90,0.72,90,27,63,63
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.3,high_entropy,243,165,0.6790123456790124,125,93,0.744,93,24,69,69
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.4,low_confidence,243,202,0.831275720164609,125,106,0.848,106,37,69,69
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.4,low_margin,243,200,0.823045267489712,125,105,0.84,105,36,69,69
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.4,high_entropy,243,199,0.8189300411522634,125,104,0.832,104,35,69,69
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.5,low_confidence,243,225,0.9259259259259259,125,118,0.944,118,42,76,76
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.5,low_margin,243,225,0.9259259259259259,125,117,0.936,117,42,75,75
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.5,high_entropy,243,222,0.9135802469135802,125,117,0.936,117,42,75,75
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,low_confidence,205,136,0.6634146341463415,83,71,0.8554216867469879,71,39,32,32
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,low_margin,205,134,0.6536585365853659,83,71,0.8554216867469879,71,39,32,32
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,high_entropy,205,139,0.6780487804878049,83,67,0.8072289156626506,67,31,36,36
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.4,low_confidence,205,173,0.8439024390243902,83,81,0.9759036144578314,81,41,40,40
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.4,low_margin,205,169,0.824390243902439,83,81,0.9759036144578314,81,41,40,40
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.4,high_entropy,205,170,0.8292682926829268,83,79,0.9518072289156626,79,39,40,40
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,low_confidence,205,198,0.9658536585365853,83,83,1.0,83,41,42,42
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,low_margin,205,197,0.9609756097560975,83,83,1.0,83,43,40,40
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,high_entropy,205,198,0.9658536585365853,83,83,1.0,83,42,41,41
