method,route_signal,expert_mode,budget,expert_calls,n_images,accuracy,macro_f1,qwk,n_correct,n_error
single,none,retfound_green_linear_probe,0.0,0,1100,0.7790909090909091,0.6394309461388187,0.8653377490177998,857,243
single,none,convnext_tiny,1.0,1100,1100,0.8136363636363636,0.6496387745585863,0.86153550730867,895,205
single,none,retfound_mae_cfp_official_protocol,1.0,1100,1100,0.8481818181818181,0.7053623145676526,0.9128907111651475,933,167
dense_average,none,experts_only_average,1.0,2200,1100,0.8545454545454545,0.7186645964065106,0.910170019929115,940,160
dense_average,none,all_three_average,1.0,2200,1100,0.8454545454545455,0.7111982937349345,0.9062788648355965,930,170
uncertainty_defer,low_confidence,convnext,0.1,110,1100,0.7936363636363636,0.6544572116661639,0.8658109595233983,873,227
uncertainty_defer,low_confidence,retfound_official_protocol,0.1,110,1100,0.8036363636363636,0.6677413992508001,0.8844867829442223,884,216
uncertainty_defer,low_confidence,both_experts_average,0.1,220,1100,0.8036363636363636,0.6683210915793238,0.8810286050495786,884,216
uncertainty_defer,low_confidence,all_three_average,0.1,220,1100,0.8009090909090909,0.6626762859935468,0.8777360884011929,881,219
uncertainty_defer,low_confidence,convnext,0.2,220,1100,0.8127272727272727,0.6696453739999685,0.8679653840953779,894,206
uncertainty_defer,low_confidence,retfound_official_protocol,0.2,220,1100,0.8327272727272728,0.7039690463890319,0.9033289478105557,916,184
uncertainty_defer,low_confidence,both_experts_average,0.2,440,1100,0.8290909090909091,0.6998240451139145,0.8956469342768546,912,188
uncertainty_defer,low_confidence,all_three_average,0.2,440,1100,0.8254545454545454,0.692746573552579,0.8920988495587688,908,192
uncertainty_defer,low_confidence,convnext,0.3,330,1100,0.8163636363636364,0.6694958105871877,0.869893347892952,898,202
uncertainty_defer,low_confidence,retfound_official_protocol,0.3,330,1100,0.8409090909090909,0.7085822732777671,0.9081852977161714,925,175
uncertainty_defer,low_confidence,both_experts_average,0.3,660,1100,0.84,0.7078744360428191,0.9020765995035941,924,176
uncertainty_defer,low_confidence,all_three_average,0.3,660,1100,0.8345454545454546,0.699043323648801,0.8984907795791451,918,182
uncertainty_defer,low_confidence,convnext,0.4,440,1100,0.8181818181818182,0.6668107966261043,0.8686197523406826,900,200
uncertainty_defer,low_confidence,retfound_official_protocol,0.4,440,1100,0.8418181818181818,0.6987562006095859,0.911550364694321,926,174
uncertainty_defer,low_confidence,both_experts_average,0.4,880,1100,0.8454545454545455,0.7086220559327303,0.9074051453741873,930,170
uncertainty_defer,low_confidence,all_three_average,0.4,880,1100,0.8381818181818181,0.6977927743581327,0.9021620462018165,922,178
