policy,expert,expert_call_rate,event,total_event_n,defer_event_n,non_defer_event_n,capture_rate,expected_capture_random,lift_vs_random,defer_event_rate,non_defer_event_rate,rate_ratio_defer_vs_non
low_confidence,convnext,0.1,green_error,243,63,180,0.25925925925925924,0.1,2.592592592592592,0.5727272727272728,0.18181818181818182,3.15
low_confidence,convnext,0.1,referable_dr_true_ge2,447,85,362,0.19015659955257272,0.1,1.9015659955257271,0.7727272727272727,0.3656565656565657,2.113259668508287
low_confidence,convnext,0.1,severe_or_pdr_true_ge3,147,27,120,0.1836734693877551,0.1,1.836734693877551,0.24545454545454545,0.12121212121212122,2.025
low_confidence,convnext,0.1,pdr_true_eq4,89,20,69,0.2247191011235955,0.1,2.2471910112359548,0.18181818181818182,0.0696969696969697,2.608695652173913
low_confidence,convnext,0.1,green_referable_miss_true_ge2_pred_le1,56,11,45,0.19642857142857142,0.1,1.9642857142857142,0.1,0.045454545454545456,2.2
low_confidence,convnext,0.1,green_vtdr_miss_true_ge3_pred_le2,45,16,29,0.35555555555555557,0.1,3.5555555555555554,0.14545454545454545,0.029292929292929294,4.96551724137931
low_confidence,convnext,0.1,green_large_undergrading_true_ge4_pred_le2,28,11,17,0.39285714285714285,0.1,3.9285714285714284,0.1,0.01717171717171717,5.8235294117647065
low_confidence,convnext,0.1,green_two_step_undergrading,34,13,21,0.38235294117647056,0.1,3.8235294117647056,0.11818181818181818,0.021212121212121213,5.571428571428571
low_confidence,convnext,0.2,green_error,243,121,122,0.49794238683127573,0.2,2.4897119341563787,0.55,0.13863636363636364,3.9672131147540988
low_confidence,convnext,0.2,referable_dr_true_ge2,447,176,271,0.39373601789709173,0.2,1.9686800894854586,0.8,0.3079545454545455,2.5977859778597785
low_confidence,convnext,0.2,severe_or_pdr_true_ge3,147,53,94,0.36054421768707484,0.2,1.8027210884353742,0.2409090909090909,0.10681818181818181,2.25531914893617
low_confidence,convnext,0.2,pdr_true_eq4,89,37,52,0.4157303370786517,0.2,2.0786516853932584,0.16818181818181818,0.05909090909090909,2.8461538461538463
low_confidence,convnext,0.2,green_referable_miss_true_ge2_pred_le1,56,24,32,0.42857142857142855,0.2,2.142857142857143,0.10909090909090909,0.03636363636363636,3.0
low_confidence,convnext,0.2,green_vtdr_miss_true_ge3_pred_le2,45,27,18,0.6,0.2,2.9999999999999996,0.12272727272727273,0.020454545454545454,6.0
low_confidence,convnext,0.2,green_large_undergrading_true_ge4_pred_le2,28,18,10,0.6428571428571429,0.2,3.2142857142857144,0.08181818181818182,0.011363636363636364,7.2
low_confidence,convnext,0.2,green_two_step_undergrading,34,23,11,0.6764705882352942,0.2,3.3823529411764706,0.10454545454545454,0.0125,8.363636363636363
low_confidence,convnext,0.3,green_error,243,162,81,0.6666666666666666,0.3,2.2222222222222223,0.4909090909090909,0.10519480519480519,4.666666666666667
low_confidence,convnext,0.3,referable_dr_true_ge2,447,258,189,0.5771812080536913,0.3,1.923937360178971,0.7818181818181819,0.24545454545454545,3.1851851851851856
low_confidence,convnext,0.3,severe_or_pdr_true_ge3,147,77,70,0.5238095238095238,0.3,1.7460317460317463,0.23333333333333334,0.09090909090909091,2.5666666666666664
low_confidence,convnext,0.3,pdr_true_eq4,89,51,38,0.5730337078651685,0.3,1.9101123595505618,0.15454545454545454,0.04935064935064935,3.131578947368421
low_confidence,convnext,0.3,green_referable_miss_true_ge2_pred_le1,56,34,22,0.6071428571428571,0.3,2.0238095238095237,0.10303030303030303,0.02857142857142857,3.606060606060606
low_confidence,convnext,0.3,green_vtdr_miss_true_ge3_pred_le2,45,31,14,0.6888888888888889,0.3,2.2962962962962963,0.09393939393939393,0.01818181818181818,5.166666666666667
low_confidence,convnext,0.3,green_large_undergrading_true_ge4_pred_le2,28,20,8,0.7142857142857143,0.3,2.380952380952381,0.06060606060606061,0.01038961038961039,5.833333333333334
low_confidence,convnext,0.3,green_two_step_undergrading,34,25,9,0.7352941176470589,0.3,2.450980392156863,0.07575757575757576,0.011688311688311689,6.481481481481482
low_confidence,convnext,0.4,green_error,243,202,41,0.831275720164609,0.4,2.0781893004115224,0.4590909090909091,0.06212121212121212,7.390243902439025
low_confidence,convnext,0.4,referable_dr_true_ge2,447,330,117,0.738255033557047,0.4,1.8456375838926176,0.75,0.17727272727272728,4.230769230769231
low_confidence,convnext,0.4,severe_or_pdr_true_ge3,147,99,48,0.673469387755102,0.4,1.6836734693877549,0.225,0.07272727272727272,3.0937500000000004
low_confidence,convnext,0.4,pdr_true_eq4,89,59,30,0.6629213483146067,0.4,1.6573033707865166,0.1340909090909091,0.045454545454545456,2.95
low_confidence,convnext,0.4,green_referable_miss_true_ge2_pred_le1,56,43,13,0.7678571428571429,0.4,1.9196428571428572,0.09772727272727273,0.019696969696969695,4.961538461538463
low_confidence,convnext,0.4,green_vtdr_miss_true_ge3_pred_le2,45,38,7,0.8444444444444444,0.4,2.111111111111111,0.08636363636363636,0.010606060606060607,8.142857142857142
low_confidence,convnext,0.4,green_large_undergrading_true_ge4_pred_le2,28,24,4,0.8571428571428571,0.4,2.142857142857143,0.05454545454545454,0.006060606060606061,9.0
low_confidence,convnext,0.4,green_two_step_undergrading,34,30,4,0.8823529411764706,0.4,2.205882352941176,0.06818181818181818,0.006060606060606061,11.25
low_confidence,convnext,0.5,green_error,243,225,18,0.9259259259259259,0.5,1.8518518518518519,0.4090909090909091,0.03272727272727273,12.5
low_confidence,convnext,0.5,referable_dr_true_ge2,447,390,57,0.87248322147651,0.5,1.74496644295302,0.7090909090909091,0.10363636363636364,6.842105263157895
low_confidence,convnext,0.5,severe_or_pdr_true_ge3,147,122,25,0.8299319727891157,0.5,1.6598639455782314,0.22181818181818183,0.045454545454545456,4.88
low_confidence,convnext,0.5,pdr_true_eq4,89,73,16,0.8202247191011236,0.5,1.6404494382022472,0.13272727272727272,0.02909090909090909,4.5625
low_confidence,convnext,0.5,green_referable_miss_true_ge2_pred_le1,56,47,9,0.8392857142857143,0.5,1.6785714285714286,0.08545454545454545,0.016363636363636365,5.222222222222221
low_confidence,convnext,0.5,green_vtdr_miss_true_ge3_pred_le2,45,44,1,0.9777777777777777,0.5,1.9555555555555555,0.08,0.0018181818181818182,44.0
low_confidence,convnext,0.5,green_large_undergrading_true_ge4_pred_le2,28,27,1,0.9642857142857143,0.5,1.9285714285714286,0.04909090909090909,0.0018181818181818182,27.0
low_confidence,convnext,0.5,green_two_step_undergrading,34,33,1,0.9705882352941176,0.5,1.9411764705882353,0.06,0.0018181818181818182,33.0
low_confidence,retfound_mae,0.1,green_error,243,63,180,0.25925925925925924,0.1,2.592592592592592,0.5727272727272728,0.18181818181818182,3.15
low_confidence,retfound_mae,0.1,referable_dr_true_ge2,447,85,362,0.19015659955257272,0.1,1.9015659955257271,0.7727272727272727,0.3656565656565657,2.113259668508287
low_confidence,retfound_mae,0.1,severe_or_pdr_true_ge3,147,27,120,0.1836734693877551,0.1,1.836734693877551,0.24545454545454545,0.12121212121212122,2.025
low_confidence,retfound_mae,0.1,pdr_true_eq4,89,20,69,0.2247191011235955,0.1,2.2471910112359548,0.18181818181818182,0.0696969696969697,2.608695652173913
low_confidence,retfound_mae,0.1,green_referable_miss_true_ge2_pred_le1,56,11,45,0.19642857142857142,0.1,1.9642857142857142,0.1,0.045454545454545456,2.2
low_confidence,retfound_mae,0.1,green_vtdr_miss_true_ge3_pred_le2,45,16,29,0.35555555555555557,0.1,3.5555555555555554,0.14545454545454545,0.029292929292929294,4.96551724137931
low_confidence,retfound_mae,0.1,green_large_undergrading_true_ge4_pred_le2,28,11,17,0.39285714285714285,0.1,3.9285714285714284,0.1,0.01717171717171717,5.8235294117647065
low_confidence,retfound_mae,0.1,green_two_step_undergrading,34,13,21,0.38235294117647056,0.1,3.8235294117647056,0.11818181818181818,0.021212121212121213,5.571428571428571
low_confidence,retfound_mae,0.2,green_error,243,121,122,0.49794238683127573,0.2,2.4897119341563787,0.55,0.13863636363636364,3.9672131147540988
low_confidence,retfound_mae,0.2,referable_dr_true_ge2,447,176,271,0.39373601789709173,0.2,1.9686800894854586,0.8,0.3079545454545455,2.5977859778597785
low_confidence,retfound_mae,0.2,severe_or_pdr_true_ge3,147,53,94,0.36054421768707484,0.2,1.8027210884353742,0.2409090909090909,0.10681818181818181,2.25531914893617
low_confidence,retfound_mae,0.2,pdr_true_eq4,89,37,52,0.4157303370786517,0.2,2.0786516853932584,0.16818181818181818,0.05909090909090909,2.8461538461538463
low_confidence,retfound_mae,0.2,green_referable_miss_true_ge2_pred_le1,56,24,32,0.42857142857142855,0.2,2.142857142857143,0.10909090909090909,0.03636363636363636,3.0
low_confidence,retfound_mae,0.2,green_vtdr_miss_true_ge3_pred_le2,45,27,18,0.6,0.2,2.9999999999999996,0.12272727272727273,0.020454545454545454,6.0
low_confidence,retfound_mae,0.2,green_large_undergrading_true_ge4_pred_le2,28,18,10,0.6428571428571429,0.2,3.2142857142857144,0.08181818181818182,0.011363636363636364,7.2
low_confidence,retfound_mae,0.2,green_two_step_undergrading,34,23,11,0.6764705882352942,0.2,3.3823529411764706,0.10454545454545454,0.0125,8.363636363636363
low_confidence,retfound_mae,0.3,green_error,243,162,81,0.6666666666666666,0.3,2.2222222222222223,0.4909090909090909,0.10519480519480519,4.666666666666667
low_confidence,retfound_mae,0.3,referable_dr_true_ge2,447,258,189,0.5771812080536913,0.3,1.923937360178971,0.7818181818181819,0.24545454545454545,3.1851851851851856
low_confidence,retfound_mae,0.3,severe_or_pdr_true_ge3,147,77,70,0.5238095238095238,0.3,1.7460317460317463,0.23333333333333334,0.09090909090909091,2.5666666666666664
low_confidence,retfound_mae,0.3,pdr_true_eq4,89,51,38,0.5730337078651685,0.3,1.9101123595505618,0.15454545454545454,0.04935064935064935,3.131578947368421
low_confidence,retfound_mae,0.3,green_referable_miss_true_ge2_pred_le1,56,34,22,0.6071428571428571,0.3,2.0238095238095237,0.10303030303030303,0.02857142857142857,3.606060606060606
low_confidence,retfound_mae,0.3,green_vtdr_miss_true_ge3_pred_le2,45,31,14,0.6888888888888889,0.3,2.2962962962962963,0.09393939393939393,0.01818181818181818,5.166666666666667
low_confidence,retfound_mae,0.3,green_large_undergrading_true_ge4_pred_le2,28,20,8,0.7142857142857143,0.3,2.380952380952381,0.06060606060606061,0.01038961038961039,5.833333333333334
low_confidence,retfound_mae,0.3,green_two_step_undergrading,34,25,9,0.7352941176470589,0.3,2.450980392156863,0.07575757575757576,0.011688311688311689,6.481481481481482
low_confidence,retfound_mae,0.4,green_error,243,202,41,0.831275720164609,0.4,2.0781893004115224,0.4590909090909091,0.06212121212121212,7.390243902439025
low_confidence,retfound_mae,0.4,referable_dr_true_ge2,447,330,117,0.738255033557047,0.4,1.8456375838926176,0.75,0.17727272727272728,4.230769230769231
low_confidence,retfound_mae,0.4,severe_or_pdr_true_ge3,147,99,48,0.673469387755102,0.4,1.6836734693877549,0.225,0.07272727272727272,3.0937500000000004
low_confidence,retfound_mae,0.4,pdr_true_eq4,89,59,30,0.6629213483146067,0.4,1.6573033707865166,0.1340909090909091,0.045454545454545456,2.95
low_confidence,retfound_mae,0.4,green_referable_miss_true_ge2_pred_le1,56,43,13,0.7678571428571429,0.4,1.9196428571428572,0.09772727272727273,0.019696969696969695,4.961538461538463
low_confidence,retfound_mae,0.4,green_vtdr_miss_true_ge3_pred_le2,45,38,7,0.8444444444444444,0.4,2.111111111111111,0.08636363636363636,0.010606060606060607,8.142857142857142
low_confidence,retfound_mae,0.4,green_large_undergrading_true_ge4_pred_le2,28,24,4,0.8571428571428571,0.4,2.142857142857143,0.05454545454545454,0.006060606060606061,9.0
low_confidence,retfound_mae,0.4,green_two_step_undergrading,34,30,4,0.8823529411764706,0.4,2.205882352941176,0.06818181818181818,0.006060606060606061,11.25
low_confidence,retfound_mae,0.5,green_error,243,225,18,0.9259259259259259,0.5,1.8518518518518519,0.4090909090909091,0.03272727272727273,12.5
low_confidence,retfound_mae,0.5,referable_dr_true_ge2,447,390,57,0.87248322147651,0.5,1.74496644295302,0.7090909090909091,0.10363636363636364,6.842105263157895
low_confidence,retfound_mae,0.5,severe_or_pdr_true_ge3,147,122,25,0.8299319727891157,0.5,1.6598639455782314,0.22181818181818183,0.045454545454545456,4.88
low_confidence,retfound_mae,0.5,pdr_true_eq4,89,73,16,0.8202247191011236,0.5,1.6404494382022472,0.13272727272727272,0.02909090909090909,4.5625
low_confidence,retfound_mae,0.5,green_referable_miss_true_ge2_pred_le1,56,47,9,0.8392857142857143,0.5,1.6785714285714286,0.08545454545454545,0.016363636363636365,5.222222222222221
low_confidence,retfound_mae,0.5,green_vtdr_miss_true_ge3_pred_le2,45,44,1,0.9777777777777777,0.5,1.9555555555555555,0.08,0.0018181818181818182,44.0
low_confidence,retfound_mae,0.5,green_large_undergrading_true_ge4_pred_le2,28,27,1,0.9642857142857143,0.5,1.9285714285714286,0.04909090909090909,0.0018181818181818182,27.0
low_confidence,retfound_mae,0.5,green_two_step_undergrading,34,33,1,0.9705882352941176,0.5,1.9411764705882353,0.06,0.0018181818181818182,33.0
low_confidence,both_average,0.1,green_error,243,63,180,0.25925925925925924,0.1,2.592592592592592,0.5727272727272728,0.18181818181818182,3.15
low_confidence,both_average,0.1,referable_dr_true_ge2,447,85,362,0.19015659955257272,0.1,1.9015659955257271,0.7727272727272727,0.3656565656565657,2.113259668508287
low_confidence,both_average,0.1,severe_or_pdr_true_ge3,147,27,120,0.1836734693877551,0.1,1.836734693877551,0.24545454545454545,0.12121212121212122,2.025
low_confidence,both_average,0.1,pdr_true_eq4,89,20,69,0.2247191011235955,0.1,2.2471910112359548,0.18181818181818182,0.0696969696969697,2.608695652173913
low_confidence,both_average,0.1,green_referable_miss_true_ge2_pred_le1,56,11,45,0.19642857142857142,0.1,1.9642857142857142,0.1,0.045454545454545456,2.2
low_confidence,both_average,0.1,green_vtdr_miss_true_ge3_pred_le2,45,16,29,0.35555555555555557,0.1,3.5555555555555554,0.14545454545454545,0.029292929292929294,4.96551724137931
low_confidence,both_average,0.1,green_large_undergrading_true_ge4_pred_le2,28,11,17,0.39285714285714285,0.1,3.9285714285714284,0.1,0.01717171717171717,5.8235294117647065
low_confidence,both_average,0.1,green_two_step_undergrading,34,13,21,0.38235294117647056,0.1,3.8235294117647056,0.11818181818181818,0.021212121212121213,5.571428571428571
low_confidence,both_average,0.2,green_error,243,121,122,0.49794238683127573,0.2,2.4897119341563787,0.55,0.13863636363636364,3.9672131147540988
