policy,expert,expert_call_rate,true_grade,n_defer,green_wrong_expert_correct,green_correct_expert_wrong,both_correct,both_wrong,green_error_rate,expert_error_rate
low_confidence,convnext,0.1,0,8,5,0,3,0,0.625,0.0
low_confidence,convnext,0.1,1,17,6,2,4,5,0.6470588235294118,0.4117647058823529
low_confidence,convnext,0.1,2,58,19,9,21,9,0.4827586206896552,0.3103448275862069
low_confidence,convnext,0.1,3,7,1,1,1,4,0.7142857142857143,0.7142857142857143
low_confidence,convnext,0.1,4,20,1,4,2,13,0.7,0.85
low_confidence,convnext,0.2,0,12,8,0,4,0,0.6666666666666666,0.0
low_confidence,convnext,0.2,1,32,8,3,9,12,0.625,0.46875
low_confidence,convnext,0.2,2,123,45,13,50,15,0.4878048780487805,0.22764227642276422
low_confidence,convnext,0.2,3,16,2,2,4,8,0.625,0.625
low_confidence,convnext,0.2,4,37,1,9,5,22,0.6216216216216216,0.8378378378378378
low_confidence,convnext,0.3,0,27,10,1,15,1,0.4074074074074074,0.07407407407407407
low_confidence,convnext,0.3,1,45,9,4,15,17,0.5777777777777777,0.4666666666666667
low_confidence,convnext,0.3,2,181,59,20,81,21,0.4419889502762431,0.2265193370165746
low_confidence,convnext,0.3,3,26,3,5,8,10,0.5,0.5769230769230769
low_confidence,convnext,0.3,4,51,1,11,8,31,0.6274509803921569,0.8235294117647058
low_confidence,convnext,0.4,0,52,13,2,32,5,0.34615384615384615,0.1346153846153846
low_confidence,convnext,0.4,1,58,11,6,21,20,0.5344827586206896,0.4482758620689655
low_confidence,convnext,0.4,2,231,66,24,111,30,0.4155844155844156,0.23376623376623376
low_confidence,convnext,0.4,3,40,5,9,12,14,0.475,0.575
low_confidence,convnext,0.4,4,59,2,13,8,36,0.6440677966101694,0.8305084745762712
low_confidence,convnext,0.5,0,87,14,2,66,5,0.21839080459770116,0.08045977011494253
low_confidence,convnext,0.5,1,73,11,7,33,22,0.4520547945205479,0.3972602739726027
low_confidence,convnext,0.5,2,268,70,25,138,35,0.3917910447761194,0.22388059701492538
low_confidence,convnext,0.5,3,49,6,10,17,16,0.4489795918367347,0.5306122448979592
low_confidence,convnext,0.5,4,73,4,15,12,42,0.6301369863013698,0.7808219178082192
low_confidence,retfound_mae,0.1,0,8,4,0,3,1,0.625,0.125
