policy,expert,expert_call_rate,event,total_event_n,captured_n,capture_rate,expected_capture_random,lift_vs_random,expert_corrected_n,expert_corrected_rate_among_captured,expert_still_wrong_n,expert_still_wrong_rate_among_captured,green_wrong_expert_correct_n,green_wrong_expert_wrong_n,green_correct_expert_wrong_n
low_confidence,convnext,0.1,green_error,243,63,0.25925925925925924,0.1,2.592592592592592,32,0.5079365079365079,31,0.49206349206349204,32,31,0
low_confidence,convnext,0.1,green_referable_miss_proxy_true_ge2_pred_le1,56,11,0.19642857142857142,0.1,1.9642857142857142,4,0.36363636363636365,7,0.6363636363636364,4,7,0
low_confidence,convnext,0.1,green_severe_or_pdr_miss_proxy_true_ge3_pred_le2,45,16,0.35555555555555557,0.1,3.5555555555555554,2,0.125,14,0.875,2,14,0
low_confidence,convnext,0.1,green_large_undergrading_proxy_true_eq4_pred_le2,28,11,0.39285714285714285,0.1,3.9285714285714284,1,0.09090909090909091,10,0.9090909090909091,1,10,0
low_confidence,convnext,0.1,green_two_step_undergrading,34,13,0.38235294117647056,0.1,3.8235294117647056,1,0.07692307692307693,12,0.9230769230769231,1,12,0
low_confidence,convnext,0.2,green_error,243,121,0.49794238683127573,0.2,2.4897119341563787,64,0.5289256198347108,57,0.47107438016528924,64,57,0
low_confidence,convnext,0.2,green_referable_miss_proxy_true_ge2_pred_le1,56,24,0.42857142857142855,0.2,2.142857142857143,12,0.5,12,0.5,12,12,0
low_confidence,convnext,0.2,green_severe_or_pdr_miss_proxy_true_ge3_pred_le2,45,27,0.6,0.2,2.9999999999999996,2,0.07407407407407407,25,0.9259259259259259,2,25,0
low_confidence,convnext,0.2,green_large_undergrading_proxy_true_eq4_pred_le2,28,18,0.6428571428571429,0.2,3.2142857142857144,1,0.05555555555555555,17,0.9444444444444444,1,17,0
low_confidence,convnext,0.2,green_two_step_undergrading,34,23,0.6764705882352942,0.2,3.3823529411764706,2,0.08695652173913043,21,0.9130434782608695,2,21,0
low_confidence,convnext,0.3,green_error,243,162,0.6666666666666666,0.3,2.2222222222222223,82,0.5061728395061729,80,0.49382716049382713,82,80,0
low_confidence,convnext,0.3,green_referable_miss_proxy_true_ge2_pred_le1,56,34,0.6071428571428571,0.3,2.0238095238095237,19,0.5588235294117647,15,0.4411764705882353,19,15,0
low_confidence,convnext,0.3,green_severe_or_pdr_miss_proxy_true_ge3_pred_le2,45,31,0.6888888888888889,0.3,2.2962962962962963,2,0.06451612903225806,29,0.9354838709677419,2,29,0
low_confidence,convnext,0.3,green_large_undergrading_proxy_true_eq4_pred_le2,28,20,0.7142857142857143,0.3,2.380952380952381,1,0.05,19,0.95,1,19,0
low_confidence,convnext,0.3,green_two_step_undergrading,34,25,0.7352941176470589,0.3,2.450980392156863,2,0.08,23,0.92,2,23,0
low_confidence,convnext,0.4,green_error,243,202,0.831275720164609,0.4,2.0781893004115224,97,0.4801980198019802,105,0.5198019801980198,97,105,0
low_confidence,convnext,0.4,green_referable_miss_proxy_true_ge2_pred_le1,56,43,0.7678571428571429,0.4,1.9196428571428572,22,0.5116279069767442,21,0.4883720930232558,22,21,0
low_confidence,convnext,0.4,green_severe_or_pdr_miss_proxy_true_ge3_pred_le2,45,38,0.8444444444444444,0.4,2.111111111111111,3,0.07894736842105263,35,0.9210526315789473,3,35,0
low_confidence,convnext,0.4,green_large_undergrading_proxy_true_eq4_pred_le2,28,24,0.8571428571428571,0.4,2.142857142857143,2,0.08333333333333333,22,0.9166666666666666,2,22,0
low_confidence,convnext,0.4,green_two_step_undergrading,34,30,0.8823529411764706,0.4,2.205882352941176,4,0.13333333333333333,26,0.8666666666666667,4,26,0
low_confidence,convnext,0.5,green_error,243,225,0.9259259259259259,0.5,1.8518518518518519,105,0.4666666666666667,120,0.5333333333333333,105,120,0
low_confidence,convnext,0.5,green_referable_miss_proxy_true_ge2_pred_le1,56,47,0.8392857142857143,0.5,1.6785714285714286,23,0.48936170212765956,24,0.5106382978723404,23,24,0
low_confidence,convnext,0.5,green_severe_or_pdr_miss_proxy_true_ge3_pred_le2,45,44,0.9777777777777777,0.5,1.9555555555555555,4,0.09090909090909091,40,0.9090909090909091,4,40,0
low_confidence,convnext,0.5,green_large_undergrading_proxy_true_eq4_pred_le2,28,27,0.9642857142857143,0.5,1.9285714285714286,2,0.07407407407407407,25,0.9259259259259259,2,25,0
low_confidence,convnext,0.5,green_two_step_undergrading,34,33,0.9705882352941176,0.5,1.9411764705882353,4,0.12121212121212122,29,0.8787878787878788,4,29,0
low_confidence,retfound_mae,0.1,green_error,243,63,0.25925925925925924,0.1,2.592592592592592,34,0.5396825396825397,29,0.4603174603174603,34,29,0
low_confidence,retfound_mae,0.1,green_referable_miss_proxy_true_ge2_pred_le1,56,11,0.19642857142857142,0.1,1.9642857142857142,5,0.45454545454545453,6,0.5454545454545454,5,6,0
low_confidence,retfound_mae,0.1,green_severe_or_pdr_miss_proxy_true_ge3_pred_le2,45,16,0.35555555555555557,0.1,3.5555555555555554,5,0.3125,11,0.6875,5,11,0
low_confidence,retfound_mae,0.1,green_large_undergrading_proxy_true_eq4_pred_le2,28,11,0.39285714285714285,0.1,3.9285714285714284,5,0.45454545454545453,6,0.5454545454545454,5,6,0
low_confidence,retfound_mae,0.1,green_two_step_undergrading,34,13,0.38235294117647056,0.1,3.8235294117647056,5,0.38461538461538464,8,0.6153846153846154,5,8,0
