policy,target,defer_rate,n_deferred,expected_cost_ms,accuracy,macro_f1,qwk,n_error,random_std_acc,gap_to_dense_acc,gain_over_green_acc,gain_over_best_single_acc
green_only,baseline,0.0,0,1.8733976903604344,0.7790909090909091,0.6394309461388187,0.8653377490177998,243.0,,0.051818181818181874,0.0,-0.034545454545454546
convnext_only,baseline,1.0,1100,5.806951492559165,0.8136363636363636,0.6496387745585863,0.86153550730867,205.0,,0.01727272727272733,0.034545454545454546,0.0
retfound_only,baseline,1.0,1100,8.07577045634389,0.8036363636363636,0.5834373647903611,0.8659212645253975,216.0,,0.027272727272727337,0.024545454545454537,-0.010000000000000009
dense_average_ensemble,baseline,1.0,1100,15.756119639263488,0.8309090909090909,0.6935173263762987,0.8874556246807673,186.0,,0.0,0.051818181818181874,0.01727272727272733
confidence,convnext,0.0,0,1.8733976903604344,0.7790909090909091,0.6394309461388187,0.8653377490177998,243.0,,0.051818181818181874,0.0,-0.034545454545454546
margin,convnext,0.0,0,1.8733976903604344,0.7790909090909091,0.6394309461388187,0.8653377490177998,243.0,,0.051818181818181874,0.0,-0.034545454545454546
entropy,convnext,0.0,0,1.8733976903604344,0.7790909090909091,0.6394309461388187,0.8653377490177998,243.0,,0.051818181818181874,0.0,-0.034545454545454546
random_mean,convnext,0.0,0,1.8733976903604344,0.7790909090909091,,,,0.0,0.051818181818181874,0.0,-0.034545454545454546
oracle_upper,convnext,0.0,0,1.8733976903604344,0.7790909090909091,0.6394309461388187,0.8653377490177998,243.0,,0.051818181818181874,0.0,-0.034545454545454546
confidence,convnext,0.05,55,2.1637452649883926,0.7854545454545454,0.6467533790361003,0.871327579713119,236.0,,0.045454545454545525,0.006363636363636349,-0.028181818181818197
margin,convnext,0.05,55,2.1637452649883926,0.7836363636363637,0.6462193410533772,0.8653395784543325,238.0,,0.047272727272727244,0.00454545454545463,-0.029999999999999916
entropy,convnext,0.05,55,2.1637452649883926,0.7890909090909091,0.6533517219440997,0.8741565265003175,232.0,,0.041818181818181865,0.010000000000000009,-0.024545454545454537
random_mean,convnext,0.05,55,2.1637452649883926,0.7807863636363638,,,,0.0026122367794163596,0.05012272727272715,0.001695454545454722,-0.032849999999999824
oracle_upper,convnext,0.05,55,2.1637452649883926,0.8290909090909091,0.7055595322659756,0.8922281273361417,188.0,,0.0018181818181818299,0.050000000000000044,0.015454545454545499
confidence,convnext,0.1,110,2.454092839616351,0.7936363636363636,0.6544572116661639,0.8658109595233983,227.0,,0.037272727272727346,0.014545454545454528,-0.020000000000000018
margin,convnext,0.1,110,2.454092839616351,0.7918181818181819,0.6494812356238835,0.8639125089378952,229.0,,0.039090909090909065,0.01272727272727281,-0.021818181818181737
entropy,convnext,0.1,110,2.454092839616351,0.7936363636363636,0.6558722154567804,0.8674852713304652,227.0,,0.037272727272727346,0.014545454545454528,-0.020000000000000018
random_mean,convnext,0.1,110,2.454092839616351,0.7827181818181818,,,,0.003687134209340085,0.04819090909090917,0.0036272727272727012,-0.030918181818181845
oracle_upper,convnext,0.1,110,2.454092839616351,0.8790909090909091,0.771272879993069,0.9167795838144378,133.0,,-0.048181818181818215,0.10000000000000009,0.06545454545454554
confidence,convnext,0.2,220,3.0347879888722673,0.8127272727272727,0.6696453739999685,0.8679653840953779,206.0,,0.018181818181818188,0.033636363636363686,-0.0009090909090908594
margin,convnext,0.2,220,3.0347879888722673,0.8118181818181818,0.6724157798009568,0.8695945523038031,207.0,,0.01909090909090916,0.032727272727272716,-0.0018181818181818299
entropy,convnext,0.2,220,3.0347879888722673,0.8036363636363636,0.6609129317257941,0.8687591457729541,216.0,,0.027272727272727337,0.024545454545454537,-0.010000000000000009
random_mean,convnext,0.2,220,3.0347879888722673,0.7864090909090907,,,,0.005096385041955503,0.044500000000000206,0.007318181818181668,-0.027227272727272878
oracle_upper,convnext,0.2,220,3.0347879888722673,0.8672727272727273,0.7524133926436287,0.9099387993204473,146.0,,-0.036363636363636376,0.08818181818181825,0.053636363636363704
confidence,convnext,0.3,330,3.615483138128184,0.8163636363636364,0.6694958105871877,0.869893347892952,202.0,,0.014545454545454528,0.037272727272727346,0.0027272727272728003
margin,convnext,0.3,330,3.615483138128184,0.8136363636363636,0.6662400447826393,0.8684136287783273,205.0,,0.01727272727272733,0.034545454545454546,0.0
entropy,convnext,0.3,330,3.615483138128184,0.8190909090909091,0.6744408939319233,0.8754163498302471,199.0,,0.011818181818181839,0.040000000000000036,0.00545454545454549
random_mean,convnext,0.3,330,3.615483138128184,0.7894363636363637,,,,0.0060285546422322615,0.04147272727272722,0.010345454545454658,-0.02419999999999989
oracle_upper,convnext,0.3,330,3.615483138128184,0.8618181818181818,0.7395514126275461,0.9070142431989636,152.0,,-0.030909090909090886,0.08272727272727276,0.048181818181818215
confidence,convnext,0.4,440,4.1961782873841,0.8181818181818182,0.6668107966261043,0.8686197523406826,200.0,,0.012727272727272698,0.039090909090909176,0.00454545454545463
margin,convnext,0.4,440,4.1961782873841,0.8190909090909091,0.6705341595953078,0.8722816271095628,199.0,,0.011818181818181839,0.040000000000000036,0.00545454545454549
entropy,convnext,0.4,440,4.1961782873841,0.8172727272727273,0.6621904809323772,0.8684471108560757,201.0,,0.013636363636363669,0.038181818181818206,0.0036363636363636598
random_mean,convnext,0.4,440,4.1961782873841,0.7932454545454545,,,,0.005846175552875686,0.037663636363636455,0.01415454545454542,-0.020390909090909126
oracle_upper,convnext,0.4,440,4.1961782873841,0.8536363636363636,0.7255568112960089,0.9041010513641022,161.0,,-0.022727272727272707,0.07454545454545458,0.040000000000000036
confidence,convnext,0.5,550,4.776873436640017,0.8209090909090909,0.6710341752213351,0.8687052715165038,197.0,,0.010000000000000009,0.041818181818181865,0.0072727272727273196
margin,convnext,0.5,550,4.776873436640017,0.8209090909090909,0.671616015629396,0.8686049283106055,197.0,,0.010000000000000009,0.041818181818181865,0.0072727272727273196
entropy,convnext,0.5,550,4.776873436640017,0.8209090909090909,0.6710341752213351,0.8687052715165038,197.0,,0.010000000000000009,0.041818181818181865,0.0072727272727273196
random_mean,convnext,0.5,550,4.776873436640017,0.7962727272727272,,,,0.006103108542726204,0.03463636363636369,0.017181818181818187,-0.01736363636363636
oracle_upper,convnext,0.5,550,4.776873436640017,0.8427272727272728,0.7040617961690356,0.8906506727087016,173.0,,-0.011818181818181839,0.06363636363636371,0.029090909090909167
confidence,convnext,0.6,660,5.357568585895933,0.82,0.6656331379250602,0.8664571224253914,198.0,,0.01090909090909098,0.040909090909090895,0.006363636363636349
