protocol_family,protocol_name,role,scouts,experts,budget,policy,selected_n,ms_per_image,accuracy,macro_f1,qwk,n_error,above_random_p975,random_accuracy_p975,oracle_accuracy,gap_to_oracle_accuracy,large_undergrading_event_total_fixed_pool,referable_miss_event_total_fixed_pool,severe_pdr_miss_event_total_fixed_pool,large_undergrading_selected_event_n,referable_miss_selected_event_n,severe_pdr_miss_selected_event_n,large_undergrading_residual_event_n,referable_miss_residual_event_n,severe_pdr_miss_residual_event_n,large_undergrading_event_recall_fixed_pool,referable_miss_event_recall_fixed_pool,severe_pdr_miss_event_recall_fixed_pool,large_undergrading_event_precision_fixed_pool,referable_miss_event_precision_fixed_pool,severe_pdr_miss_event_precision_fixed_pool,large_undergrading_event_lift_vs_budget,referable_miss_event_lift_vs_budget,severe_pdr_miss_event_lift_vs_budget
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.2,disagreement_then_uncertainty,220,1.8012655771237165,0.850909090909091,0.7079405104541922,0.9100818234174746,164,True,0.8427272727272728,0.8754545454545455,0.0245454545454545,45.0,90.0,75.0,28.0,71.0,40.0,17.0,19.0,35.0,0.6222222222222222,0.7888888888888889,0.5333333333333333,0.1272727272727272,0.3227272727272727,0.1818181818181818,3.111111111111111,3.944444444444444,2.6666666666666665
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.2,high_entropy,220,1.1806629455690696,0.8472727272727273,0.7076585418697866,0.9062962467175908,168,True,0.8281818181818181,0.8818181818181818,0.0345454545454545,45.0,90.0,75.0,28.0,50.0,43.0,17.0,40.0,32.0,0.6222222222222222,0.5555555555555556,0.5733333333333334,0.1272727272727272,0.2272727272727272,0.1954545454545454,3.111111111111111,2.7777777777777777,2.8666666666666667
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.2,low_confidence,220,1.313953509236771,0.8463636363636363,0.6948694568223874,0.9082135171175452,169,True,0.8409090909090909,0.8818181818181818,0.0354545454545455,45.0,90.0,75.0,20.0,45.0,32.0,25.0,45.0,43.0,0.4444444444444444,0.5,0.4266666666666667,0.0909090909090909,0.2045454545454545,0.1454545454545454,2.222222222222222,2.5,2.1333333333333333
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.3,disagreement_then_uncertainty,330,2.1530223977278933,0.8536363636363636,0.710851951436288,0.9136204003979396,161,True,0.8445454545454546,0.8718181818181818,0.0181818181818181,45.0,90.0,75.0,33.0,83.0,48.0,12.0,7.0,27.0,0.7333333333333333,0.9222222222222224,0.64,0.1,0.2515151515151515,0.1454545454545454,2.444444444444444,3.0740740740740744,2.1333333333333333
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.3,high_entropy,330,1.665126289759593,0.85,0.7034856816397235,0.9123765437291786,165,True,0.8427272727272728,0.8754545454545455,0.0254545454545455,45.0,90.0,75.0,29.0,66.0,48.0,16.0,24.0,27.0,0.6444444444444445,0.7333333333333333,0.64,0.0878787878787878,0.2,0.1454545454545454,2.1481481481481484,2.444444444444444,2.1333333333333333
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,high_entropy,330,1.5318357260918922,0.8463636363636363,0.7023916855337272,0.9080475965408232,169,True,0.8327272727272728,0.8772727272727273,0.0309090909090909,45.0,90.0,75.0,36.0,68.0,56.0,9.0,22.0,19.0,0.8,0.7555555555555555,0.7466666666666667,0.109090909090909,0.206060606060606,0.1696969696969697,2.666666666666667,2.5185185185185186,2.488888888888889
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.4,mean_uncertainty,440,2.504779218332071,0.8518181818181818,0.7092303147154062,0.9139797882579404,163,True,0.8472727272727273,0.8690909090909091,0.0172727272727273,45.0,90.0,75.0,40.0,86.0,66.0,5.0,4.0,9.0,0.8888888888888888,0.9555555555555556,0.88,0.0909090909090909,0.1954545454545454,0.15,2.222222222222222,2.388888888888889,2.2
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.4,low_confidence,440,2.016299070282416,0.850909090909091,0.704034381412774,0.9112825639862724,164,True,0.8454545454545455,0.8727272727272727,0.0218181818181817,45.0,90.0,75.0,36.0,80.0,61.0,9.0,10.0,14.0,0.8,0.8888888888888888,0.8133333333333334,0.0818181818181818,0.1818181818181818,0.1386363636363636,2.0,2.222222222222222,2.033333333333333
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.4,low_confidence,440,1.8830085066147149,0.85,0.7085498144340767,0.9131802410710164,165,True,0.8372727272727273,0.8718181818181818,0.0218181818181818,45.0,90.0,75.0,41.0,81.0,66.0,4.0,9.0,9.0,0.9111111111111112,0.9,0.88,0.0931818181818181,0.184090909090909,0.15,2.2777777777777777,2.25,2.2
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,low_confidence,550,2.2341812871375373,0.8518181818181818,0.7120131767323397,0.9139670977118228,163,True,0.8418181818181818,0.8672727272727273,0.0154545454545454,45.0,90.0,75.0,44.0,89.0,72.0,1.0,1.0,3.0,0.9777777777777776,0.9888888888888888,0.96,0.08,0.1618181818181818,0.1309090909090909,1.9555555555555555,1.9777777777777776,1.92
