protocol_family,protocol_name,role,scouts,experts,budget,policy,selected_n,ms_per_image,accuracy,macro_f1,qwk,n_error,above_random_p975,random_accuracy_p975,oracle_accuracy,gap_to_oracle_accuracy,large_undergrading_event_total_fixed_pool,referable_miss_event_total_fixed_pool,severe_pdr_miss_event_total_fixed_pool,large_undergrading_selected_event_n,referable_miss_selected_event_n,severe_pdr_miss_selected_event_n,large_undergrading_residual_event_n,referable_miss_residual_event_n,severe_pdr_miss_residual_event_n,large_undergrading_event_recall_fixed_pool,referable_miss_event_recall_fixed_pool,severe_pdr_miss_event_recall_fixed_pool,large_undergrading_event_precision_fixed_pool,referable_miss_event_precision_fixed_pool,severe_pdr_miss_event_precision_fixed_pool,large_undergrading_event_lift_vs_budget,referable_miss_event_lift_vs_budget,severe_pdr_miss_event_lift_vs_budget
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.3,disagreement_then_uncertainty,330,2.1530223977278933,0.8536363636363636,0.710851951436288,0.9136204003979396,161,True,0.8445454545454546,0.8718181818181818,0.0181818181818181,45.0,90.0,75.0,33.0,83.0,48.0,12.0,7.0,27.0,0.7333333333333333,0.9222222222222224,0.64,0.1,0.2515151515151515,0.1454545454545454,2.444444444444444,3.0740740740740744,2.1333333333333333
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.3,mean_uncertainty,330,2.1530223977278933,0.850909090909091,0.7044713642156252,0.9126845072036596,164,True,0.8445454545454546,0.8718181818181818,0.0209090909090908,45.0,90.0,75.0,34.0,74.0,51.0,11.0,16.0,24.0,0.7555555555555555,0.8222222222222222,0.68,0.103030303030303,0.2242424242424242,0.1545454545454545,2.5185185185185186,2.740740740740741,2.266666666666667
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.3,high_entropy,330,1.665126289759593,0.85,0.7034856816397235,0.9123765437291786,165,True,0.8427272727272728,0.8754545454545455,0.0254545454545455,45.0,90.0,75.0,29.0,66.0,48.0,16.0,24.0,27.0,0.6444444444444445,0.7333333333333333,0.64,0.0878787878787878,0.2,0.1454545454545454,2.1481481481481484,2.444444444444444,2.1333333333333333
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.3,low_margin,330,1.665126289759593,0.8490909090909091,0.7001561870139523,0.9113604555815352,166,True,0.8427272727272728,0.8754545454545455,0.0263636363636363,45.0,90.0,75.0,30.0,67.0,48.0,15.0,23.0,27.0,0.6666666666666666,0.7444444444444445,0.64,0.0909090909090909,0.203030303030303,0.1454545454545454,2.2222222222222223,2.481481481481482,2.1333333333333333
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.3,low_confidence,330,1.665126289759593,0.8481818181818181,0.6991695706658444,0.911052629644468,167,True,0.8427272727272728,0.8754545454545455,0.0272727272727273,45.0,90.0,75.0,29.0,67.0,47.0,16.0,23.0,28.0,0.6444444444444445,0.7444444444444445,0.6266666666666667,0.0878787878787878,0.203030303030303,0.1424242424242424,2.1481481481481484,2.481481481481482,2.088888888888889
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.3,max_uncertainty,330,2.1530223977278933,0.8481818181818181,0.7039763892906145,0.9113218540328404,167,True,0.8445454545454546,0.8718181818181818,0.0236363636363636,45.0,90.0,75.0,36.0,70.0,56.0,9.0,20.0,19.0,0.8,0.7777777777777778,0.7466666666666667,0.109090909090909,0.2121212121212121,0.1696969696969697,2.666666666666667,2.592592592592593,2.488888888888889
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,high_entropy,330,1.5318357260918922,0.8463636363636363,0.7023916855337272,0.9080475965408232,169,True,0.8327272727272728,0.8772727272727273,0.0309090909090909,45.0,90.0,75.0,36.0,68.0,56.0,9.0,22.0,19.0,0.8,0.7555555555555555,0.7466666666666667,0.109090909090909,0.206060606060606,0.1696969696969697,2.666666666666667,2.5185185185185186,2.488888888888889
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,low_confidence,330,1.5318357260918922,0.8427272727272728,0.6978969436569603,0.9073745148345504,173,True,0.8327272727272728,0.8772727272727273,0.0345454545454545,45.0,90.0,75.0,35.0,67.0,57.0,10.0,23.0,18.0,0.7777777777777778,0.7444444444444445,0.76,0.106060606060606,0.203030303030303,0.1727272727272727,2.592592592592593,2.481481481481482,2.5333333333333337
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,low_margin,330,1.5318357260918922,0.8427272727272728,0.6989559494492517,0.9077561057680608,173,True,0.8327272727272728,0.8772727272727273,0.0345454545454545,45.0,90.0,75.0,35.0,62.0,56.0,10.0,28.0,19.0,0.7777777777777778,0.6888888888888889,0.7466666666666667,0.106060606060606,0.1878787878787878,0.1696969696969697,2.592592592592593,2.2962962962962963,2.488888888888889
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,low_confidence,550,2.2341812871375373,0.8518181818181818,0.7120131767323397,0.9139670977118228,163,True,0.8418181818181818,0.8672727272727273,0.0154545454545454,45.0,90.0,75.0,44.0,89.0,72.0,1.0,1.0,3.0,0.9777777777777776,0.9888888888888888,0.96,0.08,0.1618181818181818,0.1309090909090909,1.9555555555555555,1.9777777777777776,1.92
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,low_confidence,550,2.3674718508052384,0.8518181818181818,0.7086303808590415,0.9141646806320652,163,True,0.8481818181818181,0.8709090909090909,0.019090909090909,45.0,90.0,75.0,44.0,88.0,74.0,1.0,2.0,1.0,0.9777777777777776,0.9777777777777776,0.9866666666666668,0.08,0.16,0.1345454545454545,1.9555555555555555,1.9555555555555555,1.9733333333333332
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,high_entropy,550,2.3674718508052384,0.8518181818181818,0.7086303808590415,0.9141646806320652,163,True,0.8481818181818181,0.8709090909090909,0.019090909090909,45.0,90.0,75.0,44.0,88.0,74.0,1.0,2.0,1.0,0.9777777777777776,0.9777777777777776,0.9866666666666668,0.08,0.16,0.1345454545454545,1.9555555555555555,1.9555555555555555,1.9733333333333332
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,low_margin,550,2.3674718508052384,0.8518181818181818,0.7086303808590415,0.9141646806320652,163,True,0.8481818181818181,0.8709090909090909,0.019090909090909,45.0,90.0,75.0,44.0,88.0,74.0,1.0,2.0,1.0,0.9777777777777776,0.9777777777777776,0.9866666666666668,0.08,0.16,0.1345454545454545,1.9555555555555555,1.9555555555555555,1.9733333333333332
