protocol_family,protocol_name,role,scouts,experts,budget,policy,selected_n,event_name,event_description,event_total,selected_event_n,residual_event_n,event_recall,event_precision,event_lift_vs_budget
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,low_confidence,550,large_undergrading_dr_specific,"True label is PDR, but base/scout prediction is Moderate or below.",41,40,1,0.975609756097561,0.07272727272727272,1.951219512195122
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,high_entropy,550,large_undergrading_dr_specific,"True label is PDR, but base/scout prediction is Moderate or below.",41,40,1,0.975609756097561,0.07272727272727272,1.951219512195122
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,low_margin,550,large_undergrading_dr_specific,"True label is PDR, but base/scout prediction is Moderate or below.",41,40,1,0.975609756097561,0.07272727272727272,1.951219512195122
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.5,mean_uncertainty,550,large_undergrading_dr_specific,"True label is PDR, but base/scout prediction is Moderate or below.",37,36,1,0.972972972972973,0.06545454545454546,1.945945945945946
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.5,max_uncertainty,550,large_undergrading_dr_specific,"True label is PDR, but base/scout prediction is Moderate or below.",37,36,1,0.972972972972973,0.06545454545454546,1.945945945945946
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,low_confidence,550,referable_dr_miss_dr_specific,"True label is referable DR or above, but base/scout prediction is No/Mild DR.",77,76,1,0.987012987012987,0.13818181818181818,1.974025974025974
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,high_entropy,550,referable_dr_miss_dr_specific,"True label is referable DR or above, but base/scout prediction is No/Mild DR.",77,76,1,0.987012987012987,0.13818181818181818,1.974025974025974
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,low_margin,550,referable_dr_miss_dr_specific,"True label is referable DR or above, but base/scout prediction is No/Mild DR.",77,76,1,0.987012987012987,0.13818181818181818,1.974025974025974
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.5,mean_uncertainty,550,referable_dr_miss_dr_specific,"True label is referable DR or above, but base/scout prediction is No/Mild DR.",43,42,1,0.9767441860465116,0.07636363636363637,1.9534883720930232
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.5,max_uncertainty,550,referable_dr_miss_dr_specific,"True label is referable DR or above, but base/scout prediction is No/Mild DR.",43,42,1,0.9767441860465116,0.07636363636363637,1.9534883720930232
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,low_confidence,550,severe_pdr_miss_dr_specific,"True label is Severe/PDR, but base/scout prediction is non-severe.",62,61,1,0.9838709677419355,0.11090909090909092,1.967741935483871
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,high_entropy,550,severe_pdr_miss_dr_specific,"True label is Severe/PDR, but base/scout prediction is non-severe.",62,61,1,0.9838709677419355,0.11090909090909092,1.967741935483871
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,low_margin,550,severe_pdr_miss_dr_specific,"True label is Severe/PDR, but base/scout prediction is non-severe.",62,61,1,0.9838709677419355,0.11090909090909092,1.967741935483871
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.5,mean_uncertainty,550,severe_pdr_miss_dr_specific,"True label is Severe/PDR, but base/scout prediction is non-severe.",65,63,2,0.9692307692307692,0.11454545454545455,1.9384615384615385
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.5,disagreement_then_uncertainty,550,severe_pdr_miss_dr_specific,"True label is Severe/PDR, but base/scout prediction is non-severe.",65,63,2,0.9692307692307692,0.11454545454545455,1.9384615384615385
