protocol_family,protocol_name,role,scouts,experts,budget,policy,selected_n,event_name,event_description,event_total,selected_event_n,residual_event_n,event_recall,event_precision,event_lift_vs_budget
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.2,low_confidence,220,large_undergrading_dr_specific,"True label is PDR, but base/scout prediction is Moderate or below.",41,24,17,0.5853658536585366,0.10909090909090909,2.9268292682926824
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.2,low_confidence,220,severe_pdr_miss_dr_specific,"True label is Severe/PDR, but base/scout prediction is non-severe.",65,34,31,0.5230769230769231,0.15454545454545454,2.6153846153846154
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.2,low_confidence,220,referable_dr_miss_dr_specific,"True label is referable DR or above, but base/scout prediction is No/Mild DR.",77,34,43,0.44155844155844154,0.15454545454545454,2.2077922077922074
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.2,high_entropy,220,large_undergrading_dr_specific,"True label is PDR, but base/scout prediction is Moderate or below.",41,24,17,0.5853658536585366,0.10909090909090909,2.9268292682926824
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.2,high_entropy,220,severe_pdr_miss_dr_specific,"True label is Severe/PDR, but base/scout prediction is non-severe.",65,37,28,0.5692307692307692,0.16818181818181818,2.846153846153846
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.2,high_entropy,220,referable_dr_miss_dr_specific,"True label is referable DR or above, but base/scout prediction is No/Mild DR.",77,48,29,0.6233766233766234,0.21818181818181817,3.1168831168831166
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.2,low_margin,220,large_undergrading_dr_specific,"True label is PDR, but base/scout prediction is Moderate or below.",41,23,18,0.5609756097560976,0.10454545454545454,2.804878048780488
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.2,low_margin,220,severe_pdr_miss_dr_specific,"True label is Severe/PDR, but base/scout prediction is non-severe.",65,34,31,0.5230769230769231,0.15454545454545454,2.6153846153846154
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.2,low_margin,220,referable_dr_miss_dr_specific,"True label is referable DR or above, but base/scout prediction is No/Mild DR.",77,34,43,0.44155844155844154,0.15454545454545454,2.2077922077922074
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,low_confidence,330,large_undergrading_dr_specific,"True label is PDR, but base/scout prediction is Moderate or below.",41,31,10,0.7560975609756098,0.09393939393939393,2.5203252032520327
