protocol_family,protocol_name,role,scouts,experts,budget,policy,selected_n,event_name,event_total_fixed_pool,selected_event_n,residual_event_n,event_recall_fixed_pool,event_precision_fixed_pool,event_lift_vs_budget
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,low_confidence,550,large_undergrading_union_pool,45,44,1,0.9777777777777777,0.08,1.9555555555555555
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,high_entropy,550,large_undergrading_union_pool,45,44,1,0.9777777777777777,0.08,1.9555555555555555
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,low_margin,550,large_undergrading_union_pool,45,44,1,0.9777777777777777,0.08,1.9555555555555555
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,low_confidence,550,large_undergrading_union_pool,45,44,1,0.9777777777777777,0.08,1.9555555555555555
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,high_entropy,550,large_undergrading_union_pool,45,44,1,0.9777777777777777,0.08,1.9555555555555555
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,low_margin,550,large_undergrading_union_pool,45,44,1,0.9777777777777777,0.08,1.9555555555555555
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.5,mean_uncertainty,550,large_undergrading_union_pool,45,44,1,0.9777777777777777,0.08,1.9555555555555555
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.5,max_uncertainty,550,large_undergrading_union_pool,45,44,1,0.9777777777777777,0.08,1.9555555555555555
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,low_confidence,550,referable_dr_miss_union_pool,90,89,1,0.9888888888888889,0.1618181818181818,1.9777777777777779
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,high_entropy,550,referable_dr_miss_union_pool,90,89,1,0.9888888888888889,0.1618181818181818,1.9777777777777779
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,low_margin,550,referable_dr_miss_union_pool,90,89,1,0.9888888888888889,0.1618181818181818,1.9777777777777779
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.5,mean_uncertainty,550,referable_dr_miss_union_pool,90,89,1,0.9888888888888889,0.1618181818181818,1.9777777777777779
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.5,max_uncertainty,550,referable_dr_miss_union_pool,90,89,1,0.9888888888888889,0.1618181818181818,1.9777777777777779
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.5,disagreement_then_uncertainty,550,referable_dr_miss_union_pool,90,89,1,0.9888888888888889,0.1618181818181818,1.9777777777777779
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,low_confidence,550,referable_dr_miss_union_pool,90,88,2,0.9777777777777777,0.16,1.9555555555555555
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,high_entropy,550,referable_dr_miss_union_pool,90,88,2,0.9777777777777777,0.16,1.9555555555555555
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,low_confidence,550,severe_pdr_miss_union_pool,75,74,1,0.9866666666666667,0.13454545454545455,1.9733333333333334
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,high_entropy,550,severe_pdr_miss_union_pool,75,74,1,0.9866666666666667,0.13454545454545455,1.9733333333333334
single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,low_margin,550,severe_pdr_miss_union_pool,75,74,1,0.9866666666666667,0.13454545454545455,1.9733333333333334
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.5,mean_uncertainty,550,severe_pdr_miss_union_pool,75,73,2,0.9733333333333334,0.13272727272727272,1.9466666666666668
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.5,disagreement_then_uncertainty,550,severe_pdr_miss_union_pool,75,73,2,0.9733333333333334,0.13272727272727272,1.9466666666666668
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,low_confidence,550,severe_pdr_miss_union_pool,75,72,3,0.96,0.13090909090909092,1.92
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,high_entropy,550,severe_pdr_miss_union_pool,75,72,3,0.96,0.13090909090909092,1.92
multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.5,max_uncertainty,550,severe_pdr_miss_union_pool,75,72,3,0.96,0.13090909090909092,1.92
