protocol_family,protocol_name,role,scouts,experts,budget,policy,selected_n,event_name,event_total_fixed_pool,selected_event_n,residual_event_n,event_recall_fixed_pool,event_precision_fixed_pool,event_lift_vs_budget
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.2,low_confidence,220,large_undergrading_union_pool,45,28,17,0.6222222222222222,0.12727272727272726,3.111111111111111
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.2,low_confidence,220,severe_pdr_miss_union_pool,75,42,33,0.56,0.19090909090909092,2.8000000000000003
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.2,low_confidence,220,referable_dr_miss_union_pool,90,41,49,0.45555555555555555,0.18636363636363637,2.2777777777777777
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.2,high_entropy,220,large_undergrading_union_pool,45,28,17,0.6222222222222222,0.12727272727272726,3.111111111111111
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.2,high_entropy,220,severe_pdr_miss_union_pool,75,43,32,0.5733333333333334,0.19545454545454546,2.8666666666666667
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.2,high_entropy,220,referable_dr_miss_union_pool,90,50,40,0.5555555555555556,0.22727272727272727,2.7777777777777777
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.2,low_margin,220,large_undergrading_union_pool,45,27,18,0.6,0.12272727272727273,2.9999999999999996
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.2,low_margin,220,severe_pdr_miss_union_pool,75,43,32,0.5733333333333334,0.19545454545454546,2.8666666666666667
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.2,low_margin,220,referable_dr_miss_union_pool,90,42,48,0.4666666666666667,0.19090909090909092,2.333333333333333
single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,low_confidence,330,large_undergrading_union_pool,45,35,10,0.7777777777777778,0.10606060606060606,2.5925925925925926
