replay_id,task_id,routing_type,prediction_source_mode,scout_artifact_ids,expert_artifact_id,policy,budget,n_rows,selected_n,accuracy,macro_f1,qwk,estimated_forward_ms_per_image
dr_convnext_to_retfound_mixed,aptos_dr_5class,single_scout,mixed_adapter_legacy,convnext_tiny,retfound_mae_cfp_official_protocol,low_confidence,0.3,1100,330,0.8427272727272728,0.6978969436569603,0.9073745148345503,
dr_convnext_to_retfound_mixed,aptos_dr_5class,single_scout,mixed_adapter_legacy,convnext_tiny,retfound_mae_cfp_official_protocol,low_confidence,0.5,1100,550,0.8518181818181818,0.7120131767323397,0.9139670977118229,
dr_convnext_to_retfound_mixed,aptos_dr_5class,single_scout,mixed_adapter_legacy,convnext_tiny,retfound_mae_cfp_official_protocol,low_margin,0.3,1100,330,0.8427272727272728,0.6989559494492517,0.9077561057680608,
dr_convnext_to_retfound_mixed,aptos_dr_5class,single_scout,mixed_adapter_legacy,convnext_tiny,retfound_mae_cfp_official_protocol,low_margin,0.5,1100,550,0.85,0.7096597688521952,0.9133788475907233,
dr_convnext_to_retfound_mixed,aptos_dr_5class,single_scout,mixed_adapter_legacy,convnext_tiny,retfound_mae_cfp_official_protocol,high_entropy,0.3,1100,330,0.8463636363636363,0.7023916855337272,0.9080475965408231,
dr_convnext_to_retfound_mixed,aptos_dr_5class,single_scout,mixed_adapter_legacy,convnext_tiny,retfound_mae_cfp_official_protocol,high_entropy,0.5,1100,550,0.850909090909091,0.7105437325611172,0.9137105559184361,
dr_swin_to_retfound_mixed,aptos_dr_5class,single_scout,mixed_adapter_legacy,swin_tiny,retfound_mae_cfp_official_protocol,low_confidence,0.3,1100,330,0.8481818181818181,0.6991695706658444,0.9110526296444679,
dr_swin_to_retfound_mixed,aptos_dr_5class,single_scout,mixed_adapter_legacy,swin_tiny,retfound_mae_cfp_official_protocol,low_confidence,0.5,1100,550,0.8518181818181818,0.7086303808590415,0.9141646806320652,
dr_swin_to_retfound_mixed,aptos_dr_5class,single_scout,mixed_adapter_legacy,swin_tiny,retfound_mae_cfp_official_protocol,low_margin,0.3,1100,330,0.8490909090909091,0.7001561870139523,0.9113604555815352,
dr_swin_to_retfound_mixed,aptos_dr_5class,single_scout,mixed_adapter_legacy,swin_tiny,retfound_mae_cfp_official_protocol,low_margin,0.5,1100,550,0.8518181818181818,0.7086303808590415,0.9141646806320652,
dr_swin_to_retfound_mixed,aptos_dr_5class,single_scout,mixed_adapter_legacy,swin_tiny,retfound_mae_cfp_official_protocol,high_entropy,0.3,1100,330,0.85,0.7034856816397235,0.9123765437291786,
dr_swin_to_retfound_mixed,aptos_dr_5class,single_scout,mixed_adapter_legacy,swin_tiny,retfound_mae_cfp_official_protocol,high_entropy,0.5,1100,550,0.8518181818181818,0.7086303808590415,0.9141646806320652,
dr_vit_to_retfound_mixed,aptos_dr_5class,single_scout,mixed_adapter_legacy,vit_b_imagenet,retfound_mae_cfp_official_protocol,low_confidence,0.3,1100,330,0.8481818181818181,0.705131983477395,0.9106666021875249,
dr_vit_to_retfound_mixed,aptos_dr_5class,single_scout,mixed_adapter_legacy,vit_b_imagenet,retfound_mae_cfp_official_protocol,low_confidence,0.5,1100,550,0.8472727272727273,0.7048148840983567,0.911753761375063,
dr_vit_to_retfound_mixed,aptos_dr_5class,single_scout,mixed_adapter_legacy,vit_b_imagenet,retfound_mae_cfp_official_protocol,low_margin,0.3,1100,330,0.8481818181818181,0.703792424039853,0.9096365081145468,
dr_vit_to_retfound_mixed,aptos_dr_5class,single_scout,mixed_adapter_legacy,vit_b_imagenet,retfound_mae_cfp_official_protocol,low_margin,0.5,1100,550,0.8472727272727273,0.7048148840983567,0.911753761375063,
dr_vit_to_retfound_mixed,aptos_dr_5class,single_scout,mixed_adapter_legacy,vit_b_imagenet,retfound_mae_cfp_official_protocol,high_entropy,0.3,1100,330,0.8463636363636363,0.7004684240189513,0.9101922479187493,
dr_vit_to_retfound_mixed,aptos_dr_5class,single_scout,mixed_adapter_legacy,vit_b_imagenet,retfound_mae_cfp_official_protocol,high_entropy,0.5,1100,550,0.8472727272727273,0.7048148840983567,0.911753761375063,
glaucoma_convnext_to_retfound_dinov2_mixed,glaucoma_3class,single_scout,mixed_adapter_legacy,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,low_confidence,0.3,465,140,0.8516129032258064,0.8159920807999049,,
glaucoma_convnext_to_retfound_dinov2_mixed,glaucoma_3class,single_scout,mixed_adapter_legacy,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,low_confidence,0.5,465,232,0.8602150537634409,0.8302802185729826,,
glaucoma_convnext_to_retfound_dinov2_mixed,glaucoma_3class,single_scout,mixed_adapter_legacy,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,low_margin,0.3,465,140,0.8516129032258064,0.8175704964278752,,
glaucoma_convnext_to_retfound_dinov2_mixed,glaucoma_3class,single_scout,mixed_adapter_legacy,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,low_margin,0.5,465,232,0.8602150537634409,0.8302802185729826,,
glaucoma_convnext_to_retfound_dinov2_mixed,glaucoma_3class,single_scout,mixed_adapter_legacy,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,high_entropy,0.3,465,140,0.8559139784946237,0.8228356058086687,,
glaucoma_convnext_to_retfound_dinov2_mixed,glaucoma_3class,single_scout,mixed_adapter_legacy,convnext_tiny_glaucoma_scout,retfound_dinov2_glaucoma_expert,high_entropy,0.5,465,232,0.8580645161290322,0.8271709838639939,,
